"Lon","Lat","Site","sample","parent.sample"
114.853,-34.1318,"SWC-NPZ-BOSS-1","SWC-BV-001","1"
114.924,-34.0604,"SWC-NPZ-BOSS-2","SWC-BV-002","2"
114.851,-34.0789,"SWC-NPZ-BOSS-3","SWC-BV-003","3"
114.785,-34.0862,"SWC-NPZ-BOSS-4","SWC-BV-004","4"
114.93,-34.125,"SWC-NPZ-BOSS-5","SWC-BV-005","5"
114.918,-34.1073,"SWC-NPZ-BOSS-6","SWC-BV-006","6"
114.853,-34.0995,"SWC-NPZ-BOSS-7","SWC-BV-007","7"
114.851,-34.0554,"SWC-NPZ-BOSS-8","SWC-BV-008","8"
114.813,-34.1175,"SWC-NPZ-BOSS-9","SWC-BV-009","9"
114.886,-34.1084,"SWC-NPZ-BOSS-10","SWC-BV-010","10"
114.775,-34.1163,"SWC-NPZ-BOSS-11","SWC-BV-011","11"
114.783,-34.0901,"SWC-NPZ-BOSS-12","SWC-BV-012","12"
114.813,-34.051,"SWC-NPZ-BOSS-13","SWC-BV-013","13"
114.913,-34.0979,"SWC-NPZ-BOSS-14","SWC-BV-014","14"
114.769,-34.0656,"SWC-NPZ-BOSS-15","SWC-BV-015","15"
114.924,-34.0848,"SWC-NPZ-BOSS-16","SWC-BV-016","16"
114.757,-34.0742,"SWC-NPZ-BOSS-17","SWC-BV-017","17"
114.787,-34.1078,"SWC-NPZ-BOSS-18","SWC-BV-018","18"
114.806,-34.0802,"SWC-NPZ-BOSS-19","SWC-BV-019","19"
114.784,-34.1018,"SWC-NPZ-BOSS-20","SWC-BV-020","20"
114.797,-34.1285,"SWC-NPZ-BOSS-21","SWC-BV-021","21"
114.745,-34.1033,"SWC-NPZ-BOSS-22","SWC-BV-022","22"
114.899,-34.0829,"SWC-NPZ-BOSS-23","SWC-BV-023","23"
114.923,-34.1347,"SWC-NPZ-BOSS-24","SWC-BV-024","24"
114.765,-34.0626,"SWC-NPZ-BOSS-25","SWC-BV-025","25"
114.844,-34.1003,"SWC-NPZ-BOSS-26","SWC-BV-026","26"
114.789,-34.0521,"SWC-NPZ-BOSS-27","SWC-BV-027","27"
114.923,-34.0995,"SWC-NPZ-BOSS-28","SWC-BV-028","28"
114.784,-34.1266,"SWC-NPZ-BOSS-29","SWC-BV-029","29"
114.915,-34.1256,"SWC-NPZ-BOSS-30","SWC-BV-030","30"
114.806,-34.061,"SWC-NPZ-BOSS-31","SWC-BV-031","31"
114.921,-34.1125,"SWC-NPZ-BOSS-32","SWC-BV-032","32"
114.871,-34.0742,"SWC-NPZ-BOSS-33","SWC-BV-033","33"
114.798,-34.0829,"SWC-NPZ-BOSS-34","SWC-BV-034","34"
114.852,-34.0959,"SWC-NPZ-BOSS-35","SWC-BV-035","35"
114.822,-34.1317,"SWC-NPZ-BOSS-36","SWC-BV-036","36"
114.931,-34.1303,"SWC-NPZ-BOSS-37","SWC-BV-037","37"
114.917,-34.0904,"SWC-NPZ-BOSS-38","SWC-BV-038","38"
114.877,-34.1301,"SWC-NPZ-BOSS-39","SWC-BV-039","39"
114.754,-34.0784,"SWC-NPZ-BOSS-40","SWC-BV-040","40"
114.877,-34.0596,"SWC-NPZ-BOSS-41","SWC-BV-041","41"
114.781,-34.106,"SWC-NPZ-BOSS-42","SWC-BV-042","42"
114.909,-34.0521,"SWC-NPZ-BOSS-43","SWC-BV-043","43"
114.858,-34.0931,"SWC-NPZ-BOSS-44","SWC-BV-044","44"
114.771,-34.0816,"SWC-NPZ-BOSS-45","SWC-BV-045","45"
114.831,-34.119,"SWC-NPZ-BOSS-46","SWC-BV-046","46"
114.926,-34.0832,"SWC-NPZ-BOSS-47","SWC-BV-047","47"
114.882,-34.0891,"SWC-NPZ-BOSS-48","SWC-BV-048","48"
114.762,-34.103,"SWC-NPZ-BOSS-49","SWC-BV-049","49"
114.842,-34.1143,"SWC-NPZ-BOSS-50","SWC-BV-050","50"
114.814,-34.0709,"SWC-NPZ-BOSS-51","SWC-BV-051","51"
114.915,-34.0826,"SWC-NPZ-BOSS-52","SWC-BV-052","52"
114.92,-34.1047,"SWC-NPZ-BOSS-53","SWC-BV-053","53"
114.789,-34.0925,"SWC-NPZ-BOSS-54","SWC-BV-054","54"
114.778,-34.1011,"SWC-NPZ-BOSS-55","SWC-BV-055","55"
114.873,-34.0782,"SWC-NPZ-BOSS-56","SWC-BV-056","56"
114.924,-34.1341,"SWC-NPZ-BOSS-57","SWC-BV-057","57"
114.794,-34.1219,"SWC-NPZ-BOSS-58","SWC-BV-058","58"
114.766,-34.062,"SWC-NPZ-BOSS-59","SWC-BV-059","59"
114.821,-34.0652,"SWC-NPZ-BOSS-60","SWC-BV-060","60"
114.783,-34.1305,"SWC-NPZ-BOSS-61","SWC-BV-061","61"
114.919,-34.1281,"SWC-NPZ-BOSS-62","SWC-BV-062","62"
114.761,-34.056,"SWC-NPZ-BOSS-63","SWC-BV-063","63"
114.84,-34.0937,"SWC-NPZ-BOSS-64","SWC-BV-064","64"
114.884,-34.0813,"SWC-NPZ-BOSS-65","SWC-BV-065","65"
114.807,-34.0855,"SWC-NPZ-BOSS-66","SWC-BV-066","66"
114.873,-34.0899,"SWC-NPZ-BOSS-67","SWC-BV-067","67"
114.859,-34.05,"SWC-NPZ-BOSS-68","SWC-BV-068","68"
114.911,-34.1187,"SWC-NPZ-BOSS-69","SWC-BV-069","69"
114.922,-34.1321,"SWC-NPZ-BOSS-70","SWC-BV-070","70"
114.908,-34.0923,"SWC-NPZ-BOSS-71","SWC-BV-071","71"
114.747,-34.0685,"SWC-NPZ-BOSS-72","SWC-BV-072","72"
114.848,-34.0802,"SWC-NPZ-BOSS-73","SWC-BV-073","73"
114.769,-34.0513,"SWC-NPZ-BOSS-74","SWC-BV-074","74"
114.816,-34.0836,"SWC-NPZ-BOSS-75","SWC-BV-075","75"
114.916,-34.1217,"SWC-NPZ-BOSS-76","SWC-BV-076","76"
114.75,-34.0979,"SWC-NPZ-BOSS-77","SWC-BV-077","77"
114.841,-34.1182,"SWC-NPZ-BOSS-78","SWC-BV-078","78"
114.783,-34.0875,"SWC-NPZ-BOSS-79","SWC-BV-079","79"
114.832,-34.1034,"SWC-NPZ-BOSS-80","SWC-BV-080","80"
114.775,-34.0726,"SWC-NPZ-BOSS-81","SWC-BV-081","81"
114.759,-34.0964,"SWC-NPZ-BOSS-82","SWC-BV-082","82"
114.838,-34.1341,"SWC-NPZ-BOSS-83","SWC-BV-083","83"
114.78,-34.1034,"SWC-NPZ-BOSS-84","SWC-BV-084","84"
114.767,-34.0701,"SWC-NPZ-BOSS-85","SWC-BV-085","85"
114.865,-34.0774,"SWC-NPZ-BOSS-86","SWC-BV-086","86"
114.805,-34.1259,"SWC-NPZ-BOSS-87","SWC-BV-087","87"
114.827,-34.1351,"SWC-NPZ-BOSS-88","SWC-BV-088","88"
114.775,-34.0945,"SWC-NPZ-BOSS-89","SWC-BV-089","89"
114.731,-34.1003,"SWC-NPZ-BOSS-90","SWC-BV-090","90"
114.928,-34.0807,"SWC-NPZ-BOSS-91","SWC-BV-091","91"
114.918,-34.101,"SWC-NPZ-BOSS-92","SWC-BV-092","92"
114.845,-34.1196,"SWC-NPZ-BOSS-93","SWC-BV-093","93"
114.787,-34.0889,"SWC-NPZ-BOSS-94","SWC-BV-094","94"
114.91,-34.1229,"SWC-NPZ-BOSS-95","SWC-BV-095","95"
114.776,-34.0975,"SWC-NPZ-BOSS-96","SWC-BV-096","96"
114.842,-34.0872,"SWC-NPZ-BOSS-97","SWC-BV-097","97"
114.856,-34.1139,"SWC-NPZ-BOSS-98","SWC-BV-098","98"
114.916,-34.0555,"SWC-NPZ-BOSS-99","SWC-BV-099","99"
114.847,-34.0961,"SWC-NPZ-BOSS-100","SWC-BV-100","100"
114.782,-34.0917,"SWC-NPZ-BOSS-101","SWC-BV-101","101"
114.926,-34.1305,"SWC-NPZ-BOSS-102","SWC-BV-102","102"
114.774,-34.0866,"SWC-NPZ-BOSS-103","SWC-BV-103","103"
114.918,-34.1255,"SWC-NPZ-BOSS-104","SWC-BV-104","104"
114.76,-34.0534,"SWC-NPZ-BOSS-105","SWC-BV-105","105"
114.875,-34.1313,"SWC-NPZ-BOSS-106","SWC-BV-106","106"
114.94,-34.1347,"SWC-NPZ-BOSS-107","SWC-BV-107","107"
114.85,-34.1001,"SWC-NPZ-BOSS-108","SWC-BV-108","108"
114.741,-34.0839,"SWC-NPZ-BOSS-109","SWC-BV-109","109"
