Sample,Latitude,Longitude,Location,Status,Site
9EFD1a,-28.68833333,113.8358333,Easter,Fished,Suomi.Is.
9EFD1b,-28.73880667,113.80437,Easter,Fished,Woody.Is.
9EFD1c,-28.69733333,113.7825,Easter,Fished,Rat.Is.
9EFD2a,-28.69211167,113.8370917,Easter,Fished,Suomi.Is.
9EFD2b,-28.741,113.8043333,Easter,Fished,Woody.Is.
9EFD2c,-28.70066667,113.7841667,Easter,Fished,Rat.Is.
9EFD3a,-28.69483333,113.8393333,Easter,Fished,Suomi.Is.
9EFD3b,-28.74355,113.8034133,Easter,Fished,Woody.Is.
9EFD3c,-28.7015,113.7866667,Easter,Fished,Rat.Is.
9EFD4a,-28.69766667,113.839,Easter,Fished,Suomi.Is.
9EFD4b,-28.745465,113.798215,Easter,Fished,Woody.Is.
9EFD4c,-28.703455,113.7920083,Easter,Fished,Rat.Is.
9EFD5a,-28.69983333,113.8415,Easter,Fished,Suomi.Is.
9EFD5b,-28.74383333,113.7936667,Easter,Fished,Woody.Is.
9EFD5c,-28.70966667,113.793,Easter,Fished,Rat.Is.
9EFS1a,-28.70316667,113.8423333,Easter,Fished,Suomi.Is.
9EFS1b,-28.75371333,113.7910233,Easter,Fished,Woody.Is.
9EFS1c,-28.706,113.7878333,Easter,Fished,Rat.Is.
9EFS2a,-28.7075,113.8426667,Easter,Fished,Suomi.Is.
9EFS2b,-28.75216667,113.7938333,Easter,Fished,Woody.Is.
9EFS2c,-28.704,113.7831667,Easter,Fished,Rat.Is.
9EFS3a,-28.71033333,113.842,Easter,Fished,Suomi.Is.
9EFS3b,-28.75168,113.798855,Easter,Fished,Woody.Is.
9EFS3c,-28.704,113.7788333,Easter,Fished,Rat.Is.
9EFS4a,-28.714,113.8413333,Easter,Fished,Suomi.Is.
9EFS4b,-28.74983333,113.8013333,Easter,Fished,Woody.Is.
9EFS4c,-28.7007,113.7788267,Easter,Fished,Rat.Is.
9EFS5a,-28.71770333,113.8400167,Easter,Fished,Suomi.Is.
9EFS5b,-28.74816667,113.8051667,Easter,Fished,Woody.Is.
9EFS5c,-28.69866667,113.7805,Easter,Fished,Rat.Is.
9ERD1,-28.67866667,113.8533333,Easter,No-take,Leo.s.Is.
9ERD2,-28.68042667,113.85549,Easter,No-take,Leo.s.Is.
9ERD3,-28.68179333,113.8562217,Easter,No-take,Leo.s.Is.
9ERD4,-28.68659833,113.8564583,Easter,No-take,Leo.s.Is.
9ERD5,-28.690225,113.8557133,Easter,No-take,Leo.s.Is.
9ERS1,-28.67366667,113.8436667,Easter,No-take,Leo.s.Is.
9ERS2,-28.67236,113.8430983,Easter,No-take,Leo.s.Is.
9ERS3,-28.6705,113.8441667,Easter,No-take,Leo.s.Is.
9ERS4,-28.67466667,113.8468333,Easter,No-take,Leo.s.Is.
9ERS5,-28.67666667,113.8506667,Easter,No-take,Leo.s.Is.
