"","x","y","inclusion.probabilities","ID","DropC","sample"
"1",114.96637207,-34.361188965,0.316203422745479,2060,1,"AUG-DC-01"
"2",115.07137207,-34.553688965,0.746048109965636,15115,2,"AUG-DC-02"
"3",115.15137207,-34.513688965,0.316203422745479,12443,3,"AUG-DC-03"
"4",115.04387207,-34.388688965,0.316203422745479,3950,4,"AUG-DC-04"
"5",114.99137207,-34.471188965,0.746048109965636,9506,5,"AUG-DC-05"
"6",115.30887207,-34.541188965,0.746048109965636,14365,6,"AUG-DC-06"
"7",114.88887207,-34.416188965,1,5747,7,"AUG-DC-07"
"8",115.23137207,-34.521188965,0.746048109965636,12982,8,"AUG-DC-08"
"9",115.07387207,-34.481188965,0.746048109965636,10215,9,"AUG-DC-09"
"10",115.00637207,-34.426188965,0.316203422745479,6470,10,"AUG-DC-10"
"11",114.95387207,-34.508688965,1,12026,11,"AUG-DC-11"
"12",115.06137207,-34.591188965,1,17646,12,"AUG-DC-12"
"13",115.03387207,-34.536188965,0.746048109965636,13917,13,"AUG-DC-13"
"14",115.19137207,-34.493688965,0.746048109965636,11107,14,"AUG-DC-14"
"15",114.94887207,-34.453688965,0.746048109965636,8306,15,"AUG-DC-15"
"16",115.05387207,-34.536188965,0.316203422745479,13925,16,"AUG-DC-16"
"17",114.90887207,-34.398688965,0.746048109965636,4572,17,"AUG-DC-17"
"18",115.06637207,-34.426188965,1,6494,18,"AUG-DC-18"
"19",114.93387207,-34.508688965,1,12018,19,"AUG-DC-19"
"20",115.04137207,-34.591188965,1,17638,20,"AUG-DC-20"
"21",115.25137207,-34.466188965,0.316203422745479,9272,21,"AUG-DC-21"
"22",115.30387207,-34.448688965,0.316203422745479,8110,22,"AUG-DC-22"
"23",114.94387207,-34.488688965,1,10670,23,"AUG-DC-23"
"24",114.91887207,-34.436188965,1,7111,24,"AUG-DC-24"
"25",115.02387207,-34.516188965,1,12561,25,"AUG-DC-25"
"26",115.18137207,-34.476188965,1,9920,26,"AUG-DC-26"
"27",115.22137207,-34.503688965,0.316203422745479,11795,27,"AUG-DC-27"
"28",114.95887207,-34.381188965,0.316203422745479,3409,28,"AUG-DC-28"
"29",115.14387207,-34.566188965,0.746048109965636,15989,29,"AUG-DC-29"
"30",114.98387207,-34.526188965,1,13221,30,"AUG-DC-30"
"31",115.30137207,-34.486188965,0.746048109965636,10644,31,"AUG-DC-31"
"32",115.00387207,-34.553688965,1,15088,32,"AUG-DC-32"
"33",115.26887207,-34.593688965,0.316203422745479,17898,33,"AUG-DC-33"
"34",114.92387207,-34.471188965,1,9479,34,"AUG-DC-34"
"35",114.97887207,-34.416188965,0.316203422745479,5783,35,"AUG-DC-35"
"36",115.08387207,-34.498688965,0.746048109965636,11402,36,"AUG-DC-36"
"37",115.12387207,-34.458688965,0.746048109965636,8714,37,"AUG-DC-37"
"38",115.28137207,-34.533688965,0.746048109965636,13847,38,"AUG-DC-38"
"39",114.93887207,-34.411188965,0.746048109965636,5429,39,"AUG-DC-39"
"40",115.25387207,-34.368688965,0.316203422745479,2682,40,"AUG-DC-40"
"41",115.04887207,-34.548688965,1,14768,41,"AUG-DC-41"
"42",115.02137207,-34.383688965,0.316203422745479,3603,42,"AUG-DC-42"
"43",115.23387207,-34.588688965,0.316203422745479,17546,43,"AUG-DC-43"
"44",114.96887207,-34.466188965,0.746048109965636,9159,44,"AUG-DC-44"
"45",114.90387207,-34.446188965,1,7781,45,"AUG-DC-45"
"46",115.00887207,-34.528688965,1,13400,46,"AUG-DC-46"
"47",115.16637207,-34.488688965,1,10759,47,"AUG-DC-47"
"48",115.08887207,-34.473688965,0.316203422745479,9714,48,"AUG-DC-48"
"49",114.94887207,-34.501188965,1,11517,49,"AUG-DC-49"
"50",115.05637207,-34.583688965,1,17137,50,"AUG-DC-50"
"51",114.92387207,-34.338688965,0.746048109965636,522,51,"AUG-DC-51"
"52",115.02887207,-34.566188965,1,15943,52,"AUG-DC-52"
"53",115.18637207,-34.523688965,0.316203422745479,13133,53,"AUG-DC-53"
"54",114.96387207,-34.428688965,0.746048109965636,6622,54,"AUG-DC-54"
"55",115.27887207,-34.388688965,0.316203422745479,4044,55,"AUG-DC-55"
"56",115.14887207,-34.471188965,0.746048109965636,9569,56,"AUG-DC-56"
"57",114.98887207,-34.538688965,1,14068,57,"AUG-DC-57"
"58",114.89387207,-34.373688965,1,2876,58,"AUG-DC-58"
"59",115.10387207,-34.578688965,0.746048109965636,16818,59,"AUG-DC-59"
"60",114.99887207,-34.456188965,0.316203422745479,8495,60,"AUG-DC-60"
"61",115.05137207,-34.451188965,0.316203422745479,8178,61,"AUG-DC-61"
"62",115.23637207,-34.491188965,0.316203422745479,10956,62,"AUG-DC-62"
"63",115.11887207,-34.518688965,0.316203422745479,12768,63,"AUG-DC-63"
"64",114.95887207,-34.478688965,1,10000,64,"AUG-DC-64"
"65",115.27637207,-34.546188965,0.746048109965636,14690,65,"AUG-DC-65"
"66",115.03887207,-34.506188965,0.316203422745479,11891,66,"AUG-DC-66"
"67",115.11137207,-34.446188965,0.746048109965636,7864,67,"AUG-DC-67"
"68",114.95387207,-34.403688965,0.746048109965636,4928,68,"AUG-DC-68"
"69",115.05887207,-34.486188965,0.746048109965636,10547,69,"AUG-DC-69"
"70",115.13887207,-34.556188965,0.316203422745479,15311,70,"AUG-DC-70"
"71",115.03137207,-34.431188965,0.316203422745479,6818,71,"AUG-DC-71"
"72",114.97887207,-34.513688965,1,12374,72,"AUG-DC-72"
"73",115.08387207,-34.596188965,0.746048109965636,17993,73,"AUG-DC-73"
"74",115.29637207,-34.473688965,0.316203422745479,9797,74,"AUG-DC-74"
"75",114.91387207,-34.348688965,0.746048109965636,1194,75,"AUG-DC-75"
"76",114.93887207,-34.458688965,0.746048109965636,8640,76,"AUG-DC-76"
"77",114.99387207,-34.358688965,0.316203422745479,1902,77,"AUG-DC-77"
"78",115.25887207,-34.508688965,1,12148,78,"AUG-DC-78"
"79",114.91387207,-34.386188965,0.316203422745479,3729,79,"AUG-DC-79"
"80",115.17887207,-34.536188965,0.316203422745479,13975,80,"AUG-DC-80"
"81",115.07387207,-34.413688965,1,5652,81,"AUG-DC-81"
"82",115.00637207,-34.578688965,0.746048109965636,16779,82,"AUG-DC-82"
"83",115.05887207,-34.576188965,0.746048109965636,16631,83,"AUG-DC-83"
"84",114.98137207,-34.493688965,1,11023,84,"AUG-DC-84"
"85",114.89387207,-34.438688965,1,7270,85,"AUG-DC-85"
"86",115.00137207,-34.521188965,1,12890,86,"AUG-DC-86"
"87",115.15887207,-34.481188965,1,10249,87,"AUG-DC-87"
"88",114.96137207,-34.531188965,1,13550,88,"AUG-DC-88"
"89",115.03887207,-34.558688965,0.746048109965636,15440,89,"AUG-DC-89"
"90",115.30387207,-34.598688965,0.316203422745479,18250,90,"AUG-DC-90"
