"","x","y","inclusion.probabilities","ID","DropC"
"1",-762063.74141325,-3724956.94961105,1,685926,1
"2",-1242633.07022575,-3943505.09360789,1,2605701,2
"3",-858177.60717575,-3812198.76622684,1,1452601,3
"4",-689904.408348481,-3666697.16021,1,173970,4
"5",-930041.205268942,-3870458.55562789,1,1964558,5
"6",-1026155.07103144,-3914227.33142158,1,2349033,6
"7",-1182598.87099563,-3895004.55826895,1,2179504,7
"8",-798143.407945635,-3763698.23088789,1,1026404,8
"9",-894257.273708135,-3851235.78247526,1,1795679,9
"10",-653824.741816096,-3705438.44148684,1,514692,10
"11",-918211.806405865,-3909495.57187632,1,2307798,11
"12",-804058.107377173,-3821366.55034579,1,1533384,12
"13",-1092399.70466467,-3894117.35335421,1,2172009,13
"14",-1332536.50158513,-3981654.90494158,1,2940797,14
"15",-948081.038535135,-3850348.57756053,1,1787697,15
"16",-780103.574679442,-3704846.97154368,1,509065,16
"17",-1260672.90349194,-3923395.11554053,1,2428840,17
"18",-876217.440441942,-3792088.78815947,1,1275740,18
"19",-635784.908549904,-3685328.46341947,1,337953,19
"20",-1368616.16811752,-4020396.18621842,1,3281275,20
"21",-984160.705067519,-3889385.59380895,1,2130775,21
"22",-1080274.57083002,-3932858.63463105,1,2512650,22
"23",-1128479.37119706,-3874598.84523,1,2000287,23
"24",-744023.908147058,-3743588.25282053,1,849787,24
"25",-840137.773909558,-3831125.80440789,1,1619062,25
"26",-671864.575082288,-3724069.74469632,1,678431,26
"27",-1296456.83505275,-3942617.88869316,1,2597719,27
"28",-912001.37200275,-3811607.29628368,1,1447219,28
"29",-1200342.96929025,-3884358.09929211,1,2085844,29
"30",-815887.50624025,-3753347.50688263,1,935344,30
"31",-1003679.2131916,-3928126.87508579,1,2471309,31
"32",-907565.347429096,-3869867.08568474,1,1959434,32
"33",-1147997.87932113,-3913635.86147842,1,2343421,33
"34",-763542.416271135,-3782329.53409737,1,1190321,34
"35",-1051884.01355863,-3907129.69210368,1,2286546,35
"36",-1364180.14354387,-3994371.50871947,1,3052490,36
"37",-979724.680493865,-3863360.91631,1,1901990,37
"38",-739292.148601827,-3717859.31029316,1,623603,38
"39",-1219861.47741433,-3936111.71931842,1,2540778,39
"40",-835406.014364327,-3805101.12690895,1,1390278,40
"41",-799622.082803519,-3834378.88909526,1,1647799,41
"42",-943645.013961481,-3902102.19758684,1,2242712,42
"43",-1039758.87972398,-3945870.97338053,1,2627187,43
"44",-1159827.27818421,-3887611.18397947,1,2114581,44
"45",-775371.815134212,-3756600.59157,1,964081,45
"46",-871485.680896712,-3843842.40818579,1,1730756,46
"47",-631348.88397625,-3698340.80216895,1,452368,47
"48",-1286106.11104756,-3897370.43804158,1,2199954,48
"49",-901650.647997558,-3766359.84563211,1,1049454,49
"50",-757331.981868019,-3678822.29404474,1,280342,50
"51",-1166037.71258733,-3926648.20022789,1,2457760,51
"52",-781582.249537327,-3795341.87284684,1,1304660,52
"53",-685468.383774827,-3737082.08344579,1,792785,53
"54",-1310060.64374529,-3955630.22744263,1,2712073,54
"55",-925605.180695288,-3824619.63503316,1,1561573,55
"56",-793411.648400404,-3730575.91407105,1,735220,56
"57",-1273980.9772129,-3949124.05806789,1,2654995,57
"58",-889525.514162904,-3818113.46565842,1,1504495,58
"59",-649388.717242442,-3672316.12467,1,223507,59
"60",-961684.847227673,-3876373.25505947,1,2016451,60
"61",-1057798.71299017,-3920142.03085316,1,2400926,61
"62",-1106003.51335721,-3900623.52272895,1,2229163,62
"63",-817661.916069712,-3856854.74693526,1,1845338,63
"64",-712380.266188327,-3711353.14091842,1,566494,64
"65",-856698.932317865,-3740335.16813316,1,820806,65
"66",-976767.330778096,-3915114.53633632,1,2357000,66
"67",-1120790.26193606,-3939364.80400579,1,2569713,67
"68",-1024676.39617356,-3881105.01460474,1,2057838,68
"69",-640220.933123558,-3750094.42219526,1,907338,69
"70",-1373052.19269117,-3968642.56619211,1,2826260,70
"71",-748459.932720712,-3691834.63279421,1,394772,71
"72",-1229029.26153321,-3910382.77679105,1,2314547,72
"73",-844573.798483212,-3779076.44941,1,1161447,73
"74",-676300.599655942,-3689764.48799316,1,376816,74
"75",-916733.131547981,-3893525.88341105,1,2167403,75
"76",-820619.265785481,-3718746.51520789,1,631128,76
"77",-1012846.99731048,-3937294.65920474,1,2551878,77
"78",-1187034.89556929,-3879034.86980368,1,2039089,78
"79",-802579.432519289,-3748024.27739421,1,888589,79
"80",-1283148.76133179,-3966572.42139105,1,2808364,80
"81",-898693.298281788,-3835266.09401,1,1655264,81
"82",-658260.76638975,-3728505.76927,1,717477,82
"83",-874738.765584058,-3757783.53145632,1,974145,83
"84",-730420.099454519,-3670245.97986895,1,205033,84
"85",-1174909.76173463,-3917776.15108053,1,2379730,85
"86",-790454.298684635,-3786765.55867105,1,1229230,86
"87",-1078795.89597213,-3898553.37792789,1,2211055,87
"88",-694340.432922135,-3767247.05054684,0.374458287158865,1057955,88
"89",-934772.964814173,-3854784.60213421,1,1826742,89
"90",-766499.765986904,-3708987.26114579,1,545511,90
"91",-1247069.0947994,-3927535.40514263,1,2465286,91
"92",-862613.631749404,-3796524.81273316,1,1314786,92
"93",-1390204.82104263,-4037548.81457,1,3432002,93
"94",-1005749.35799263,-3906538.22216053,1,2281502,94
"95",-1149772.2891506,-3892047.20855316,1,2153615,95
"96",-765316.826100596,-3760740.88117211,1,1000515,96
"97",-861430.691863096,-3848278.43275947,1,1769790,97
"98",-693157.493035827,-3702481.09177105,1,488559,98
"99",-1318045.48797787,-3921029.23576789,1,2407846,99
"100",-1221931.62221537,-3901806.46261526,1,2239171,100
"101",-837476.159165365,-3770500.13523421,1,1086071,101
"102",-897510.358395481,-3887019.71403632,1,2110268,102
"103",-1137647.15531594,-3930788.48983,1,2494256,103
"104",-1041533.28955344,-3872528.70042895,1,1982381,104
"105",-657077.826503442,-3741518.10801947,1,831881,105
"106",-729237.159568212,-3721999.59989526,1,660037,106
"107",-1209806.48838071,-3940547.74389211,1,2579812,107
"108",-825351.025330712,-3809537.15148263,1,1429312,108
"109",-807311.192064519,-3838519.17869737,1,1684173,109
"110",-711197.326302019,-3663739.81049421,1,147898,110
"111",-951629.858194058,-3867796.94088368,1,1941085,111
"112",-1047743.72395656,-3911269.98170579,1,2322960,112
"113",-1167812.12241679,-3905059.54730263,1,2267954,113
"114",-783356.659366788,-3773753.21992158,1,1114854,114
"115",-879470.525129288,-3861290.77150895,1,1884129,115
"116",-639333.728208827,-3715493.43052053,1,603141,116
"117",-939504.724359404,-3919550.56091,1,2396126,117
"118",-1155686.98858213,-3943800.82857947,1,2608595,118
"119",-771231.525532135,-3812790.23617,1,1458095,119
"120",-1059573.12281963,-3885541.03917842,1,2096720,120
"121",-675117.659769635,-3754530.44676895,1,946220,121
"122",-1300005.65471167,-3972782.85579421,1,2862907,122
"123",-915550.191661673,-3841772.26338474,1,1712407,123
"124",-1290837.87059279,-3914523.06639316,1,2350738,124
"125",-906382.407542788,-3783512.47398368,1,1200238,125
"126",-666245.610622327,-3676752.14924368,1,262450,126
"127",-1362997.20365756,-4011819.87204263,1,3205894,127
"128",-978541.740607558,-3880513.54466158,1,2052794,128
"129",-1074655.60637006,-3924282.32045526,1,2437269,129
"130",-738404.943687096,-3735011.93864474,1,774406,130
"131",-834518.809449596,-3822253.75526053,1,1541081,131
"132",-702325.277154712,-3732941.79384368,1,756328,132
"133",-1326917.53712517,-3951194.20286895,1,2673016,133
"134",-1230803.67136267,-3892934.41346789,1,2161141,134
"135",-846348.208312673,-3761923.82105842,1,1010641,135
"136",-966712.341744481,-3936703.18926158,1,2546834,136
"137",-870598.475981981,-3878443.39986053,1,2034959,137
"138",-1110735.27290244,-3922212.17565421,1,2418947,138
"139",-1014621.40713994,-3902693.66753,1,2247672,139
"140",-1381037.03692375,-3990231.21911737,1,3016033,140
"141",-756444.776953288,-3713423.28571947,1,584545,141
"142",-1237014.10576579,-3931971.42971632,1,2504320,142
"143",-852558.642715788,-3800665.10233526,1,1351220,143
"144",-924422.240808981,-3897961.90798474,1,2206377,144
"145",-828308.375046481,-3723182.53978158,1,670102,145
"146",-1176684.1715641,-3883470.89437737,1,2078124,146
"147",-792228.708514096,-3752164.56699632,1,925024,147
"148",-888342.574276596,-3839702.11858368,1,1694299,148
"149",-648205.777356135,-3693904.77759526,1,413311,149
"150",-1248843.50462887,-3905946.75221737,1,2275480,150
"151",-864388.041578865,-3774936.15980789,1,1124980,151
"152",-720365.110420904,-3687398.60822053,1,355867,152
"153",-1196498.41465975,-3935224.51440368,1,2533057,153
"154",-812042.95160975,-3803918.18702263,1,1379957,154
"155",-715929.08584725,-3745658.39762158,1,868082,155
"156",-1340521.34581771,-3964206.54161842,1,2787370,156
"157",-787792.683940442,-3726435.62446895,1,698839,157
"158",-1268362.01275294,-3944983.76846579,1,2618614,158
"159",-883906.549702942,-3813677.44108474,1,1465514,159
"160",-643769.752782481,-3668175.83506789,1,187126,160
"161",-1376601.0123501,-4003243.55786684,1,3130448,161
"162",-1088259.4150626,-3915706.00627947,1,2361823,162
"163",-1136168.48045806,-3896187.49815526,1,2190061,163
"164",-751713.017408058,-3765176.90574579,1,1039561,164
"165",-847826.883170558,-3852714.45733316,1,1808836,165
"166",-679849.419314865,-3706917.11634474,1,527604,166
