"","x","y","inclusion.probabilities","ID","DropC","sample"
"1",124.28125,-33.75375,0.905189620758483,8634,1,"DAW-BV-01"
"2",124.09625,-33.65875,0.905189620758483,3582,2,"DAW-BV-02"
"3",124.00625,-33.72125,1,6821,3,"DAW-BV-03"
"4",124.23625,-33.82625,0.905189620758483,12415,4,"DAW-BV-04"
"5",124.10375,-33.94125,1,18388,5,"DAW-BV-05"
"6",124.07625,-33.81375,0.905189620758483,11696,6,"DAW-BV-06"
"7",124.23875,-34.29125,1,36782,7,"DAW-BV-07"
"8",124.10625,-33.64125,1,2669,8,"DAW-BV-08"
"9",124.08875,-34.23875,0.0468588551353585,33971,9,"DAW-BV-09"
"10",124.02125,-34.33125,1,38791,10,"DAW-BV-10"
"11",124.11625,-33.62875,1,2018,11,"DAW-BV-11"
"12",124.08875,-33.61375,0.905189620758483,1221,12,"DAW-BV-12"
"13",124.21125,-33.85875,1,14108,13,"DAW-BV-13"
"14",124.08375,-34.29625,0.905189620758483,36982,14,"DAW-BV-14"
"15",124.08125,-33.65125,0.0468588551353585,3183,15,"DAW-BV-15"
"16",124.12125,-34.29125,1,36735,16,"DAW-BV-16"
"17",124.05625,-33.92875,0.905189620758483,17714,17,"DAW-BV-17"
"18",124.12625,-33.60875,0.905189620758483,974,18,"DAW-BV-18"
"19",123.99875,-33.88625,0.905189620758483,15464,19,"DAW-BV-19"
"20",124.04125,-34.29875,0.0468588551353585,37096,20,"DAW-BV-20"
"21",124.22625,-34.26625,0.905189620758483,35467,21,"DAW-BV-21"
"22",124.08625,-34.30625,1,37507,22,"DAW-BV-22"
"23",124.05625,-34.32625,1,38543,23,"DAW-BV-23"
"24",124.17375,-33.91125,1,16844,24,"DAW-BV-24"
"25",124.09375,-33.62375,1,1747,25,"DAW-BV-25"
"26",124.13125,-33.61875,0.905189620758483,1500,26,"DAW-BV-26"
"27",124.05375,-33.85375,0.905189620758483,13783,27,"DAW-BV-27"
"28",124.08375,-33.66125,0.905189620758483,3708,28,"DAW-BV-28"
"29",124.10625,-33.91625,0.905189620758483,17079,29,"DAW-BV-29"
"30",124.25875,-33.82875,1,12555,30,"DAW-BV-30"
"31",124.00125,-33.92375,0.0468588551353585,17430,31,"DAW-BV-31"
"32",124.10375,-33.60375,1,703,32,"DAW-BV-32"
"33",124.22625,-33.84875,1,13590,33,"DAW-BV-33"
"34",124.07625,-34.31375,1,37896,34,"DAW-BV-34"
"35",124.11625,-33.93125,0.905189620758483,17869,35,"DAW-BV-35"
"36",124.04625,-34.33625,1,39063,36,"DAW-BV-36"
"37",124.02375,-33.95125,0.905189620758483,18880,37,"DAW-BV-37"
"38",124.06625,-33.82375,0.905189620758483,12216,38,"DAW-BV-38"
"39",124.00625,-33.69625,0.905189620758483,5511,39,"DAW-BV-39"
"40",124.21625,-34.26125,0.0468588551353585,35201,40,"DAW-BV-40"
"41",124.02875,-33.86625,0.905189620758483,14428,41,"DAW-BV-41"
"42",124.08125,-33.93125,0.905189620758483,17855,42,"DAW-BV-42"
"43",123.99375,-34.33625,0.905189620758483,39042,43,"DAW-BV-43"
"44",124.22875,-33.77875,0.905189620758483,9923,44,"DAW-BV-44"
"45",124.23375,-33.84125,1,13200,45,"DAW-BV-45"
"46",124.21125,-34.28875,0.905189620758483,36640,46,"DAW-BV-46"
"47",124.09875,-33.95875,1,19303,47,"DAW-BV-47"
"48",123.99125,-34.02375,0.905189620758483,22666,48,"DAW-BV-48"
"49",124.10375,-34.29875,1,37121,49,"DAW-BV-49"
"50",124.23625,-34.26875,1,35602,50,"DAW-BV-50"
"51",124.02125,-34.22125,0.905189620758483,33027,51,"DAW-BV-51"
"52",124.10125,-33.64625,1,2929,52,"DAW-BV-52"
"53",124.06625,-34.32875,1,38678,53,"DAW-BV-53"
"54",124.12875,-34.20125,0.0468588551353585,32022,54,"DAW-BV-54"
"55",124.09375,-33.94125,0.905189620758483,18384,55,"DAW-BV-55"
"56",124.00125,-34.00375,0.905189620758483,21622,56,"DAW-BV-56"
"57",124.02125,-34.34375,1,39446,57,"DAW-BV-57"
"58",124.02875,-34.21625,0.905189620758483,32768,58,"DAW-BV-58"
"59",124.11125,-33.64125,1,2671,59,"DAW-BV-59"
"60",124.29375,-33.60875,0.905189620758483,1041,60,"DAW-BV-60"
"61",124.26375,-33.82375,1,12295,61,"DAW-BV-61"
"62",124.09625,-33.59875,0.905189620758483,438,62,"DAW-BV-62"
"63",124.25375,-33.76625,0.0468588551353585,9278,63,"DAW-BV-63"
"64",124.07875,-34.30875,1,37635,64,"DAW-BV-64"
"65",124.11875,-33.92625,0.905189620758483,17608,65,"DAW-BV-65"
"66",124.03375,-34.33125,1,38796,66,"DAW-BV-66"
"67",124.16625,-33.91625,1,17103,67,"DAW-BV-67"
"68",124.07125,-34.25125,0.0468588551353585,34619,68,"DAW-BV-68"
"69",124.12125,-33.61375,1,1234,69,"DAW-BV-69"
"70",124.04625,-33.84875,0.905189620758483,13518,70,"DAW-BV-70"
