"","x","y","inclusion.probabilities","ID","DropC","sample"
"1",121.08875,-33.96125,1,3474,1,"INV-BV-01"
"2",121.05875,-33.92375,0.0612681073379245,1512,2,"INV-BV-02"
"3",120.95625,-34.02375,1,6671,3,"INV-BV-03"
"4",121.07875,-33.99625,0.0612681073379245,5290,4,"INV-BV-04"
"5",120.92625,-34.03125,0.411811652035116,7049,5,"INV-BV-05"
"6",121.08875,-33.94625,0.411811652035116,2694,6,"INV-BV-06"
"7",120.94125,-34.04875,0.411811652035116,7965,7,"INV-BV-07"
"8",121.10375,-33.96375,1,3610,8,"INV-BV-08"
"9",120.98375,-33.93625,0.411811652035116,2132,9,"INV-BV-09"
"10",121.07375,-33.97125,0.411811652035116,3988,10,"INV-BV-10"
"11",120.94875,-34.03625,1,7318,11,"INV-BV-11"
"12",120.99625,-34.02375,0.0612681073379245,6687,12,"INV-BV-12"
"13",121.15875,-33.93875,0.411811652035116,2332,13,"INV-BV-13"
"14",120.93375,-34.04375,0.411811652035116,7702,14,"INV-BV-14"
"15",121.09625,-33.95875,1,3347,15,"INV-BV-15"
"16",120.99875,-34.04875,1,7988,16,"INV-BV-16"
"17",120.90875,-33.99125,1,4962,17,"INV-BV-17"
"18",121.10625,-34.03625,0.0612681073379245,7381,18,"INV-BV-18"
"19",121.08625,-33.94125,0.411811652035116,2433,19,"INV-BV-19"
"20",120.95375,-34.04375,1,7710,20,"INV-BV-20"
"21",121.11625,-33.95875,1,3355,21,"INV-BV-21"
"22",120.93375,-33.97625,0.0612681073379245,4192,22,"INV-BV-22"
"23",121.02125,-34.00375,0.411811652035116,5657,23,"INV-BV-23"
"24",121.03125,-33.92875,0.411811652035116,1761,24,"INV-BV-24"
"25",120.95125,-34.07125,1,9139,25,"INV-BV-25"
"26",120.97125,-33.94375,0.411811652035116,2517,26,"INV-BV-26"
"27",120.93125,-34.00125,1,5491,27,"INV-BV-27"
"28",120.94625,-34.01875,1,6407,28,"INV-BV-28"
"29",121.04625,-33.95375,0.411811652035116,3067,29,"INV-BV-29"
"30",121.00625,-33.98125,0.0612681073379245,4481,30,"INV-BV-30"
"31",121.14125,-33.93125,0.411811652035116,1935,31,"INV-BV-31"
"32",121.07875,-33.97375,1,4120,32,"INV-BV-32"
"33",121.12625,-33.94375,0.411811652035116,2579,33,"INV-BV-33"
"34",121.05375,-34.03625,1,7360,34,"INV-BV-34"
"35",120.97375,-33.95125,0.411811652035116,2908,35,"INV-BV-35"
"36",120.93875,-34.06375,1,8744,36,"INV-BV-36"
"37",121.10125,-33.97875,1,4389,37,"INV-BV-37"
"38",121.06125,-34.03625,1,7363,38,"INV-BV-38"
"39",120.87875,-34.00875,0.411811652035116,5860,39,"INV-BV-39"
"40",121.04125,-33.92375,0.411811652035116,1505,40,"INV-BV-40"
"41",121.00125,-34.02625,0.411811652035116,6819,41,"INV-BV-41"
"42",121.02625,-33.94875,0.411811652035116,2799,42,"INV-BV-42"
"43",121.04625,-34.02375,1,6707,43,"INV-BV-43"
"44",120.92375,-33.99625,0.411811652035116,5228,44,"INV-BV-44"
"45",120.87375,-33.95625,0.0612681073379245,3128,45,"INV-BV-45"
"46",121.01875,-34.04875,1,7996,46,"INV-BV-46"
"47",120.89875,-34.02125,0.411811652035116,6518,47,"INV-BV-47"
"48",121.06125,-33.93625,0.411811652035116,2163,48,"INV-BV-48"
"49",120.95875,-34.03875,1,7452,49,"INV-BV-49"
"50",121.12125,-33.95375,1,3097,50,"INV-BV-50"
"51",120.99875,-33.92625,0.411811652035116,1618,51,"INV-BV-51"
"52",121.09125,-33.96875,1,3865,52,"INV-BV-52"
"53",120.94375,-33.99625,0.411811652035116,5236,53,"INV-BV-53"
"54",121.03625,-34.03125,1,7093,54,"INV-BV-54"
"55",120.95375,-33.94625,0.411811652035116,2640,55,"INV-BV-55"
"56",121.13625,-33.93625,0.411811652035116,2193,56,"INV-BV-56"
"57",121.02375,-33.95625,0.411811652035116,3188,57,"INV-BV-57"
"58",120.95125,-34.04875,1,7969,58,"INV-BV-58"
"59",120.88625,-33.94875,0.0612681073379245,2743,59,"INV-BV-59"
"60",120.96625,-34.00625,1,5765,60,"INV-BV-60"
"61",121.15875,-33.95875,0.411811652035116,3372,61,"INV-BV-61"
"62",120.96625,-34.05625,0.0612681073379245,8365,62,"INV-BV-62"
"63",121.03125,-33.97625,0.411811652035116,4231,63,"INV-BV-63"
"64",121.10625,-33.95625,1,3221,64,"INV-BV-64"
"65",121.06625,-34.01375,0.0612681073379245,6195,65,"INV-BV-65"
"66",120.98375,-33.92875,0.411811652035116,1742,66,"INV-BV-66"
"67",121.16625,-33.94375,0.411811652035116,2595,67,"INV-BV-67"
"68",121.07625,-33.96375,1,3599,68,"INV-BV-68"
"69",121.01625,-33.95375,0.0612681073379245,3055,69,"INV-BV-69"
"70",120.93875,-34.06625,1,8874,70,"INV-BV-70"
"71",121.10125,-33.98125,0.411811652035116,4519,71,"INV-BV-71"
"72",121.03875,-34.03375,1,7224,72,"INV-BV-72"
