"DropC","x","y","sample"
77,120.933545269493,-34.1637917881844,"INV-001"
142,121.044504290597,-34.4694647055702,"INV-002"
391,121.140519663652,-34.0092494607394,"INV-003"
636,121.031252814797,-34.1076042843431,"INV-004"
1120,121.058749371033,-34.0426384869033,"INV-005"
1604,120.946748934844,-34.3426340602317,"INV-006"
2040,120.940583714173,-33.9785458153518,"INV-007"
2101,121.099734250398,-34.3127187527728,"INV-008"
2327,121.113903973249,-34.4861569578214,"INV-009"
2580,121.031936700294,-33.9460442913059,"INV-010"
3555,120.947565028462,-34.1811646561378,"INV-011"
3975,120.883985134167,-34.479843939385,"INV-012"
4039,121.120689167153,-33.9078754658411,"INV-013"
4284,121.116016593548,-34.3383340788132,"INV-014"
4524,120.978806073143,-34.4234512576869,"INV-015"
4953,120.908152889471,-34.0565450951621,"INV-016"
5018,121.03356684703,-34.1670474612847,"INV-017"
5493,121.002789265185,-34.0243463478236,"INV-018"
5919,120.884568360936,-34.321095205081,"INV-019"
5983,121.0710897107,-34.41253876353,"INV-020"
6402,120.871881034305,-33.9590869016095,"INV-021"
6466,120.982443702843,-34.2649567058947,"INV-022"
6962,121.08841938659,-33.9859253195644,"INV-023"
7447,120.917329805608,-34.4988738827262,"INV-024"
7949,121.064303057362,-34.2585360432364,"INV-025"
8196,121.100527730017,-34.3585439733214,"INV-026"
8860,120.895200785513,-34.0823511147171,"INV-027"
8921,121.009029994203,-34.4933305930916,"INV-028"
9423,120.976671574392,-34.1298217444314,"INV-029"
9845,120.889826771292,-34.3565425110458,"INV-030"
9904,121.122037065352,-34.0803845540731,"INV-031"
10155,121.154967396975,-34.2070611679246,"INV-032"
10389,120.972304902394,-34.3717541709075,"INV-033"
10826,120.888694366907,-33.9282193914072,"INV-034"
10887,121.035427412198,-34.3341285580793,"INV-035"
11123,121.138814195839,-34.4425388768664,"INV-036"
11380,120.967505651927,-33.9701067574908,"INV-037"
11803,120.926135502173,-34.1712298843518,"INV-038"
12102,121.152340262673,-34.0183425883585,"INV-039"
12355,121.01155420384,-34.2136170128319,"INV-040"
13338,120.94332023526,-34.447307266562,"INV-041"
13771,120.920580602184,-34.0091387299343,"INV-042"
13835,121.106587593312,-34.1006075805802,"INV-043"
14317,121.005532156688,-34.0542125153761,"INV-044"
14801,121.048162600877,-34.3621340078828,"INV-045"
15292,120.944146790392,-34.2858802471563,"INV-046"
15783,121.110020455707,-33.9419877986778,"INV-047"
16037,121.123080801004,-34.1504879146742,"INV-048"
16757,121.045393734348,-34.1761411378466,"INV-049"
17243,120.996541515842,-33.9187342471236,"INV-050"
17661,120.921014547934,-34.1088413708626,"INV-051"
17724,121.076093986659,-34.4506463773863,"INV-052"
18218,121.005049881409,-34.1618950275819,"INV-053"
18705,121.076741495742,-34.0280229136742,"INV-054"
18956,121.15841591597,-34.2315877828004,"INV-055"
19197,120.923997827682,-34.3945009928853,"INV-056"
19634,120.945782559654,-33.9628281850945,"INV-057"
19699,121.072611122742,-34.2700170879957,"INV-058"
19932,121.099810805264,-34.4688124837942,"INV-059"
20188,121.031380524973,-34.0025674228289,"INV-060"
20604,120.890724495619,-34.1950791863665,"INV-061"
21159,120.972615198926,-34.2398734975145,"INV-062"
21597,120.870270074297,-34.4598166594076,"INV-063"
21905,121.121871592184,-34.3173004234623,"INV-064"
22142,120.952827181319,-34.4750350661704,"INV-065"
22576,120.884553232878,-34.0383210081848,"INV-066"
22641,121.070910641303,-34.1271700521453,"INV-067"
23122,120.966984604064,-34.0778104159003,"INV-068"
23551,120.925570764461,-34.278882111581,"INV-069"
23609,121.051259817707,-34.3893100130046,"INV-070"
23865,121.158405364843,-33.9164977983873,"INV-071"
24108,121.011076281872,-34.3212675501408,"INV-072"
24603,121.071537781102,-33.9656185502387,"INV-073"
25575,121.105878843119,-34.2109450056301,"INV-074"
25813,121.128931297144,-34.4174767049417,"INV-075"
26540,121.01423829257,-34.4776282454064,"INV-076"
27043,120.9501703288,-34.1086758754266,"INV-077"
27472,120.896286056011,-34.4082450560188,"INV-078"
27534,121.105452864545,-34.0574176773666,"INV-079"
27777,121.1198374367,-34.2552147186262,"INV-080"
28025,120.990689456343,-34.3544993213476,"INV-081"
28451,120.913658404807,-33.9869825579972,"INV-082"
28518,121.024362206809,-34.2928005949061,"INV-083"
28753,121.164032816797,-34.501178197626,"INV-084"
29005,121.005147336268,-33.9275602137186,"INV-085"
29421,120.893450665299,-34.2249362467248,"INV-086"
29723,121.161446972125,-34.0756742137987,"INV-087"
29971,120.985035472496,-34.1924824129037,"INV-088"
30470,121.100520262953,-33.9142345110401,"INV-089"
30724,121.156773478403,-34.3498788506307,"INV-090"
30959,120.929273363113,-34.4299405499203,"INV-091"
31396,120.9420332284,-34.0702645234123,"INV-092"
31460,121.080421210961,-34.154920397164,"INV-093"
31945,121.039985353499,-34.0113887546541,"INV-094"
32434,121.012265148939,-34.4155654897663,"INV-095"
32927,120.955776477137,-34.2707276557036,"INV-096"
33409,121.138633328912,-33.9983176026804,"INV-097"
33657,121.160383403094,-34.1105958470712,"INV-098"
34374,121.054465211092,-34.2334677063878,"INV-099"
34621,121.138076253822,-34.3698186150507,"INV-100"
