field_1,x,y,inclusion.probabilities,ID,DropC
"2154",-1820203.46973274,-3603705.61130724,0.374458287158865,37691791,"2154"
"3242",-1792404.38240408,-3600452.52661985,1,37538501,"3242"
"5434",-1790334,-3602523,1,37636116,"5434"
"6521",-1813697,-3599270,1,37482653,"6521"
"10333",-1786194,-3594834,1,37273586,"10333"
"12042",-1798023,-3603410,1,37677922,"12042"
"15347",-1810740,-3602227,1,37622103,"15347"
"15847",-1817542,-3598974,0.3744583,37468696,"15847"
"16443",-1806600,-3599861,1,37510565,"16443"
"16938",-1795362,-3595425,1,37301443,"16938"
"19133",-1788856,-3597791,1,37413017,"19133"
"23060",-1790039,-3600453,1,37538509,"23060"
"24161",-1816359,-3605480,0.3744583,37775468,"24161"
"25260",-1800389,-3603114,1,37663970,"25260"
"25752",-1798615,-3598382,1,37440872,"25752"
"29070",-1809261,-3597495,1,37399004,"29070"
"29657",-1799502,-3601340,1,37580309,"29657"
"32978",-1810148,-3600157,1,37524497,"32978"
"36759",-1790630,-3595721,1,37315403,"36759"
"38974",-1803642,-3596904,1,37371135,"38974"
"42837",-1803347,-3600748,1,37552408,"42837"
"45531",-1784715,-3598678,1,37454863,"45531"
"46145",-1824344,-3599861,0.3744583,37510505,"46145"
"49471",-1785307,-3601635,1,37594301,"49471"
"51672",-1807487,-3604001,1,37705778,"51672"
"52160",-1795362,-3596904,1,37371163,"52160"
"54969",-1818133,-3602818,0.3744583,37649966,"54969"
"56052",-1795953,-3599565,1,37496657,"56052"
"64803",-1799206,-3602523,1,37636086,"64803"
"65285",-1806008,-3598087,1,37426903,"65285"
"68111",-1808374,-3604001,1,37705775,"68111"
"69207",-1804530,-3601931,1,37608180,"69207"
"71912",-1791517,-3596017,1,37329344,"71912"
"75827",-1790926,-3599861,1,37510618,"75827"
"77998",-1804234,-3605184,1,37761565,"77998"
"78493",-1796545,-3597791,1,37412991,"78493"
"79097",-1824935,-3601340,0.3744583,37580223,"79097"
"82420",-1797728,-3600748,1,37552427,"82420"
"85113",-1782941,-3598678,1,37454869,"85113"
"85721",-1811331,-3599565,1,37496605,"85721"
"89039",-1784124,-3601044,1,37566417,"89039"
"90141",-1816655,-3606959,0.3744583,37845187,"90141"
"91241",-1794475,-3603706,1,37691878,"91241"
"91732",-1801868,-3596312,1,37343253,"91732"
"95628",-1800981,-3599270,1,37482696,"95628"
"96122",-1799206,-3596017,1,37329318,"96122"
"98321",-1788264,-3597199,1,37385131,"98321"
"98944",-1822274,-3601931,0.3744583,37608120,"98944"
"102251",-1786785,-3601044,1,37566408,"102251"
"103349",-1809853,-3605776,1,37789434,"103349"
"104449",-1805712,-3602227,1,37622120,"104449"
"104940",-1792996,-3598678,1,37454835,"104940"
"108833",-1794179,-3601635,1,37594271,"108833"
"112121",-1812514,-3600453,1,37538433,"112121"
"115899",-1785011,-3595129,1,37287534,"115899"
"118086",-1807191,-3597199,1,37385067,"118086"
"120877",-1811923,-3603410,1,37677875,"120877"
"121971",-1808078,-3600157,1,37524504,"121971"
"124666",-1789447,-3598087,1,37426959,"124666"
"128594",-1789151,-3601931,1,37608232,"128594"
"130783",-1802164,-3603114,1,37663964,"130783"
"131268",-1800093,-3596312,1,37343259,"131268"
"134097",-1820795,-3602227,0.3744583,37622069,"134097"
"134594",-1809853,-3598678,1,37454778,"134594"
"135195",-1798319,-3600157,1,37524537,"135195"
"138502",-1809261,-3601635,1,37594220,"138502"
"141824",-1781758,-3600453,1,37538537,"141824"
"142919",-1820203,-3605184,0.3744583,37761511,"142919"
"144007",-1792700,-3603114,1,37663996,"144007"
"144496",-1802459,-3598382,1,37440859,"144496"
"148367",-1803642,-3601340,1,37580295,"148367"
"151069",-1785898,-3596312,1,37343307,"151069"
"155006",-1784420,-3599270,1,37482752,"155006"
"157200",-1806600,-3604297,1,37719725,"157200"
"157684",-1795657,-3597199,1,37385106,"157684"
"161589",-1795066,-3601044,1,37566380,"161589"
"163794",-1790039,-3602227,1,37622173,"163794"
"164887",-1816063,-3599861,0.3744583,37510533,"164887"
"168698",-1787377,-3594538,1,37259638,"168698"
"170390",-1799798,-3604001,1,37705804,"170390"
"173675",-1810148,-3602818,1,37649993,"173675"
"174773",-1806304,-3599565,1,37496622,"174773"
"175271",-1792700,-3595129,1,37287508,"175271"
"177470",-1790630,-3597495,1,37399067,"177470"
"178088",-1818725,-3601044,0.3744583,37566300,"178088"
"181382",-1791517,-3600453,1,37538504,"181382"
"183567",-1803051,-3602523,1,37636073,"183567"
"184053",-1798319,-3598382,1,37440873,"184053"
"186863",-1824344,-3604297,0.3744583,37719665,"186863"
"187950",-1796545,-3601931,1,37608207,"187950"
"191251",-1811923,-3600748,1,37552379,"191251"
"192354",-1807783,-3605776,1,37789441,"192354"
"194552",-1783237,-3599861,1,37510644,"194552"
"195042",-1790039,-3595721,1,37315405,"195042"
"197257",-1800685,-3597791,1,37412977,"197257"
