"DropC","x","y","sample"
2154,114.730397892983,-30.6799329477218,"TR-01"
3242,115.025366378127,-30.6890299113977,"TR-02"
5434,115.043671472245,-30.710522761379,"TR-03"
6521,114.805326723477,-30.6490172402486,"TR-04"
10333,115.098999536419,-30.6468981717876,"TR-05"
12042,114.962084456101,-30.7079617108882,"TR-06"
15347,114.831401337416,-30.6797531615329,"TR-07"
15847,114.76574200637,-30.6410132673902,"TR-08"
16443,114.878335101262,-30.6641645046076,"TR-09"
16938,115.002515626534,-30.6396714484274,"TR-10"
19133,115.066576336148,-30.6699066031441,"TR-11"
23060,115.050027792097,-30.692274772228,"TR-12"
24161,114.76761198133,-30.7012621910619,"TR-13"
25260,114.93788666819,-30.7020386368951,"TR-14"
25752,114.96391436289,-30.66184585748,"TR-15"
29070,114.854389450281,-30.6391703147831,"TR-16"
29657,114.949960220407,-30.6872768466546,"TR-17"
32978,114.840886540926,-30.661924903228,"TR-18"
36759,115.051361823253,-30.6488256208708,"TR-19"
38974,114.913880730787,-30.6416061256333,"TR-20"
42837,114.910823223295,-30.6766458712284,"TR-21"
45531,115.108346391529,-30.6835581754754,"TR-22"
46145,114.693453768213,-30.6395335586536,"TR-23"
49471,115.097501370033,-30.7093962188977,"TR-24"
51672,114.862469694674,-30.7002354424217,"TR-25"
52160,115.00016753509,-30.6529983087681,"TR-26"
54969,114.753403481462,-30.6748182829634,"TR-27"
56052,114.989780620571,-30.6761636032518,"TR-28"
64803,114.951162194635,-30.69834262844,"TR-29"
65285,114.887338508182,-30.6489996403935,"TR-30"
68111,114.853222833003,-30.699008821309,"TR-31"
69207,114.896603667894,-30.6856717263481,"TR-32"
71912,115.041648262276,-30.6502782301095,"TR-33"
75827,115.041717775281,-30.6857257394124,"TR-34"
77998,114.894493938174,-30.7153863912736,"TR-35"
78493,114.98642887061,-30.6593660884798,"TR-36"
79097,114.684910637663,-30.6520308575371,"TR-37"
82420,114.969396148856,-30.6843833645951,"TR-38"
85113,115.12684341318,-30.6859784262863,"TR-39"
85721,114.82950706624,-30.6549537531658,"TR-40"
89039,115.110772351735,-30.7056856776018,"TR-41"
90141,114.762147907553,-30.7141728825266,"TR-42"
91241,114.998610811429,-30.7155038507529,"TR-43"
91732,114.933309450775,-30.6387173023889,"TR-44"
95628,114.93784060208,-30.6665904355775,"TR-45"
96122,114.96151769895,-30.6397237195662,"TR-46"
98321,115.073684312973,-30.6653816440582,"TR-47"
98944,114.711681574559,-30.6610646503626,"TR-48"
102251,115.083022631453,-30.7020514392397,"TR-49"
103349,114.834961071255,-30.7129518702688,"TR-50"
104449,114.883809669262,-30.686706549247,"TR-51"
104940,115.022013550284,-30.6722292667893,"TR-52"
108833,115.004987008586,-30.6972503086157,"TR-53"
112121,114.815756562083,-30.661314390084,"TR-54"
115899,115.110864289532,-30.6511717607231,"TR-55"
118086,114.876430390519,-30.6393652283048,"TR-56"
120877,114.817174778385,-30.6887712123803,"TR-57"
121971,114.862458660013,-30.6647885261734,"TR-58"
124666,115.059946810565,-30.6717652838098,"TR-59"
128594,115.056946013989,-30.7068081267352,"TR-60"
130783,114.919380719477,-30.6995930226993,"TR-61"
131268,114.951805344966,-30.6411613304709,"TR-62"
134097,114.726615266449,-30.6657909360725,"TR-63"
134594,114.846328209473,-30.6490090280882,"TR-64"
135195,114.964175550672,-30.6782457926479,"TR-65"
138502,114.847764415166,-30.676467356476,"TR-66"
141824,115.136379483057,-30.7035867566979,"TR-67"
142919,114.728021427802,-30.6932498596154,"TR-68"
144007,115.018060922066,-30.7126053400949,"TR-69"
144496,114.923851863561,-30.6565534795093,"TR-70"
148367,114.90680357679,-30.6815725177349,"TR-71"
151069,115.099750253298,-30.6606217094715,"TR-72"
155006,115.110487383467,-30.6892955918918,"TR-73"
157200,114.871243396007,-30.7041280385181,"TR-74"
157684,114.996624505954,-30.6552514346555,"TR-75"
161589,114.996677738994,-30.6907077533769,"TR-76"
163794,115.047216913056,-30.7082596343251,"TR-77"
164887,114.779726153507,-30.651058005216,"TR-78"
168698,115.087137297131,-30.6426145800536,"TR-79"
170390,114.942635279067,-30.7108437434876,"TR-80"
173675,114.836624925705,-30.6858968702347,"TR-81"
174773,114.881892892082,-30.6619066598374,"TR-82"
175271,115.030726342441,-30.6406554210093,"TR-83"
177470,115.048552264722,-30.6648113773645,"TR-84"
178088,114.750088325572,-30.658015320412,"TR-85"
181382,115.034617561745,-30.6902503905446,"TR-86"
183567,114.911076429835,-30.6930455968606,"TR-87"
184053,114.966999462192,-30.6622529278195,"TR-88"
186863,114.68629565726,-30.6794892595441,"TR-89"
187950,114.979847951389,-30.6966681885458,"TR-90"
191251,114.82144240107,-30.6647908932773,"TR-91"
192354,114.856543171633,-30.7158161884808,"TR-92"
194552,115.121890040518,-30.6962354186211,"TR-93"
195042,115.057521536574,-30.6496346284985,"TR-94"
197257,114.94328139858,-30.6536723867908,"TR-95"
