"longitude","latitude","sample.no","proposed.sampling.methods","dab.no"
114.720843333333,-34.0078120333333,"SS-01","Grab sample",1
114.753998333333,-33.9628528333333,"SS-02","Grab sample/Video camera",1
114.810898333333,-34.0107117166667,"SS-03","Grab sample",2
114.871135,-33.9590288333333,"SS-04","Video camera",4
114.87088,-33.9869623333333,"SS-05","Grab sample",4
114.915623333333,-33.9894103333333,"SS-06","Video camera",5
114.963033333333,-33.9803196666667,"SS-07","Video camera",6
114.941601666667,-34.0239897166667,"SS-08","Grab sample",6
114.99472,-34.179679,"SS-09","Video camera",7
114.926278333333,-34.1300152333333,"SS-10","Video camera",12
114.9226,-34.2189735,"SS-11","Video camera",11
114.858518333333,-34.1755916666667,"SS-12","Grab sample",10
114.758831666667,-34.1868376666667,"SS-13","Grab sample",8
114.82601,-34.2584466666667,"SS-14","Video camera",9
114.878713333333,-34.3903601666667,"SS-15","Video camera",13
114.995241666667,-34.5044706666667,"SS-16","Grab sample/Video camera",15
