"x","y","inclusion.probabilities","ID","DropC","sample"
115.00137207,-33.236188965,0.308962264150943,1069,1,"DC01"
115.04137207,-33.251188965,1,1349,2,"DC02"
115.01387207,-33.223688965,1,854,3,"DC03"
114.99387207,-33.206188965,0.0730211817168339,538,4,"DC04"
115.03137207,-33.248688965,1,1301,5,"DC05"
115.00387207,-33.218688965,0.308962264150943,762,6,"DC06"
115.02637207,-33.223688965,1,859,7,"DC07"
115.03887207,-33.186188965,0.0730211817168339,204,8,"DC08"
115.01137207,-33.231188965,1,985,9,"DC09"
115.00387207,-33.231188965,0.308962264150943,982,10,"DC10"
115.04137207,-33.246188965,1,1261,11,"DC11"
115.01387207,-33.218688965,1,766,12,"DC12"
115.02137207,-33.243688965,0.308962264150943,1209,13,"DC13"
115.00637207,-33.238688965,1,1115,14,"DC14"
115.04637207,-33.256188965,1,1439,15,"DC15"
115.01887207,-33.226188965,1,900,16,"DC16"
115.03637207,-33.241188965,1,1171,17,"DC17"
114.99637207,-33.233688965,0.0730211817168339,1023,18,"DC18"
114.99887207,-33.248688965,0.308962264150943,1288,19,"DC19"
115.03887207,-33.238688965,1,1128,20,"DC20"
114.97387207,-33.178688965,0.0730211817168339,46,21,"DC21"
115.02887207,-33.251188965,1,1344,22,"DC22"
115.04387207,-33.213688965,0.0730211817168339,690,23,"DC23"
115.00887207,-33.258688965,0.308962264150943,1468,24,"DC24"
115.04887207,-33.251188965,1,1352,25,"DC25"
115.02137207,-33.221188965,1,813,26,"DC26"
115.07637207,-33.193688965,0.308962264150943,351,27,"DC27"
115.03387207,-33.238688965,1,1126,28,"DC28"
115.04387207,-33.258688965,1,1482,29,"DC29"
115.01637207,-33.231188965,1,987,30,"DC30"
115.02637207,-33.246188965,1,1255,31,"DC31"
114.99887207,-33.218688965,0.308962264150943,760,32,"DC32"
115.06637207,-33.253688965,0.308962264150943,1403,33,"DC33"
115.00387207,-33.243688965,1,1202,34,"DC34"
114.99137207,-33.186188965,0.308962264150943,185,35,"DC35"
115.02887207,-33.228688965,0.308962264150943,948,36,"DC36"
115.01637207,-33.238688965,1,1119,37,"DC37"
115.03637207,-33.253688965,1,1391,38,"DC38"
115.06387207,-33.198688965,0.0730211817168339,434,39,"DC39"
114.97137207,-33.206188965,0.0730211817168339,529,40,"DC40"
115.04137207,-33.241188965,1,1173,41,"DC41"
115.01387207,-33.213688965,0.308962264150943,678,42,"DC42"
115.00637207,-33.176188965,0.308962264150943,15,43,"DC43"
115.03137207,-33.241188965,1,1169,44,"DC44"
114.98887207,-33.256188965,0.0730211817168339,1416,45,"DC45"
115.03637207,-33.191188965,0.0730211817168339,291,46,"DC46"
115.00887207,-33.236188965,1,1072,47,"DC47"
115.02387207,-33.223688965,1,858,48,"DC48"
115.07887207,-33.196188965,0.308962264150943,396,49,"DC49"
115.03387207,-33.248688965,1,1302,50,"DC50"
