"x","y","inclusion.probabilities","ID","DropC","sample"
114.96637207,-33.326188965,0.485245901639344,1305,1,"DC51"
115.04387207,-33.263688965,1,86,2,"DC52"
114.99387207,-33.296188965,0.485245901639344,716,3,"DC53"
115.05637207,-33.271188965,0.485245901639344,241,4,"DC54"
114.97887207,-33.316188965,1,1110,5,"DC55"
114.97137207,-33.311188965,1,1007,6,"DC56"
115.00137207,-33.316188965,0.0807860262008734,1119,7,"DC57"
114.97887207,-33.323688965,1,1260,8,"DC58"
114.95887207,-33.288688965,0.485245901639344,552,9,"DC59"
115.02137207,-33.261188965,0.485245901639344,27,10,"DC60"
115.03637207,-33.331188965,0.485245901639344,1433,11,"DC61"
114.96637207,-33.321188965,1,1205,12,"DC62"
114.99887207,-33.268688965,0.0807860262008734,168,13,"DC63"
114.98387207,-33.308688965,1,962,14,"DC64"
114.97387207,-33.333688965,0.485245901639344,1458,15,"DC65"
114.99637207,-33.316188965,0.485245901639344,1117,16,"DC66"
115.05637207,-33.321188965,0.0807860262008734,1241,17,"DC67"
114.97637207,-33.293688965,0.485245901639344,659,18,"DC68"
115.03887207,-33.266188965,1,134,19,"DC69"
114.96887207,-33.281188965,0.0807860262008734,406,20,"DC70"
115.01637207,-33.263688965,0.485245901639344,75,21,"DC71"
114.97887207,-33.301188965,1,810,22,"DC72"
115.04137207,-33.276188965,0.485245901639344,335,23,"DC73"
114.99137207,-33.308688965,1,965,24,"DC74"
114.97637207,-33.326188965,1,1309,25,"DC75"
114.96887207,-33.291188965,1,606,26,"DC76"
114.95887207,-33.313688965,0.485245901639344,1052,27,"DC77"
114.97387207,-33.313688965,1,1058,28,"DC78"
115.03637207,-33.286188965,0.0807860262008734,533,29,"DC79"
115.00637207,-33.331188965,0.485245901639344,1421,30,"DC80"
114.99637207,-33.293688965,0.0807860262008734,667,31,"DC81"
114.99387207,-33.318688965,1,1166,32,"DC82"
114.97137207,-33.323688965,1,1257,33,"DC83"
115.01637207,-33.338688965,0.0807860262008734,1575,34,"DC84"
114.98637207,-33.303688965,1,863,35,"DC85"
115.04887207,-33.276188965,0.485245901639344,338,36,"DC86"
114.97137207,-33.321188965,1,1207,37,"DC87"
115.05387207,-33.323688965,0.485245901639344,1290,38,"DC88"
115.03887207,-33.271188965,1,234,39,"DC89"
115.06887207,-33.288688965,0.0807860262008734,596,40,"DC90"
114.98387207,-33.328688965,1,1362,41,"DC91"
115.02137207,-33.266188965,0.485245901639344,127,42,"DC92"
114.98887207,-33.333688965,0.485245901639344,1464,43,"DC93"
114.96637207,-33.316188965,1,1105,44,"DC94"
114.98137207,-33.303688965,1,861,45,"DC95"
114.96137207,-33.268688965,1,153,46,"DC96"
114.96887207,-33.303688965,1,856,47,"DC97"
114.95637207,-33.328688965,0.485245901639344,1351,48,"DC98"
114.97137207,-33.291188965,1,607,49,"DC99"
115.03387207,-33.266188965,1,132,50,"DC100"
