"DropC","x","y","sample"
213,123.628302909624,-34.4670392424817,"SAL-001"
939,123.570573204866,-34.2992091798629,"SAL-002"
1424,123.464800622183,-34.2246877906999,"SAL-003"
1922,123.491934533694,-34.5328333930996,"SAL-004"
2158,123.640323216905,-34.08633016106,"SAL-005"
2895,123.559843740138,-34.1479769583915,"SAL-006"
3133,123.590944960279,-34.3221078199586,"SAL-007"
3859,123.478347516589,-34.3787903121411,"SAL-008"
4106,123.625974616313,-34.5877113687821,"SAL-009"
4595,123.65170672172,-34.5250362614366,"SAL-010"
5076,123.613362350709,-34.1624208438126,"SAL-011"
5801,123.526114028293,-34.2262641361876,"SAL-012"
6050,123.624771326259,-34.4050194826932,"SAL-013"
6776,123.51532158102,-34.4619417975739,"SAL-014"
7268,123.495348097488,-34.1784414590887,"SAL-015"
7426,123.588948690343,-33.9859995819074,"SAL-016"
8012,123.64314383679,-34.2531468230446,"SAL-017"
8510,123.638578392931,-34.5590402601661,"SAL-018"
8746,123.585241894483,-34.0879062132922,"SAL-019"
8992,123.593424527419,-34.4915049869346,"SAL-020"
9640,123.603663746359,-34.0327278323282,"SAL-021"
9728,123.51001026782,-34.321886576763,"SAL-022"
10707,123.518242458523,-34.5615064830055,"SAL-023"
10945,123.605840486089,-34.1081525161707,"SAL-024"
11691,123.505788474881,-34.1711067059996,"SAL-025"
11933,123.652613540162,-34.3532096700845,"SAL-026"
12667,123.539747341881,-34.4125978316354,"SAL-027"
12921,123.568212737348,-34.613280386308,"SAL-028"
13155,123.469758396649,-34.0476255897008,"SAL-029"
13895,123.639609089048,-34.1911067477787,"SAL-030"
14615,123.542711358111,-34.2542933807717,"SAL-031"
14871,123.560938942279,-34.4274947718527,"SAL-032"
15607,123.480149186504,-34.4890449328045,"SAL-033"
16246,123.547808880343,-34.010042267707,"SAL-034"
16335,123.66306124539,-34.3458581394858,"SAL-035"
16815,123.614502986169,-34.2807446422004,"SAL-036"
17551,123.531222791519,-34.1110510718805,"SAL-037"
17792,123.597462659513,-34.5159457298465,"SAL-038"
18525,123.536000914404,-34.3532407055923,"SAL-039"
19017,123.476056269271,-34.2093507268954,"SAL-040"
20495,123.570556089278,-34.202470745205,"SAL-041"
20737,123.596295796761,-34.3009784455967,"SAL-042"
21482,123.508086717302,-34.437263426768,"SAL-043"
21725,123.614125419201,-34.5439472211927,"SAL-044"
22212,123.669677563914,-34.5074675081355,"SAL-045"
22703,123.595694167663,-34.1450805048527,"SAL-046"
22944,123.481338477901,-34.3172042663853,"SAL-047"
23433,123.504670153036,-34.2785225151011,"SAL-048"
23676,123.63655474306,-34.3843464875976,"SAL-049"
24420,123.541884203909,-34.5201731037922,"SAL-050"
24914,123.468604346218,-34.1550727108918,"SAL-051"
25635,123.632148516292,-34.2335839819581,"SAL-052"
26365,123.576940341287,-34.0416352271593,"SAL-053"
26611,123.566310131873,-34.4708410123828,"SAL-054"
27265,123.639976667098,-33.9922114245642,"SAL-055"
27355,123.492601956765,-34.301870220085,"SAL-056"
28100,123.661836595482,-34.455908339815,"SAL-057"
28333,123.529526953336,-34.54617894561,"SAL-058"
28579,123.623482446824,-34.0932345514064,"SAL-059"
29308,123.543258316676,-34.1199487711615,"SAL-060"
29460,123.494359611897,-34.0278333060449,"SAL-061"
29543,123.628739424708,-34.3327699484311,"SAL-062"
30289,123.525536921961,-34.3928122774856,"SAL-063"
30538,123.550206360701,-34.566401226941,"SAL-064"
30779,123.499399089652,-34.1061469055,"SAL-065"
31520,123.657260237149,-34.1761877779879,"SAL-066"
32256,123.579124971811,-34.2138128773844,"SAL-067"
32505,123.595001131942,-34.4110402038107,"SAL-068"
33232,123.498142761215,-34.4714949269741,"SAL-069"
33865,123.533383584272,-33.9929019380139,"SAL-070"
34436,123.597348401424,-34.2580672437521,"SAL-071"
35177,123.513052980596,-34.0667732540654,"SAL-072"
35422,123.634503762801,-34.5023766832452,"SAL-073"
36069,123.650153324796,-34.019802987081,"SAL-074"
37143,123.491375910455,-34.5703873360109,"SAL-075"
37385,123.652926176243,-34.122134769134,"SAL-076"
38128,123.543523221092,-34.1495337093507,"SAL-077"
38368,123.574605099137,-34.3559077816925,"SAL-078"
39102,123.493608981824,-34.4201459511781,"SAL-079"
39822,123.648158540994,-34.4630286140077,"SAL-080"
40297,123.625697109569,-34.2009010358042,"SAL-081"
41021,123.515400630534,-34.2362704006791,"SAL-082"
41273,123.611648430686,-34.439040323538,"SAL-083"
42002,123.527388283047,-34.503062302333,"SAL-084"
42483,123.489752067717,-34.1377335909507,"SAL-085"
42635,123.598048250829,-34.0242763934966,"SAL-086"
43217,123.658450813972,-34.2945073246013,"SAL-087"
43939,123.57454833883,-34.097919961895,"SAL-088"
44184,123.580281377693,-34.5255067954545,"SAL-089"
44841,123.625537844678,-33.9750882303847,"SAL-090"
44928,123.522327744211,-34.3603514296716,"SAL-091"
45908,123.508018812607,-34.5983966280274,"SAL-092"
46149,123.598861087293,-34.0485231221844,"SAL-093"
46902,123.511943247227,-34.1742158373003,"SAL-094"
47054,123.48263093171,-33.9839905660081,"SAL-095"
47138,123.646681891778,-34.3151865600844,"SAL-096"
47876,123.552086532726,-34.4510516996497,"SAL-097"
48128,123.584048848184,-34.5526239501594,"SAL-098"
48353,123.482028740312,-34.0861189867759,"SAL-099"
49107,123.639024627363,-34.1319318910128,"SAL-100"
