"","x","y","inclusion.probabilities","ID","DropC","sample"
"1",121.97125,-34.04625,0.110795454545455,492,1,"SAN-DC-01"
"2",122.02125,-34.01875,0.546728971962617,72,2,"SAN-DC-02"
"3",121.98375,-34.03375,1,297,3,"SAN-DC-03"
"4",122.03375,-34.07875,0.110795454545455,1037,4,"SAN-DC-04"
"5",121.95125,-34.05125,1,564,5,"SAN-DC-05"
"6",122.00125,-34.02625,1,184,6,"SAN-DC-06"
"7",121.96375,-34.01625,0.546728971962617,9,7,"SAN-DC-07"
"8",121.97375,-34.03125,1,253,8,"SAN-DC-08"
"9",122.01125,-34.02125,1,108,9,"SAN-DC-09"
"10",122.02875,-34.02625,0.546728971962617,195,10,"SAN-DC-10"
"11",121.94375,-34.05875,0.546728971962617,681,11,"SAN-DC-11"
"12",121.98125,-34.04125,0.546728971962617,416,12,"SAN-DC-12"
"13",121.97375,-34.04125,1,413,13,"SAN-DC-13"
"14",121.95875,-34.08375,0.110795454545455,1087,14,"SAN-DC-14"
"15",121.98375,-34.02875,0.546728971962617,217,15,"SAN-DC-15"
"16",121.95125,-34.04625,1,484,16,"SAN-DC-16"
"17",122.00125,-34.02125,0.546728971962617,104,17,"SAN-DC-17"
"18",121.96375,-34.03625,1,329,18,"SAN-DC-18"
"19",121.94375,-34.07125,0.546728971962617,881,19,"SAN-DC-19"
"20",121.96875,-34.01875,1,51,20,"SAN-DC-20"
"21",121.95625,-34.06625,0.546728971962617,806,21,"SAN-DC-21"
"22",121.97125,-34.07375,0.110795454545455,932,22,"SAN-DC-22"
"23",122.03375,-34.03375,0.110795454545455,317,23,"SAN-DC-23"
"24",121.96625,-34.04375,1,450,24,"SAN-DC-24"
"25",122.01625,-34.01625,0.546728971962617,30,25,"SAN-DC-25"
"26",121.98125,-34.02125,0.546728971962617,96,26,"SAN-DC-26"
"27",121.94875,-34.06375,0.546728971962617,763,27,"SAN-DC-27"
"28",122.02375,-34.05375,0.110795454545455,633,28,"SAN-DC-28"
"29",121.96125,-34.02875,1,208,29,"SAN-DC-29"
"30",121.97125,-34.03375,1,292,30,"SAN-DC-30"
