"inclusion.probabilities","ID","DropC","sample","lon","lat"
1,8750646,1,"SWC-DC-01",114.907251881765,-34.1220274159426
0.249994848464728,5983951,2,"SWC-DC-02",114.825263730676,-34.09770082491
1,10550957,3,"SWC-DC-03",114.809555486318,-34.1352539573091
1,1850713,4,"SWC-DC-04",114.7701762303,-34.0624871837283
0.00980359147328123,2117148,5,"SWC-DC-05",114.806546652577,-34.0653419304079
0.249994848464728,2904406,6,"SWC-DC-06",114.771030529498,-34.0712304270418
0.249994848464728,5543610,7,"SWC-DC-07",114.79992186881,-34.0936068128282
1,796866,8,"SWC-DC-08",114.762652510117,-34.0536226609556
1,3962496,9,"SWC-DC-09",114.773746869308,-34.0800434879359
0.249994848464728,7106492,10,"SWC-DC-10",114.79074613585,-34.1063894333052
1,8160126,11,"SWC-DC-11",114.789045640383,-34.1150865499132
1,9434607,12,"SWC-DC-12",114.923715710217,-34.1279693617523
0.249994848464728,7853696,13,"SWC-DC-13",114.90630795188,-34.1145817273664
0.249994848464728,2708629,14,"SWC-DC-14",114.777700551775,-34.0697283501752
1,5082648,15,"SWC-DC-15",114.824371428046,-34.0902194828607
1,601089,16,"SWC-DC-16",114.769321255562,-34.0521209861077
0.249994848464728,4028878,17,"SWC-DC-17",114.820175554863,-34.081417252469
0.249994848464728,6226627,18,"SWC-DC-18",114.775465836063,-34.0988284182902
1,5041251,19,"SWC-DC-19",114.917238100349,-34.0914689038601
0.00980359147328123,8861477,20,"SWC-DC-20",114.804368311227,-34.1211680334031
1,4908593,21,"SWC-DC-21",114.828957812716,-34.0888580306914
1,826310,22,"SWC-DC-22",114.906440844972,-34.0563732214717
0.00980359147328123,6359699,23,"SWC-DC-23",114.881693898209,-34.1017889182866
1,5172962,24,"SWC-DC-24",114.775824135467,-34.0901071914158
1,3987586,25,"SWC-DC-25",114.917581797237,-34.0827467018561
1,1215925,26,"SWC-DC-26",114.809121151002,-34.0579223299775
1,365772,27,"SWC-DC-27",114.760667578535,-34.0500160628249
0.249994848464728,3005112,28,"SWC-DC-28",114.795440553671,-34.0725004414009
0.249994848464728,4190897,29,"SWC-DC-29",114.86004448185,-34.0834528005042
0.249994848464728,1686463,30,"SWC-DC-30",114.822275122984,-34.062051267456
1,2477666,31,"SWC-DC-31",114.769043921614,-34.0676599911972
1,7045284,32,"SWC-DC-32",114.779838629573,-34.1056877705208
