"x","y","inclusion.probabilities","ID","DropC","sample"
295096,6225252,1,5573604,1,"SWC-BV-01"
306388,6223436,0.249994848464728,7553143,2,"SWC-BV-02"
307752,6223972,0.249994848464728,6970048,3,"SWC-BV-03"
307412,6223004,1,8023631,4,"SWC-BV-04"
309044,6221552,1,9604541,5,"SWC-BV-05"
294892,6224820,1,6043785,6,"SWC-BV-06"
295708,6224980,1,5869829,7,"SWC-BV-07"
300608,6225708,0.249994848464728,5078626,8,"SWC-BV-08"
294484,6225464,1,5342689,9,"SWC-BV-09"
301932,6226476,0.249994848464728,4242989,10,"SWC-BV-10"
296492,6220784,1,10437371,11,"SWC-BV-11"
304656,6221148,0.00980359147328123,10043198,12,"SWC-BV-12"
299212,6228776,0.249994848464728,1738759,13,"SWC-BV-13"
303296,6227444,0.249994848464728,3189662,14,"SWC-BV-14"
301116,6226352,0.249994848464728,4377759,15,"SWC-BV-15"
302616,6223140,0.249994848464728,7874396,16,"SWC-BV-16"
302340,6225076,0.249994848464728,5766991,17,"SWC-BV-17"
294724,6227620,1,2995943,18,"SWC-BV-18"
295472,6222292,1,8795658,19,"SWC-BV-19"
294384,6226648,1,4053880,20,"SWC-BV-20"
302272,6228628,0.249994848464728,1900622,21,"SWC-BV-21"
295064,6223420,0.249994848464728,7567728,22,"SWC-BV-22"
308124,6221604,1,9547709,23,"SWC-BV-23"
301592,6222696,0.249994848464728,8357434,24,"SWC-BV-24"
295880,6220676,1,10554776,25,"SWC-BV-25"
308940,6221764,1,9373753,26,"SWC-BV-26"
294792,6225036,1,5808644,27,"SWC-BV-27"
296968,6229396,0.249994848464728,1063328,28,"SWC-BV-28"
307316,6222252,1,8842159,29,"SWC-BV-29"
293708,6229880,1,535679,30,"SWC-BV-30"
295884,6222612,0.249994848464728,8447441,31,"SWC-BV-31"
308948,6223704,1,7262065,32,"SWC-BV-32"
294524,6228912,0.00980359147328123,1589551,33,"SWC-BV-33"
305408,6224916,0.249994848464728,5941918,34,"SWC-BV-34"
308540,6221300,1,9878717,35,"SWC-BV-35"
302824,6222996,1,8031192,36,"SWC-BV-36"
308472,6223884,1,7066016,37,"SWC-BV-37"
298676,6224972,1,5879279,38,"SWC-BV-38"
296496,6222792,0.00980359147328123,8251664,39,"SWC-BV-39"
305204,6226064,0.249994848464728,4692269,40,"SWC-BV-40"
298132,6222068,0.249994848464728,9040147,41,"SWC-BV-41"
297860,6224004,1,6932743,42,"SWC-BV-42"
296768,6227636,1,2979038,43,"SWC-BV-43"
302620,6222672,1,8383815,44,"SWC-BV-44"
296088,6223760,1,7197894,45,"SWC-BV-45"
300716,6225132,1,5705629,46,"SWC-BV-46"
295272,6222956,1,8072844,47,"SWC-BV-47"
297552,6226588,1,4119982,48,"SWC-BV-48"
