Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
40,18/03/2021,10:38,11:40,-124.75,Tas Fracture,40,No-take,-43.76401699,146.4819881,,,,,286,287,,,,ashlee b,,,Y,,,Y,,
41,18/03/2021,11:05,12:07,-133.66,Tas Fracture,41,No-take,-43.76747292,146.4761853,,,,,282,283,,,,ashlee b,,,Y,,,Y,,
42,18/03/2021,11:12,12:14,-120.46,Tas Fracture,42,No-take,-43.76657636,146.4775562,,,,,1258,1259,,,,ashlee b,,,Y,,,Y,,
43,18/03/2021,10:55,11:56,-135.82,Tas Fracture,43,No-take,-43.76717862,146.4823617,,,,,406,407,,,,ashlee b,,,Y,,,Y,,
44,18/03/2021,11:25,12:35,-122.738998,Tas Fracture,44,No-take,-43.76253272,146.4817604,,,,,1262,1263,,,,ashlee b,,,Y,,,Y,,
47,18/03/2021,11:32,12:40,-118.526001,Tas Fracture,47,No-take,-43.76386281,146.4764574,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
49,18/03/2021,13:47,14:52,-69.33,Tas Fracture (Ref),49,Fished,-43.75026646,146.3666278,,,,,1258,1259,,,,ashlee b,,,Y,,,Y,,
50,18/03/2021,14:03,15:04,-94.97,Tas Fracture (Ref),50,Fished,-43.75846164,146.3766604,,,,,286,287,,,,Shenae,,,Y,,,N,,
51,18/03/2021,14:07,15:08,-88.61,Tas Fracture (Ref),51,Fished,-43.76391279,146.3687609,,,,,282,283,,,,Shenae,,,Y,,,Y,,
52,18/03/2021,15:52,19:00,-83.18,Tas Fracture (Ref),52,Fished,-43.77308649,146.3717008,stuck,,,,286,287,,,,ashlee b,,,Y,,,Y,,
53,18/03/2021,13:31,14:35,-63.8,Tas Fracture (Ref),53,Fished,-43.75114293,146.3780011,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
54,18/03/2021,16:08,17:10,-138.22,Tas Fracture (Ref),54,Fished,-43.77549479,146.3656025,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
55,18/03/2021,14:05,15:05,-95.73,Tas Fracture (Ref),55,Fished,-43.76086884,146.3703108,,,,,406,407,,,,Shenae,,,Y,,,Y,,
56,18/03/2021,13:40,14:50,-56.02,Tas Fracture (Ref),56,Fished,-43.74623432,146.3734993,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
57,18/03/2021,16:15,17:20,-85.37,Tas Fracture (Ref),57,Fished,-43.76817765,146.3671979,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
62,18/03/2021,16:02,17:15,-138.669006,Tas Fracture (Ref),62,Fished,-43.77887725,146.3707545,,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
63,18/03/2021,15:32,15:40,-79.768997,Tas Fracture (Ref),63,Fished,-43.76424278,146.3739439,,,,,282,283,,,,ashlee b,,,Y,,,N,,
61,18/03/2021,15:41,16:50,-109.057999,Tas Fracture (Ref),61,Fished,-43.77158495,146.3769037,,,,,406,407,,,,Shenae,,,Y,,,Y,,
67,18/03/2021,18:12,19:30,-93.68,Tas Fracture (Ref),67,Fished,-43.75312194,146.3063949,,,,,282,283,No clapper,,,Shenae,,,Y,,,N,,
68,18/03/2021,18:05,19:40,-81.77,Tas Fracture (Ref),68,Fished,-43.75496863,146.3089032,,,,,1258,1259,,,,Shenae,,,Y,,,Y,,
69,18/03/2021,17:58,19:55,-121.89,Tas Fracture (Ref),69,Fished,-43.763134,146.3131101,,,,,1262,1263,,,,Shenae,,,Y,,,N,,
70,18/03/2021,18:03,19:59,-120.79,Tas Fracture (Ref),70,Fished,-43.76070128,146.3146558,,,,,1260,1261,,,,Shenae,,,Y,,,Y,,
74,19/03/2021,13:59,15:15,-125.69,Tas Fracture,74,No-take,-43.75131727,146.2919636,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
75,19/03/2021,15:37,16:40,-123.89,Tas Fracture,75,No-take,-43.74871361,146.2932768,,,,,1262,1263,,,,Shenae,,,Y,,,Y,,
