Period,Date,Time,Depth,Location,Site,Status,IUCN,Latitude,Longitude,Camera.model,Organisation,Primary.contact,Secondary.contact,Funder,Grant.no,Observer,Successful.count,Successful.length
F_1,20220426,14:54,81,Franklin AMP,F_1,Fished,IUCN VI,-40.592711,144.30624,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_2,20220426,16:33,69,Franklin AMP,F_2,Fished,IUCN VI,-40.569406,144.318869,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_3,20220422,15:58,83,Franklin AMP,F_3,Fished,IUCN VI,-40.99043,144.281785,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_4,20220426,8:18,62,Franklin AMP,F_4,Fished,IUCN VI,-40.603579,144.38321,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_5,20220427,14:45,50,Franklin AMP,F_5,Fished,IUCN VI,-40.532138,144.35105,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_6,20220425,9:14,67,Franklin AMP,F_6,Fished,IUCN VI,-40.736687,144.358578,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_7,20220425,13:20,97,Franklin AMP,F_7,Fished,IUCN VI,-40.751671,144.240729,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_8,20220428,15:40,51,Franklin AMP,F_8,Fished,IUCN VI,-40.548128,144.364943,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_9,20220427,16:32,68,Franklin AMP,F_9,Fished,IUCN VI,-40.575131,144.340494,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_10,20220427,11:35,91,Franklin AMP,F_10,Fished,IUCN VI,-40.603059,144.275098,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
F_11,20220429,11:02,45,Franklin AMP,F_11,Fished,IUCN VI,-40.561676,144.382364,GoPro Hero10,IMAS,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,Lachlan,Yes,Yes
