System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
,53,44.4,,1,99879e3e-b312-4967-bdec-41b6060937cf,3/13/2023 12:41:32 AM,Claude.Spencer_UWA,3/13/2023 12:41:32 AM,Claude.Spencer_UWA,114.909506666311,-34.1339783331902
,35,40.8,,2,e56837f6-e480-4e6c-8f12-161da2f6ecd1,3/13/2023 12:54:08 AM,Claude.Spencer_UWA,3/13/2023 12:54:08 AM,Claude.Spencer_UWA,114.91726166675,-34.1331033334868
,55,40.4,,3,eb3e9c4c-523a-49b2-8826-24610f60eb88,3/13/2023 1:06:16 AM,Claude.Spencer_UWA,3/13/2023 1:06:16 AM,Claude.Spencer_UWA,114.929228333059,-34.1301699999178
,82,38.1,All cams good before drop,4,d6a4dacc-36df-475e-8905-a7c4dff2dfb5,3/13/2023 1:15:08 AM,Claude.Spencer_UWA,3/13/2023 1:15:08 AM,Claude.Spencer_UWA,114.924483332914,-34.1295066668898
,12,36.9,,5,edfd5722-3ec5-4f86-9b5b-bb336d57e255,3/13/2023 1:22:11 AM,Claude.Spencer_UWA,3/13/2023 1:22:11 AM,Claude.Spencer_UWA,114.923691666518,-34.1280649997558
,67,39.9,,6,cbde120a-5e1b-4790-a912-725341654874,3/13/2023 1:29:01 AM,Claude.Spencer_UWA,3/13/2023 1:29:01 AM,Claude.Spencer_UWA,114.921168333021,-34.1270266664607
,79,40.2,,7,9ea050da-ea1e-49a8-a946-08dee2267301,3/13/2023 1:38:51 AM,Claude.Spencer_UWA,3/13/2023 1:38:51 AM,Claude.Spencer_UWA,114.911396666871,-34.1248350000141
,62,42.1,,8,6d112a42-054e-4410-a25f-511766d6b481,3/13/2023 1:46:16 AM,Claude.Spencer_UWA,3/13/2023 1:46:16 AM,Claude.Spencer_UWA,114.907970000101,-34.1239033333219
,01,41.2,Cams  good before,9,25e280b4-06c1-45d5-b063-a985028c8348,3/13/2023 1:54:05 AM,Claude.Spencer_UWA,3/13/2023 1:54:05 AM,Claude.Spencer_UWA,114.907269999594,-34.1222166668438
,54,43.9,,10,399801ad-e151-42c6-9152-96ee9f2f7946,3/13/2023 2:03:45 AM,Claude.Spencer_UWA,3/13/2023 2:03:45 AM,Claude.Spencer_UWA,114.911979999579,-34.116568333673
,13,45.7,,11,723b02c5-67a6-4fd2-9436-16522418044d,3/13/2023 2:13:01 AM,Claude.Spencer_UWA,3/13/2023 2:13:01 AM,Claude.Spencer_UWA,114.906471666801,-34.1146033332762
,88,45.1,Board showed 52 - Andy changed order,12,25e57f06-1ec0-4bb9-80d4-2af8abce4b39,3/13/2023 2:25:21 AM,Claude.Spencer_UWA,3/13/2023 2:25:21 AM,Claude.Spencer_UWA,114.915028333681,-34.1044333335521
