System #,Left camera,Left card,Right camera,Right card,Rear camera,Rear card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,027,230,028,225,19,41,1,b3a8037d-7e82-4213-9919-687820e6790d,3/14/2023 10:53:35 AM,Claude.Spencer_UWA,3/14/2023 10:53:35 AM,Claude.Spencer_UWA,115.025909999704,-34.2193983336242
2,030,235,030,223,20,54,2,72b88177-d64a-477a-86f6-87ff8f347346,3/14/2023 10:55:51 AM,Claude.Spencer_UWA,3/14/2023 10:55:51 AM,Claude.Spencer_UWA,115.025929999796,-34.2194300002715
3,031,213,032,221,021,55,3,7cdf437c-954f-48c8-a308-0daa67b18722,3/14/2023 10:57:32 AM,Claude.Spencer_UWA,3/14/2023 10:57:32 AM,Claude.Spencer_UWA,115.025926667046,-34.2194366669717
4,033,242,034,214,022,40,4,ff453d0c-5ada-4ecb-aa9a-871a15af3cce,3/14/2023 10:59:10 AM,Claude.Spencer_UWA,3/14/2023 10:59:10 AM,Claude.Spencer_UWA,115.025929999796,-34.2194383330895
5,035,219,036,215,023,57,5,483e8b11-13bd-4c3b-9d6d-0dcd17feeaee,3/14/2023 11:00:49 AM,Claude.Spencer_UWA,3/14/2023 11:00:49 AM,Claude.Spencer_UWA,115.025933333444,-34.2194183329878
6,037,112,038,237,024,03,6,54a1c314-f51a-43bb-8ad4-49ff9d1dc2a3,3/14/2023 11:02:41 AM,Claude.Spencer_UWA,3/14/2023 11:02:41 AM,Claude.Spencer_UWA,115.025924999773,-34.2194433336714
7,039,202,040,246,025,56,7,870c8763-c33a-4479-a3b2-f7c376522e68,3/14/2023 11:04:02 AM,Claude.Spencer_UWA,3/14/2023 11:04:02 AM,Claude.Spencer_UWA,115.025944999864,-34.2194449997891
8,041,113,042,210,026,58,8,1134c7cc-d310-45c8-b23c-d441c19e0b38,3/14/2023 11:05:23 AM,Claude.Spencer_UWA,3/14/2023 11:05:23 AM,Claude.Spencer_UWA,115.025929999796,-34.2194233335708
1,027,226,028,220,019,02,9,04e32eaf-4b9d-48dd-b9bd-d284931b1c59,3/17/2023 11:16:48 PM,Claude.Spencer_UWA,3/17/2023 11:16:48 PM,Claude.Spencer_UWA,115.154936666981,-34.3952283332177
2,029,201,030,239,020,35,10,b031bae2-0dd3-4376-b982-a748fd1aec40,3/17/2023 11:17:57 PM,Claude.Spencer_UWA,3/17/2023 11:17:57 PM,Claude.Spencer_UWA,115.154201666314,-34.3952116668536
3,031,247,032,211,021,36,11,a484ea8d-d0c2-484b-a648-27e415245bd1,3/17/2023 11:18:51 PM,Claude.Spencer_UWA,3/17/2023 11:18:51 PM,Claude.Spencer_UWA,115.148801666766,-34.3947983334407
4,033,203,034,218,022,42,12,69d7c4a1-68a9-45c2-b165-d221b3710b8f,3/17/2023 11:20:15 PM,Claude.Spencer_UWA,3/17/2023 11:20:15 PM,Claude.Spencer_UWA,115.143226666417,-34.3941633329881
5,035,229,036,240,023,811,13,efda1ed6-812b-4d9f-a034-520ab3c75f7b,3/17/2023 11:21:54 PM,Claude.Spencer_UWA,3/17/2023 11:21:54 PM,Claude.Spencer_UWA,115.138345000177,-34.3935566664416
6,037,205,038,231,024,812,14,b2d3a489-54d8-4f37-885a-8ae9677d9309,3/17/2023 11:23:24 PM,Claude.Spencer_UWA,3/17/2023 11:23:24 PM,Claude.Spencer_UWA,115.132293333078,-34.3927183335502
7,039,248,040,250,025,39,15,f3cbb5bb-a358-450b-9f2a-cc9b7b7f5c6e,3/17/2023 11:24:47 PM,Claude.Spencer_UWA,3/17/2023 11:24:47 PM,Claude.Spencer_UWA,115.126701666285,-34.3911683336314
8,041,207,042,241,026,65,16,e1168e56-0e62-4100-84e6-819b15f0f0c0,3/17/2023 11:25:59 PM,Claude.Spencer_UWA,3/17/2023 11:25:59 PM,Claude.Spencer_UWA,115.120389999793,-34.3889566663239
