System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,35,39.6,,1,7a23389a-0c2c-4d7d-b03c-f7bb7893f8e1,3/14/2023 11:36:19 PM,Claude.Spencer_UWA,3/14/2023 11:36:19 PM,Claude.Spencer_UWA,114.923644999938,-34.131550000139
2,5,42.7,,2,7392c924-f528-479a-8d84-90cca237683d,3/14/2023 11:49:41 PM,Claude.Spencer_UWA,3/14/2023 11:49:41 PM,Claude.Spencer_UWA,114.92923666673,-34.1295266667475
3,26,36.0,,3,1e5fc1d8-0f66-445f-acac-a056abd765b4,3/14/2023 11:54:35 PM,Claude.Spencer_UWA,3/14/2023 11:54:57 PM,Claude.Spencer_UWA,114.928430000266,-34.1272900003087
4,23,41.0,,4,b77c3dfc-d6fa-44d5-9778-63ef484e2d9e,3/15/2023 12:01:12 AM,Claude.Spencer_UWA,3/15/2023 12:01:12 AM,Claude.Spencer_UWA,114.918951666396,-34.1283233333089
5,29,42.6,,5,73cc3197-d993-4f0d-9562-50060a5b9dec,3/15/2023 12:07:51 AM,Claude.Spencer_UWA,3/15/2023 12:07:51 AM,Claude.Spencer_UWA,114.910516666439,-34.1229566664623
6,04,45.0,,6,1f187b3f-7c5e-4a70-a757-71473c2d51e7,3/15/2023 12:14:46 AM,Claude.Spencer_UWA,3/15/2023 12:14:46 AM,Claude.Spencer_UWA,114.911221666969,-34.1159666664967
7,32,44.4,,7,6321c330-9ebc-47c5-9d7d-7722da32f82d,3/15/2023 12:23:19 AM,Claude.Spencer_UWA,3/15/2023 12:23:19 AM,Claude.Spencer_UWA,114.928356666298,-34.1101966666492
8,37,46.1,,8,4a3222eb-f8c7-4d49-be0a-e7dfc4c80cca,3/15/2023 12:28:43 AM,Claude.Spencer_UWA,3/15/2023 12:28:43 AM,Claude.Spencer_UWA,114.923581666914,-34.1085366666613
1,03,46.7,Showed whiteboard 3 times,9,e08ceda5-85c9-447b-b07b-66c85dcf751b,3/15/2023 1:54:55 AM,Claude.Spencer_UWA,3/15/2023 1:54:55 AM,Claude.Spencer_UWA,114.915641666526,-34.1073416669911
2,02,44.7,,10,77307ef8-0b8c-4695-9bf9-455def1c5c2c,3/15/2023 2:02:10 AM,Claude.Spencer_UWA,3/15/2023 2:02:10 AM,Claude.Spencer_UWA,114.900846666223,-34.1119016669298
3,12,42.6,,11,d3b38bc8-6d3e-49b7-b872-3cbbd8be6bd8,3/15/2023 2:18:53 AM,Claude.Spencer_UWA,3/15/2023 2:18:53 AM,Claude.Spencer_UWA,114.881648333705,-34.1324866663746
4,44,44.1,,12,13530976-9189-4a50-ab8b-6356aa92086b,3/15/2023 2:31:56 AM,Claude.Spencer_UWA,3/15/2023 2:32:24 AM,Claude.Spencer_UWA,114.859756666912,-34.1180483330741
5,24,45.6,,13,cb964687-d4c0-4314-9ce4-c5aa811fd73c,3/15/2023 2:39:03 AM,Claude.Spencer_UWA,3/15/2023 2:39:03 AM,Claude.Spencer_UWA,114.848546666839,-34.1178883331815
6,36,44.0,,14,c6601876-e08a-4ac6-846d-e3163dd9c210,3/15/2023 2:45:39 AM,Claude.Spencer_UWA,3/15/2023 2:45:39 AM,Claude.Spencer_UWA,114.861338333328,-34.1153466666995
7,16,45.4,,15,d0999ed4-6106-4e66-bf45-fc307cdd7624,3/15/2023 2:52:02 AM,Claude.Spencer_UWA,3/15/2023 2:52:02 AM,Claude.Spencer_UWA,114.859710000332,-34.1139499996289
8,17,43.3,,16,87f9dc7c-6944-4ae0-a775-6b3b358f721e,3/15/2023 3:00:45 AM,Claude.Spencer_UWA,3/15/2023 3:00:45 AM,Claude.Spencer_UWA,114.857579999572,-34.0963466663623
1,34,43.7,,17,4c962470-a5c1-403d-bf81-b0b2d3b2ddf4,3/18/2023 2:12:23 AM,Claude.Spencer_UWA,3/18/2023 2:12:23 AM,Claude.Spencer_UWA,114.890556666765,-34.0986250001359
2,40,43.7,,18,fed0a518-c6d4-475d-8ed4-c20eed0fb6cc,3/18/2023 2:18:44 AM,Claude.Spencer_UWA,3/18/2023 2:18:44 AM,Claude.Spencer_UWA,114.888696666341,-34.0880566668169
3,14,42.7,Forgot to sync,19,37cf8cb8-44cf-4b78-85cb-a2c6d87f049c,3/18/2023 2:28:07 AM,Claude.Spencer_UWA,3/18/2023 2:51:14 AM,Claude.Spencer_UWA,114.868603333323,-34.0753033331801
4,21,42.3,Forgot to sync,20,787e0562-2249-4143-9de7-9cb2bd996b13,3/18/2023 2:34:59 AM,Claude.Spencer_UWA,3/18/2023 2:51:35 AM,Claude.Spencer_UWA,114.857485000035,-34.0643833332165
5,10,44.3,Forgot to sync,21,ea86342f-122a-42c1-a8a1-2f42a38bb7d7,3/18/2023 2:44:55 AM,Claude.Spencer_UWA,3/18/2023 2:51:54 AM,Claude.Spencer_UWA,114.85330499978,-34.0838750003137
6,15,45.3,,22,bdcf61b8-c2bc-488f-a59d-343686dc1dae,3/18/2023 2:50:22 AM,Claude.Spencer_UWA,3/18/2023 2:50:22 AM,Claude.Spencer_UWA,114.844403333118,-34.0847750001052
7,8,47.2,,23,bedae455-4609-4a32-b378-31c21f7ef752,3/18/2023 2:56:29 AM,Claude.Spencer_UWA,3/18/2023 2:56:29 AM,Claude.Spencer_UWA,114.838835000065,-34.0903650000918
8,46,46.3,,24,f0e96a7c-dac6-4894-8c19-0b9ea6290a65,3/18/2023 3:01:41 AM,Claude.Spencer_UWA,3/18/2023 3:01:41 AM,Claude.Spencer_UWA,114.839820000079,-34.095688333333
1,39,64.3,,25,282f55e9-edc4-4991-adcb-b0094add0ef0,3/18/2023 4:44:07 AM,Claude.Spencer_UWA,3/18/2023 4:44:07 AM,Claude.Spencer_UWA,114.793698332944,-34.1157700002226
2,31,66.1,,26,8617c6f8-332c-403d-ba0a-c0d69545895e,3/18/2023 4:48:30 AM,Claude.Spencer_UWA,3/18/2023 4:56:50 AM,Claude.Spencer_UWA,114.788091666982,-34.1171416664843
3,19,73.6,,27,68924ee3-0913-4319-b6f5-3989b54ea737,3/18/2023 5:01:34 AM,Claude.Spencer_UWA,3/18/2023 5:01:34 AM,Claude.Spencer_UWA,114.782216667057,-34.1204700001631
4,47,73.0,,28,08687516-95ea-4a07-9090-45a400a6c22b,3/18/2023 5:05:50 AM,Claude.Spencer_UWA,3/18/2023 5:05:50 AM,Claude.Spencer_UWA,114.780438333375,-34.1141316667699
5,22,78.0,,29,e2411594-2764-408c-8df9-ccf434a04fa3,3/18/2023 5:10:35 AM,Claude.Spencer_UWA,3/18/2023 5:10:35 AM,Claude.Spencer_UWA,114.777933333594,-34.1100249999854
6,06,71.3,,30,7add28a2-fe65-4318-b112-c4b3ff1e457a,3/18/2023 5:17:26 AM,Claude.Spencer_UWA,3/18/2023 5:17:26 AM,Claude.Spencer_UWA,114.7766616668,-34.0973949999358
7,07,62.7,,31,fe6b3371-210b-4b97-926d-0b9ccb9aae76,3/18/2023 5:24:27 AM,Claude.Spencer_UWA,3/18/2023 5:24:27 AM,Claude.Spencer_UWA,114.785401666355,-34.0962300003111
8,45,61.9,,32,2a3fcf62-c244-4781-86ac-a8ddb72134af,3/18/2023 5:31:40 AM,Claude.Spencer_UWA,3/18/2023 5:31:40 AM,Claude.Spencer_UWA,114.789333333639,-34.107230000273
