System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
,80,19.1,Synced all lights at start. All depths in fathoms,1,87bbc586-25f0-4cb1-93e0-81050d9a52e4,5/5/2023 12:57:21 AM,Claude.Spencer_UWA,5/5/2023 12:57:21 AM,Claude.Spencer_UWA,115.492553333498,-31.6756033334647
,18,19.2,,2,6d5a36c0-ec8e-4015-a289-b48d1ac8132f,5/5/2023 1:16:47 AM,Claude.Spencer_UWA,5/5/2023 1:16:47 AM,Claude.Spencer_UWA,115.506494999858,-31.6890216664516
,84,20,,3,e9c5bb3e-2acb-4ac8-a500-9e998ea67cfa,5/5/2023 1:32:42 AM,Claude.Spencer_UWA,5/5/2023 1:32:42 AM,Claude.Spencer_UWA,115.50392499978,-31.7040899996879
,47,19.8,,4,65966309-e84e-489c-82df-67e5b5342a10,5/5/2023 1:45:41 AM,Claude.Spencer_UWA,5/5/2023 1:45:41 AM,Claude.Spencer_UWA,115.49197666629,-31.6998850000748
,23,21.8,Checked footage then resynced with lights,5,6413810f-0f69-4646-a022-ac52ff6fe313,5/5/2023 2:01:34 AM,Claude.Spencer_UWA,5/5/2023 2:18:15 AM,Claude.Spencer_UWA,115.470703333263,-31.7132766667713
,38,22.7,Synced again before this drop,6,167b3037-8718-4e06-9fac-07fe08e02d40,5/5/2023 2:22:34 AM,Claude.Spencer_UWA,5/5/2023 2:22:34 AM,Claude.Spencer_UWA,115.456714128058,-31.7180598617277
,71,21.8,,7,9c76a4bb-5608-4a27-be8a-404438b5cd1f,5/5/2023 2:39:25 AM,Claude.Spencer_UWA,5/5/2023 2:39:25 AM,Claude.Spencer_UWA,115.455353333116,-31.6899166668878
,36,22,Showed 53 first then changed to 36,8,954b7e85-210f-4d61-a8b2-089475b65424,5/5/2023 2:51:56 AM,Claude.Spencer_UWA,5/5/2023 2:51:56 AM,Claude.Spencer_UWA,115.453498333614,-31.6813316668633
,53,20.6,Correct sample I’d 53,9,24432305-0cc6-4c42-bfb7-7acfa8dc2f75,5/5/2023 3:07:59 AM,Claude.Spencer_UWA,5/5/2023 3:07:59 AM,Claude.Spencer_UWA,115.473150000042,-31.6785300003141
,05,20.7,,10,c2a67174-d004-4a15-9a1a-2136908ac05d,5/5/2023 3:19:09 AM,Claude.Spencer_UWA,5/5/2023 3:19:09 AM,Claude.Spencer_UWA,115.461338333544,-31.6741666663242
,51,22.6,,11,37e1b250-171f-4805-b7ce-ec60e1c9eb3d,5/5/2023 3:36:49 AM,Claude.Spencer_UWA,5/5/2023 3:36:49 AM,Claude.Spencer_UWA,115.442501666353,-31.6908250000464
,03,23.1,,12,7f11677f-c434-46ab-9663-0743b3a7707e,5/5/2023 3:54:08 AM,Claude.Spencer_UWA,5/5/2023 3:54:08 AM,Claude.Spencer_UWA,115.446359999668,-31.7049133334264
,20,24.1,,13,3caa8493-faaf-41d6-9e45-5c7a8bb4c10b,5/5/2023 4:07:01 AM,Claude.Spencer_UWA,5/5/2023 4:07:01 AM,Claude.Spencer_UWA,115.432315000101,-31.7139883332589
,79,24.3,GPS malfunction use MBH mark,14,67dd825c-25d5-4078-8172-772cda7f04eb,5/5/2023 4:18:32 AM,Claude.Spencer_UWA,5/5/2023 4:18:32 AM,Claude.Spencer_UWA,115.425803333592,-31.7082499996707
,94,24.8,,15,910727b4-432b-4fb4-81b5-5373edd2618f,5/5/2023 4:27:36 AM,Claude.Spencer_UWA,5/5/2023 4:27:36 AM,Claude.Spencer_UWA,115.417031666627,-31.7094516665381
,55,24.5,,16,f962029a-0caf-4018-b940-0283d9d6f284,5/5/2023 4:40:55 AM,Claude.Spencer_UWA,5/5/2023 4:40:55 AM,Claude.Spencer_UWA,115.403523333187,-31.7131533329853
,30,24.1,,17,fc2a3999-d58e-42f1-8ec1-be5798f06e88,5/5/2023 4:56:15 AM,Claude.Spencer_UWA,5/5/2023 4:56:15 AM,Claude.Spencer_UWA,115.384025000195,-31.7160133336604
,41,24.1,Resynced before drop,18,dfe2ece6-5f64-4aa9-b9a9-73a098679a56,5/5/2023 5:21:08 AM,Claude.Spencer_UWA,5/5/2023 5:21:08 AM,Claude.Spencer_UWA,115.389746666683,-31.7004916669311
,28,23.9,,19,80fc5d08-e868-490c-b769-04797eb29f2b,5/5/2023 5:40:51 AM,Claude.Spencer_UWA,5/5/2023 5:40:51 AM,Claude.Spencer_UWA,115.416631666593,-31.6932066668951
,73,22.2,Cam20 turned off - charged and resynced,20,b53c2168-6b87-46c2-871f-7af6abf95767,5/5/2023 5:58:28 AM,Claude.Spencer_UWA,5/5/2023 5:58:28 AM,Claude.Spencer_UWA,115.403483333004,-31.6777716663081
,89,22.5,,21,ee7a6f05-0aa6-4fce-9076-c76540be7ac5,5/5/2023 6:09:16 AM,Claude.Spencer_UWA,5/5/2023 6:09:16 AM,Claude.Spencer_UWA,115.402865000136,-31.6805199997104
,65,23.5,,22,cca4a182-7da0-4611-b7e1-264d95c53430,5/5/2023 6:25:31 AM,Claude.Spencer_UWA,5/5/2023 6:25:31 AM,Claude.Spencer_UWA,115.381865000196,-31.6911750000676
,16,23.9,Cam 24 not in right spot ,23,46b8fb9b-f5cb-4b7a-90da-c75a33f3d843,5/5/2023 6:38:24 AM,Claude.Spencer_UWA,5/5/2023 6:55:33 AM,Claude.Spencer_UWA,115.373988333731,-31.6794750001288
,24,25,,24,54066ab9-8148-4249-b0d7-224013e13365,5/5/2023 6:54:29 AM,Claude.Spencer_UWA,5/5/2023 6:54:29 AM,Claude.Spencer_UWA,115.362806666521,-31.6915633332665
,72,24.3,,25,c6c79f60-19a8-4968-ba29-5d4ca2f2ecab,5/5/2023 7:04:06 AM,Claude.Spencer_UWA,5/5/2023 7:04:06 AM,Claude.Spencer_UWA,115.356091666348,-31.6934816667897
,87,24.3,,26,9f09774c-25b5-4e98-af39-8df4e883ea3c,5/5/2023 7:16:44 AM,Claude.Spencer_UWA,5/5/2023 7:16:44 AM,Claude.Spencer_UWA,115.357429999814,-31.7044350003234
,64,22.4,,27,e74dd201-60c6-4034-91f4-dbf7cc859b27,5/5/2023 7:31:56 AM,Claude.Spencer_UWA,5/5/2023 7:31:56 AM,Claude.Spencer_UWA,115.337126666733,-31.7101200001692
,15,20.4,,28,46c0769a-88b4-4810-b789-7c235f082ccd,5/5/2023 7:43:52 AM,Claude.Spencer_UWA,5/5/2023 7:43:52 AM,Claude.Spencer_UWA,115.325768333246,-31.7031283333633
