System #,Left camera,Left card,Right camera,Right card,Rear camera,Rear card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,27,203,28,212,19,166,1,4d3b5fa5-208d-40ef-a86a-926a3d2a24ad,11/2/2022 11:15:28 PM,Claude.Spencer_UWA,11/2/2022 11:15:28 PM,Claude.Spencer_UWA,120.869473333173,-34.074124999851
2,29,208,30,207,20,163,2,d00d38c9-5e99-4798-a077-280ec2a07a82,11/2/2022 11:23:02 PM,Claude.Spencer_UWA,11/2/2022 11:23:02 PM,Claude.Spencer_UWA,120.868724999711,-34.0718783336995
3,31,209,32,211,21,115,3,440ab2a1-5df8-4469-9286-f4b321e7a105,11/2/2022 11:26:20 PM,Claude.Spencer_UWA,11/2/2022 11:26:20 PM,Claude.Spencer_UWA,120.868278333097,-34.0723299998442
4,33,215,34,216,22,151,4,38acfd32-0fb5-4e21-86b6-da5b1cce2781,11/2/2022 11:34:32 PM,Claude.Spencer_UWA,11/2/2022 11:34:32 PM,Claude.Spencer_UWA,120.868704999619,-34.0720433331702
5,35,232,36,204,23,119,5,3efaeae7-9340-4080-b1ff-61ce4a62b4d0,11/2/2022 11:37:03 PM,Claude.Spencer_UWA,11/2/2022 11:37:03 PM,Claude.Spencer_UWA,120.867983333544,-34.0724150001055
6,38,221,37,231,24,112,6,b4cb1124-351a-4ed6-8977-606318d245c8,11/2/2022 11:41:02 PM,Claude.Spencer_UWA,11/2/2022 11:41:02 PM,Claude.Spencer_UWA,120.869648333075,-34.0723950001392
7,39,218,40,247,25,123,7,f4f72d76-a51f-45db-9ff0-8cbf0482a3ae,11/2/2022 11:43:47 PM,Claude.Spencer_UWA,11/2/2022 11:43:47 PM,Claude.Spencer_UWA,120.868943987417,-34.0728870568713
8,41,223,42,239,26,137,8,74f86400-a506-4598-9291-0dc7d8d12089,11/2/2022 11:47:17 PM,Claude.Spencer_UWA,11/2/2022 11:47:17 PM,Claude.Spencer_UWA,120.868734999756,-34.0734716669562
1,27,224,28,245,19,134,9,a31fcfed-90a8-4c56-9849-f61934891721,11/3/2022 11:34:07 PM,Claude.Spencer_UWA,11/3/2022 11:34:07 PM,Claude.Spencer_UWA,120.869980000061,-34.0722383330773
2,29,240,30,246,20,130,10,e5d9d7ff-dad8-4464-b7f5-4b11d62fa774,11/3/2022 11:37:09 PM,Claude.Spencer_UWA,11/3/2022 11:37:09 PM,Claude.Spencer_UWA,120.87021166659,-34.0724599996403
3,31,205,32,228,21,164,11,32f1328d-d1e4-4d9d-b67c-e49352cf2917,11/3/2022 11:40:51 PM,Claude.Spencer_UWA,11/3/2022 11:40:51 PM,Claude.Spencer_UWA,120.870043333086,-34.0724166668931
4,33,237,34,249,22,147,12,0983b9e9-ab23-45d1-a507-a18469e45d61,11/3/2022 11:43:58 PM,Claude.Spencer_UWA,11/3/2022 11:43:58 PM,Claude.Spencer_UWA,120.870175000055,-34.072508333467
6,37,242,38,210,24,159,13,836aa673-a993-4b8d-8860-a638360db4e8,11/3/2022 11:46:33 PM,Claude.Spencer_UWA,11/3/2022 11:46:33 PM,Claude.Spencer_UWA,120.870006666551,-34.0724050001229
7,40,213,39,220,25,124,14,552b7d9f-0abd-4b0f-a0c4-ff07f1bf5c60,11/3/2022 11:49:39 PM,Claude.Spencer_UWA,11/3/2022 11:49:39 PM,Claude.Spencer_UWA,120.869968333641,-34.0723966669273
8,42,235,41,229,26,173,15,265d6a11-d8dd-4726-99f1-7289669622c5,11/3/2022 11:55:56 PM,Claude.Spencer_UWA,11/3/2022 11:55:56 PM,Claude.Spencer_UWA,120.870159999986,-34.0724966667094
3,031,242,032,245,021,119,16,6d3ae3e2-c275-48f6-8e3c-37db3e79b8de,11/8/2022 9:58:31 AM,Claude.Spencer_UWA,11/8/2022 9:58:31 AM,Claude.Spencer_UWA,121.886296666566,-33.8612900002629
6,037,221,038,220,024,147,17,d01fff08-376a-4ff3-a62a-604227517c58,11/8/2022 10:00:07 AM,Claude.Spencer_UWA,11/8/2022 10:00:07 AM,Claude.Spencer_UWA,121.886150000426,-33.861329999641
7,039,216,040,223,025,202,18,e0e938a8-1656-4db6-8e29-c068fae511a9,11/8/2022 10:01:13 AM,Claude.Spencer_UWA,11/8/2022 10:01:13 AM,Claude.Spencer_UWA,121.886276666474,-33.8614016668251
8,041,229,042,240,026,111,19,c26e7c52-deef-4609-b04b-04770e023da4,11/8/2022 10:03:14 AM,Claude.Spencer_UWA,11/8/2022 10:03:14 AM,Claude.Spencer_UWA,121.886265000054,-33.8614316666943
Mini bruv 2,1205,246,1207,249,,,20,c2892e6b-cf2e-420d-91af-adb55307b2fe,11/8/2022 10:05:28 AM,Claude.Spencer_UWA,11/8/2022 10:05:28 AM,Claude.Spencer_UWA,121.886265000054,-33.8614200000383
Mini bruv 1,1201,232,1202,235,,,21,8ad793e4-be9c-4a70-8c44-042334365b55,11/8/2022 10:10:16 AM,Claude.Spencer_UWA,11/8/2022 10:10:16 AM,Claude.Spencer_UWA,121.886268333702,-33.8614316666943
Mini bruv 2,1205,244,1207,211,,,22,7f2b0845-f9c6-4ff0-9c2c-c59a6c60295e,11/9/2022 11:42:06 AM,Claude.Spencer_UWA,11/9/2022 11:42:06 AM,Claude.Spencer_UWA,121.886191666984,-33.8614916664009
Mini bruv 1,1201,208,1202,239,,,23,5435605c-2a6b-4cff-a7b9-1cb6cd77b860,11/9/2022 11:43:19 AM,Claude.Spencer_UWA,11/9/2022 11:43:19 AM,Claude.Spencer_UWA,121.886408333444,-33.8614833334009
3,031,231,032,237,021,154,24,7c6108ef-3ae8-4a3a-8297-f24850053114,11/9/2022 11:47:25 AM,Claude.Spencer_UWA,11/9/2022 11:47:25 AM,Claude.Spencer_UWA,121.886238333565,-33.8615050002435
6,037,247,038,205,024,115,25,66ce025c-7ad4-432a-9010-f0d01eb1ccf1,11/9/2022 11:49:42 AM,Claude.Spencer_UWA,11/9/2022 11:49:42 AM,Claude.Spencer_UWA,121.886333333101,-33.8615999998023
7,039,204,040,207,025,155,26,e25ccb0d-0e17-498a-b7f9-b79591f0f6bf,11/9/2022 11:53:00 AM,Claude.Spencer_UWA,11/9/2022 11:53:00 AM,Claude.Spencer_UWA,121.886296666566,-33.8615966669051
8,041,203,042,212,026,156,27,75d58822-c6b2-4acd-b7d2-bd7dc99724eb,11/9/2022 11:54:42 AM,Claude.Spencer_UWA,11/9/2022 11:54:42 AM,Claude.Spencer_UWA,121.886296666566,-33.861641666975
7,039,211,040,202,25,242,28,7d7d91f5-6dcd-452d-8b8b-0a4bd013c129,11/16/2022 1:21:59 AM,Claude.Spencer_UWA,11/16/2022 1:21:59 AM,Claude.Spencer_UWA,121.935468333279,-33.8297433332941
8,041,221,042,240,026,216,29,82970d05-cd26-4e10-ac22-b7bcc857a4b3,11/16/2022 1:25:42 AM,Claude.Spencer_UWA,11/16/2022 1:25:42 AM,Claude.Spencer_UWA,121.935466666905,-33.8297450003641
Small bruv 1,1201,220,1202,209,NA,NA,30,fa57fa67-090c-4467-bae6-004498e6c9cd,11/16/2022 2:10:44 AM,Claude.Spencer_UWA,11/16/2022 2:10:44 AM,Claude.Spencer_UWA,121.933783333657,-33.8380016666489
Small bruv 2,1205,237,1207,207,NA,NA,31,c4834578-6e05-45f4-93ad-cbdf184579b4,11/16/2022 2:12:13 AM,Claude.Spencer_UWA,11/16/2022 2:12:13 AM,Claude.Spencer_UWA,121.930653333712,-33.8478650001587
1,27,204,28,246,19,235,32,7d38108b-8d13-48c8-a695-93b79ae9a715,11/20/2022 10:03:07 PM,Claude.Spencer_UWA,11/20/2022 10:03:07 PM,Claude.Spencer_UWA,123.201163333283,-34.0878916665515
2,29,230,30,210,20,249,33,fbe17686-5501-4fca-ba1e-e83099fbea7f,11/20/2022 10:05:14 PM,Claude.Spencer_UWA,11/20/2022 10:05:14 PM,Claude.Spencer_UWA,123.201316844585,-34.0883849255136
3,31,218,32,203,21,168,34,3f0f646b-389c-438b-9066-c7c9f5ac349c,11/20/2022 10:07:43 PM,Claude.Spencer_UWA,11/20/2022 10:07:43 PM,Claude.Spencer_UWA,123.20045408462,-34.088416363082
4,33,231,34,245,22,119,35,36e8418e-c4b7-469c-a0e7-0c48b3d26d25,11/20/2022 10:09:18 PM,Claude.Spencer_UWA,11/20/2022 10:09:18 PM,Claude.Spencer_UWA,123.201908664576,-34.0881205227298
5,35,229,36,228,23,115,36,4a050d6c-bff5-48a7-be91-b2828b3a6e63,11/20/2022 10:12:29 PM,Claude.Spencer_UWA,11/20/2022 10:12:29 PM,Claude.Spencer_UWA,123.202090831238,-34.0873595240902
6,37,215,38,113,24,141,37,73d575ec-fe1a-4db4-a511-5cd4ea1878b9,11/20/2022 10:14:16 PM,Claude.Spencer_UWA,11/20/2022 10:14:16 PM,Claude.Spencer_UWA,123.200019955793,-34.087415414844
7,39,134,40,112,25,149,38,4d4c5d35-7a1d-4a10-843e-a73f8fb7327d,11/20/2022 10:16:24 PM,Claude.Spencer_UWA,11/27/2022 12:03:17 PM,Claude.Spencer_UWA,123.201074238373,-34.0873929715024
8,41,150,42,140,26,124,39,90a62018-9182-4648-9411-8cfa2b8c0b19,11/20/2022 10:18:49 PM,Claude.Spencer_UWA,11/20/2022 10:18:49 PM,Claude.Spencer_UWA,123.199880598346,-34.0881645423041
1,27,154,28,164,19,55,40,87d410f6-42c7-4c0c-953e-1fabaaab80a8,11/21/2022 8:53:04 PM,Claude.Spencer_UWA,11/21/2022 8:53:04 PM,Claude.Spencer_UWA,123.547060576664,-34.3497240033155
2,29,142,30,130,20,40,41,70a59d3b-bae7-4dbd-8f3c-c63c3f2762d9,11/21/2022 8:54:39 PM,Claude.Spencer_UWA,11/21/2022 8:54:39 PM,Claude.Spencer_UWA,123.548260274031,-34.352028820204
3,31,120,32,112,21,57,42,94dfbf08-bd47-40df-81fc-691062b3ccc8,11/21/2022 8:56:15 PM,Claude.Spencer_UWA,11/21/2022 8:56:15 PM,Claude.Spencer_UWA,123.549327881322,-34.350908193683
4,33,151,34,171,22,65,43,7e70651b-2d19-4c22-b2ed-f31481f4d059,11/21/2022 8:58:21 PM,Claude.Spencer_UWA,11/21/2022 8:58:21 PM,Claude.Spencer_UWA,123.549415957543,-34.3488991919925
5,35,123,36,121,23,66,44,a3b9ca12-c01d-4700-af80-421ef3c77628,11/21/2022 9:03:41 PM,Claude.Spencer_UWA,11/21/2022 9:03:41 PM,Claude.Spencer_UWA,123.551586816377,-34.3494436201144
6,37,148,38,166,24,35,45,739c00e7-96d2-441a-8949-bc341df54a72,11/21/2022 9:05:50 PM,Claude.Spencer_UWA,11/21/2022 9:05:50 PM,Claude.Spencer_UWA,123.550704215322,-34.3481115458745
7,39,137,40,162,25,56,46,c3a8599b-43ea-4131-8094-5cad0c22c765,11/21/2022 9:07:12 PM,Claude.Spencer_UWA,11/21/2022 9:07:12 PM,Claude.Spencer_UWA,123.548407796266,-34.3499813038002
8,41,156,42,138,26,42,47,d5779e08-61d1-49ca-8a15-9403b4700719,11/21/2022 9:09:02 PM,Claude.Spencer_UWA,11/21/2022 9:09:02 PM,Claude.Spencer_UWA,123.550963269687,-34.3505461343595
