System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
SHARK,DC45,25.1,,1,3bd5be81-bb13-4701-937b-8f122e48f330,6/2/2023 12:53:59 AM,Claude.Spencer_UWA,6/2/2023 12:53:59 AM,Claude.Spencer_UWA,114.988731666687,-33.2563916666386
SHARK,DC19,23.7,,2,c87685d1-4dcb-4095-8bbf-6f4b0450a7a1,6/2/2023 1:10:21 AM,Claude.Spencer_UWA,6/2/2023 1:10:21 AM,Claude.Spencer_UWA,114.998903333769,-33.2486966668535
SHARK,DC24,22.8,,3,ee352290-6a9a-474d-bca0-cb0f334694ec,6/2/2023 1:24:43 AM,Claude.Spencer_UWA,6/2/2023 1:24:43 AM,Claude.Spencer_UWA,115.008781666773,-33.2586116666721
SHARK,DC22,15.1,,4,1d979ca9-4a66-4254-b813-456c1599ac95,6/2/2023 1:39:18 AM,Claude.Spencer_UWA,6/2/2023 1:39:18 AM,Claude.Spencer_UWA,115.028918333623,-33.2511449996435
SHARK,DC38,13.1,Edge on sounder,5,7223d77f-5f66-42f1-843f-656ea45a5f78,6/2/2023 1:50:31 AM,Claude.Spencer_UWA,6/2/2023 1:50:31 AM,Claude.Spencer_UWA,115.036341667077,-33.2537200001915
SHARK,DC02,7.89,,6,935042a2-7f4a-482b-a781-f5ff5feb15e8,6/2/2023 2:01:55 AM,Claude.Spencer_UWA,6/2/2023 2:01:55 AM,Claude.Spencer_UWA,115.041386666798,-33.2511750003595
SHARK,DC29,16.0,Checked all cameras before drop,7,8d2a070c-7832-4bb9-847f-b58aeea730d6,6/2/2023 2:14:38 AM,Claude.Spencer_UWA,6/2/2023 2:14:38 AM,Claude.Spencer_UWA,115.043799999792,-33.2585600001169
SHARK,DC15,16.2,,8,a9fe9e77-6a51-43b5-855b-59f3a77f109f,6/2/2023 2:24:24 AM,Claude.Spencer_UWA,6/2/2023 2:24:24 AM,Claude.Spencer_UWA,115.046373333517,-33.2561283330417
SHARK,DC33,20.2,,9,1f34f823-0af9-48f2-9817-b1b8f7182906,6/2/2023 2:39:30 AM,Claude.Spencer_UWA,6/2/2023 2:39:30 AM,Claude.Spencer_UWA,115.065973333342,-33.2536649998467
SHARK,DC25,18.8,,10,f8202a2e-46cf-44c1-a09a-0a94d38e88f9,6/2/2023 2:51:47 AM,Claude.Spencer_UWA,6/2/2023 2:51:47 AM,Claude.Spencer_UWA,115.049049999552,-33.2511066669245
SHARK,DC05,12,Resynced and checked all cams before. Big break to pick up 3 hour deployments,11,8b3a6ab1-a22b-4879-abac-f7c0cf733dec,6/2/2023 4:28:42 AM,Claude.Spencer_UWA,6/2/2023 4:28:42 AM,Claude.Spencer_UWA,115.031031667042,-33.2491533332278
SHARK,DC50,11.1,Cam 19 was off. Turned on and resynced before drop,12,6ce1c424-22a7-43f2-8fb8-890b49ec8ef4,6/2/2023 4:44:59 AM,Claude.Spencer_UWA,6/2/2023 4:44:59 AM,Claude.Spencer_UWA,115.034428333675,-33.2480549999462
SHARK,DC11,14.0,,13,0ae0db29-cde9-44d7-8cb6-c5406868ae36,6/2/2023 4:58:11 AM,Claude.Spencer_UWA,6/2/2023 4:58:11 AM,Claude.Spencer_UWA,115.041206666873,-33.2464183335124
SHARK,DC41 ,11.6,,14,a3390d6f-4d16-4ff3-9af7-f7fadcd96085,6/2/2023 5:11:19 AM,Claude.Spencer_UWA,6/2/2023 5:11:19 AM,Claude.Spencer_UWA,115.041506666448,-33.2408866668868
SHARK,DC20,15.4,,15,a9fe4a88-2f39-4201-a29e-c8052285e851,6/2/2023 5:22:13 AM,Claude.Spencer_UWA,6/2/2023 5:22:13 AM,Claude.Spencer_UWA,115.038361666435,-33.2384350000193
SHARK,DC17,11.7,,16,29fd078c-b01a-4f77-9041-90ecb9717161,6/2/2023 5:31:21 AM,Claude.Spencer_UWA,6/2/2023 5:31:21 AM,Claude.Spencer_UWA,115.036319999712,-33.2412016669127
SHARK,DC28,14.7,,17,f6c06514-ce51-4a1b-8734-19d1658d6138,6/2/2023 5:41:54 AM,Claude.Spencer_UWA,6/2/2023 5:41:54 AM,Claude.Spencer_UWA,115.033653333723,-33.2384783332554
SHARK,DC44,11.5,Light was off on drop before,18,79c1de0a-d80e-47a8-a1db-886f6c3c34db,6/2/2023 5:52:38 AM,Claude.Spencer_UWA,6/2/2023 5:52:38 AM,Claude.Spencer_UWA,115.03108500002,-33.2413866667925
SHARK,DC31,9.98,,19,6b669c42-0d21-490a-b67e-ef676ff590d6,6/2/2023 6:02:32 AM,Claude.Spencer_UWA,6/2/2023 6:02:32 AM,Claude.Spencer_UWA,115.026463333173,-33.246025000285
SHARK,DC13,15.0,,20,4112d4f0-266d-4a37-abec-90d7520a0914,6/2/2023 6:12:25 AM,Claude.Spencer_UWA,6/2/2023 6:12:25 AM,Claude.Spencer_UWA,115.021468333681,-33.2437366665842
SHARK,DC37,17.5,Checked cams HD resynced before drop. Engine was left on for longer than normal,21,77b8d955-5a20-4116-9e04-1e0732e00d89,6/2/2023 6:23:25 AM,Claude.Spencer_UWA,6/2/2023 6:24:27 AM,Claude.Spencer_UWA,115.016596666589,-33.2389949997079
SHARK,DC34,22.4,,22,21d9e120-b9a5-49d0-9e94-9773531fea5e,6/2/2023 6:36:07 AM,Claude.Spencer_UWA,6/2/2023 6:36:07 AM,Claude.Spencer_UWA,115.003835000237,-33.2436450001213
SHARK,DC14,20.7,,23,87dfd422-e136-4cf4-a458-05b82b556d1c,6/2/2023 6:47:06 AM,Claude.Spencer_UWA,6/2/2023 6:47:06 AM,Claude.Spencer_UWA,115.006385000223,-33.2385733336026
SHARK,DC47,19.7,,24,b7d85763-de61-4560-9c64-3ea53c737239,6/2/2023 6:57:28 AM,Claude.Spencer_UWA,6/2/2023 6:57:28 AM,Claude.Spencer_UWA,115.008928332913,-33.2360516667635
