System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
Baby boss,ST08,22.4,All depths fathoms. Added to wrong layer. Should be soundtrap metadata. Camera 5 off when retrieved,1,8e74ffd1-7649-4853-ac37-c635831dc596,6/18/2023 12:39:22 AM,Claude.Spencer_UWA,6/18/2023 3:48:42 AM,Claude.Spencer_UWA,115.026691666952,-33.2234699997742
Shark tip,DC79,20.8,,2,615c22af-1425-40c0-901d-f4eede789ca5,6/18/2023 1:13:14 AM,Claude.Spencer_UWA,6/18/2023 1:13:14 AM,Claude.Spencer_UWA,115.036453333056,-33.2863033334147
Shark boss,DC90,20.5,,3,709b1f92-f0b7-44d5-af6e-1bbb788d3073,6/18/2023 1:31:38 AM,Claude.Spencer_UWA,6/18/2023 1:31:38 AM,Claude.Spencer_UWA,115.069015000148,-33.2886966663326
Shark fin boss,Dc67,22.4,,4,b3e3b9f5-c02f-4766-84a9-d42dba0c16ee,6/18/2023 1:50:56 AM,Claude.Spencer_UWA,6/18/2023 1:50:56 AM,Claude.Spencer_UWA,115.056371667071,-33.321248333029
Shark fin boss,DC88,22.6,,5,78bd203b-5477-401b-97da-76f452464bc6,6/18/2023 2:01:30 AM,Claude.Spencer_UWA,6/18/2023 2:01:30 AM,Claude.Spencer_UWA,115.053936666713,-33.3237399999155
Shark fin boss,DC61,22.1,Saw dolphins. Boat nearby,6,e5c4129a-9afd-401f-ae2d-38cdd0ef80b8,6/18/2023 2:15:53 AM,Claude.Spencer_UWA,6/18/2023 2:18:16 AM,Claude.Spencer_UWA,115.036238332971,-33.3315166666154
Shark tip boss,dC84,22.3,,7,63e85772-79c5-42cc-94fe-b42ddbed1f4d,6/18/2023 2:31:50 AM,Claude.Spencer_UWA,6/18/2023 2:31:50 AM,Claude.Spencer_UWA,115.016440000403,-33.3386483331219
Shark tip boss,DC80,22.1,,8,31f01cff-c086-4f72-a113-58cc5afe549a,6/18/2023 2:44:28 AM,Claude.Spencer_UWA,6/18/2023 2:44:28 AM,Claude.Spencer_UWA,115.0063800002,-33.3311566666952
Shark tip boss,DC57,21.8,,9,db56a1cb-9aa6-4110-af11-82385c489485,6/18/2023 2:57:54 AM,Claude.Spencer_UWA,6/18/2023 2:57:54 AM,Claude.Spencer_UWA,115.001344999626,-33.3161000002033
Shark tip boss,DC66,21.5,Camera 24 was off when we checked after this drop,10,eafc6141-b6fd-48fd-9b29-6c372ee07800,6/18/2023 3:08:21 AM,Claude.Spencer_UWA,6/18/2023 3:20:57 AM,Claude.Spencer_UWA,114.99639833309,-33.3161133330282
Big boss,St11,11.9,Resynced with lights before drop. Should be soundtrap record. A camera was off but can’t remember which one,11,2adb0736-0a2a-4ff2-ab84-a080773c1c43,6/18/2023 4:15:22 AM,Claude.Spencer_UWA,6/18/2023 4:43:53 AM,Claude.Spencer_UWA,115.014386666361,-33.2429733331764
Air boss,ST07,10.8,Resynced with lights before drop. Should be soundtrap record,12,b3da3935-c6b5-4ad9-bed8-c4f974dbbe4e,6/18/2023 4:21:40 AM,Claude.Spencer_UWA,6/18/2023 4:42:33 AM,Claude.Spencer_UWA,115.026288333271,-33.2457649997016
Baby boss,ST12,17.7,Resynced with lights. Camera 5 turned off twice in prepping for this drop. Changed cable before drop. Should be soundtrap record,13,7a0e89d3-3037-4b67-b092-926fb121434e,6/18/2023 4:33:11 AM,Claude.Spencer_UWA,6/18/2023 4:42:57 AM,Claude.Spencer_UWA,115.053459999962,-33.2580500003525
Fin tip boss,DC82,21.2,Cameras 19 and 24 were off prior to this drop. Resynced. ,14,b7cd5421-3381-4ac2-a8dc-7a708ee1f191,6/18/2023 4:57:03 AM,Claude.Spencer_UWA,6/18/2023 4:57:03 AM,Claude.Spencer_UWA,114.993524999788,-33.3186699998181
Shark tip boss,DC91,21.3,,15,c4a212e0-eb0f-40be-8922-afdf9e6158d8,6/18/2023 5:11:15 AM,Claude.Spencer_UWA,6/18/2023 5:11:15 AM,Claude.Spencer_UWA,114.984503333476,-33.3280116663957
Shark tip boss,DC93,22.6,,16,10d6873b-9b76-4d6e-9a26-fb989c3cf3fa,6/18/2023 5:23:04 AM,Claude.Spencer_UWA,6/18/2023 5:23:04 AM,Claude.Spencer_UWA,114.9888800001,-33.3336833333637
Shark tip boss,DC65,22.8,Pod of dolphins,17,cd6d8ecf-2e5f-4ab5-bdf2-d259b9130542,6/18/2023 5:36:09 AM,Claude.Spencer_UWA,6/18/2023 5:46:31 AM,Claude.Spencer_UWA,114.973883333406,-33.3336550001594
Shark tip boss,DC75,21.0,,18,d45bcd6c-d0d2-4e01-a2f0-efcef85eace3,6/18/2023 5:48:26 AM,Claude.Spencer_UWA,6/18/2023 5:48:26 AM,Claude.Spencer_UWA,114.976428333369,-33.3258133335597
Shark tip boss,DC58,17.7,,19,2c750ef4-3054-4a4f-a296-d3e1950cbd2f,6/18/2023 6:00:08 AM,Claude.Spencer_UWA,6/18/2023 6:00:08 AM,Claude.Spencer_UWA,114.979056666449,-33.3235533332452
Shark tip boss,DC83,17.5,,20,398b77c8-86e5-4820-99d8-85ea0a92be7e,6/18/2023 6:11:15 AM,Claude.Spencer_UWA,6/18/2023 6:11:15 AM,Claude.Spencer_UWA,114.971293333237,-33.3236083330935
Shark tip boss,DC87,17.9,,21,9695d97b-6857-425d-b415-f9748c34c56d,6/18/2023 6:21:05 AM,Claude.Spencer_UWA,6/18/2023 6:21:05 AM,Claude.Spencer_UWA,114.971383333648,-33.3212000003418
Shark tip boss,DC98,23.4,Synced cameras before drop,22,52a01414-9fc1-4939-b504-aa3d4d1003e0,6/18/2023 6:35:35 AM,Claude.Spencer_UWA,6/18/2023 6:35:35 AM,Claude.Spencer_UWA,114.956091666503,-33.3286750000843
Shark tip boss,DC51,20.8,,23,ecfa1ec7-f3d3-451e-b67e-8d3b1a6e3889,6/18/2023 6:47:36 AM,Claude.Spencer_UWA,6/18/2023 6:47:36 AM,Claude.Spencer_UWA,114.966526666625,-33.326143333328
Shark tip boss,DC62,19.4,,24,9c31993c-9d93-4a0e-befc-5a3d2404e595,6/18/2023 6:58:36 AM,Claude.Spencer_UWA,6/18/2023 6:58:36 AM,Claude.Spencer_UWA,114.966393333281,-33.3209749999163
Shark tip boss,DC77,21.9,,25,c495dffb-d8c7-4129-b96f-9afe4acb72ae,6/18/2023 7:10:56 AM,Claude.Spencer_UWA,6/18/2023 7:10:56 AM,Claude.Spencer_UWA,114.958885000337,-33.3135283333287
Shark tip boss,DC94,15.8,020 was turned off on retrieval,26,d25461bb-c83b-4631-86b5-8ff5da801d57,6/18/2023 7:25:07 AM,Claude.Spencer_UWA,6/18/2023 7:35:12 AM,Claude.Spencer_UWA,114.966138333012,-33.3161999997183
Shark tip boss,DC78,15.9,Camera 020 was reset and cameras were all synced,27,a6faff93-91ec-4b51-ad7e-9ee07e1c6a95,6/18/2023 7:41:56 AM,Claude.Spencer_UWA,6/18/2023 7:41:56 AM,Claude.Spencer_UWA,114.973931666362,-33.3137766667165
Shark tip boss,DC55,18.8,,28,64be28b5-7958-413c-af2a-0cb4fb2b1fe4,6/18/2023 7:52:41 AM,Claude.Spencer_UWA,6/18/2023 7:52:41 AM,Claude.Spencer_UWA,114.97878999976,-33.3162483336768
Shark tip boss,DC56,20.3,,29,06552109-7991-440e-b1ba-37888096f2e7,6/18/2023 8:04:05 AM,Claude.Spencer_UWA,6/18/2023 8:04:05 AM,Claude.Spencer_UWA,114.971336667068,-33.3111216664289
Shark tip boss,DC54,17.7,,30,a3196568-5e65-4d94-843a-c7b3d8756282,6/19/2023 12:25:09 AM,Claude.Spencer_UWA,6/19/2023 12:25:09 AM,Claude.Spencer_UWA,115.056501666768,-33.2709383336916
Shark tip boss,DC86,18.5,,31,593c9cf7-b2be-4589-8232-bb734f88dfbf,6/19/2023 12:37:25 AM,Claude.Spencer_UWA,6/19/2023 12:37:25 AM,Claude.Spencer_UWA,115.048808332978,-33.2762283333178
Shark tip boss,DC73,20.1,,32,d804728c-8529-4a0c-b5de-0e2e85544858,6/19/2023 12:48:42 AM,Claude.Spencer_UWA,6/19/2023 12:48:42 AM,Claude.Spencer_UWA,115.041346666615,-33.2761033336968
Shark tip boss,DC89,18.8,,33,a0fd1d9c-e0bc-4492-9168-d9750b7e8528,6/19/2023 1:00:18 AM,Claude.Spencer_UWA,6/19/2023 1:00:18 AM,Claude.Spencer_UWA,115.038800000276,-33.2710750002786
Shark tip boss,DC52,13.4,,34,a94495a0-5144-4a51-ab22-8720b86558c4,6/19/2023 1:12:14 AM,Claude.Spencer_UWA,6/19/2023 1:12:14 AM,Claude.Spencer_UWA,115.043936666784,-33.263505000195
Shark tip boss,DC69,11.5,,35,61f642dd-5b49-4fcc-aeb7-bc2d3717b0ba,6/19/2023 1:23:21 AM,Claude.Spencer_UWA,6/19/2023 1:23:21 AM,Claude.Spencer_UWA,115.038990000247,-33.2662016670266
Shark tip reef,DC100,18.4,,36,3a613aaa-e385-40ea-8935-b120f64eeea5,6/19/2023 1:36:24 AM,Claude.Spencer_UWA,6/19/2023 1:36:24 AM,Claude.Spencer_UWA,115.034650000158,-33.2662750000529
Shark tip boss,DC92,22.4,,37,f7bf1f5f-6d94-484f-b5d1-236160e97d2f,6/19/2023 1:49:22 AM,Claude.Spencer_UWA,6/19/2023 1:49:22 AM,Claude.Spencer_UWA,115.021384999667,-33.2662066664102
Shark tip boss,DC60,21.0,,38,c4b49b9d-ecb7-401d-89da-c36d473db8a1,6/19/2023 2:00:10 AM,Claude.Spencer_UWA,6/19/2023 2:00:10 AM,Claude.Spencer_UWA,115.021436666271,-33.261023333513
Shark tip boss,DC71,22.7,,39,962eae95-fe1b-418e-9cc0-56a2566336f6,6/19/2023 2:10:25 AM,Claude.Spencer_UWA,6/19/2023 2:10:25 AM,Claude.Spencer_UWA,115.016233333091,-33.2638250000894
Shark tip boss,DC63,24.0,Cameras were resynced before deployment,40,7f2af660-76e9-4f8f-97ff-5b317e6e5895,6/19/2023 2:24:58 AM,Claude.Spencer_UWA,6/19/2023 2:24:58 AM,Claude.Spencer_UWA,114.998804999686,-33.2687416670229
Shark tip boss,DC96,24.6,,41,2f54ff49-0ea3-4671-b10e-c4b1b77d9dd5,6/19/2023 2:43:16 AM,Claude.Spencer_UWA,6/19/2023 2:43:16 AM,Claude.Spencer_UWA,114.961353333582,-33.2687816669287
Shark tip boss,DC70,24.4,,42,a95b0853-feb3-42eb-b424-85123d8e56df,6/19/2023 2:57:17 AM,Claude.Spencer_UWA,6/19/2023 2:57:17 AM,Claude.Spencer_UWA,114.968280000193,-33.2806733335392
Shark tip boss,DC59,23.7,,43,72b7f6c8-b78f-40c3-b4cd-588681f116f4,6/19/2023 3:09:40 AM,Claude.Spencer_UWA,6/19/2023 3:09:40 AM,Claude.Spencer_UWA,114.958701666764,-33.2887649996447
Shark tip boss,DC76,18.9,,44,c5eab27f-a2de-4703-9f24-c9271db1fcb4,6/19/2023 3:21:27 AM,Claude.Spencer_UWA,6/19/2023 3:21:27 AM,Claude.Spencer_UWA,114.969110000397,-33.2912266670167
Shark tip boss,DC99,20.2,,45,adce38cc-3411-4a3b-adc8-635ec5522d72,6/19/2023 3:32:29 AM,Claude.Spencer_UWA,6/19/2023 3:32:29 AM,Claude.Spencer_UWA,114.97116666629,-33.291210000171
