System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,INV-BV-25,50.5,,1,164bd1ba-d32c-46af-bf4a-f4bcd62980b1,11/3/2022 12:40:48 AM,Claude.Spencer_UWA,11/3/2022 1:36:01 AM,Claude.Spencer_UWA,120.949816666908,-34.0702583331943
2,INV-BV-70,64.4,,2,0a7ded56-f060-45fe-944b-a15eda7f219f,11/3/2022 12:45:23 AM,Claude.Spencer_UWA,11/3/2022 1:41:08 AM,Claude.Spencer_UWA,120.938576666697,-34.0664416668911
3,INV-BV-36,49.7,,3,5e735dd3-54ba-4bc1-a51e-c755344adf31,11/3/2022 12:49:28 AM,Claude.Spencer_UWA,11/3/2022 1:42:17 AM,Claude.Spencer_UWA,120.938630831515,-34.06377338592
4,INV-BV-62,66.4,,4,3e1c9e8e-8ac1-48a4-a545-f3aabbc3fcf3,11/3/2022 1:01:54 AM,Claude.Spencer_UWA,11/3/2022 1:35:15 AM,Claude.Spencer_UWA,120.966310513466,-34.0563453775125
5,INV-BV-58,60.3,,5,88159ee9-7f28-47d3-804a-d214718c20b7,11/3/2022 1:07:51 AM,Claude.Spencer_UWA,11/3/2022 1:34:22 AM,Claude.Spencer_UWA,120.951268807938,-34.0488050376148
6,INV-BV-07,57.7,,6,9d718cab-9eca-44d2-a2fe-7ac14d2fa82f,11/3/2022 1:12:31 AM,Claude.Spencer_UWA,11/3/2022 1:19:08 AM,Claude.Spencer_UWA,120.941249999982,-34.0488600003479
7,INV-BV-14,53.8,,7,b9982bd2-0180-4aea-aa03-c4758e583691,11/3/2022 1:23:17 AM,Claude.Spencer_UWA,11/3/2022 1:23:17 AM,Claude.Spencer_UWA,120.933791666369,-34.0435949998926
8,INV-BV-20,57.9,,8,3f99f669-98c6-4dd8-af81-cee04be07aa4,11/3/2022 1:32:12 AM,Claude.Spencer_UWA,11/3/2022 1:32:12 AM,Claude.Spencer_UWA,120.953696282211,-34.043726027804
1,INV-BV-49,46.8,,9,9a5c3fbb-ab52-4077-a023-5cc25174f5b1,11/3/2022 3:07:39 AM,Claude.Spencer_UWA,11/3/2022 3:07:39 AM,Claude.Spencer_UWA,120.95902010642,-34.0385897561485
2,INV-BV-11,45.5,,10,6cb15723-7ec7-4158-ac40-9d210f36afbb,11/3/2022 3:12:21 AM,Claude.Spencer_UWA,11/3/2022 3:12:21 AM,Claude.Spencer_UWA,120.948586666672,-34.0360399999373
3,INV-BV-05,58.9,32 not recording on retrieve,11,bd249938-578a-4b44-bb0d-a4a82ea29d6c,11/3/2022 3:20:04 AM,Claude.Spencer_UWA,11/3/2022 5:15:06 AM,Claude.Spencer_UWA,120.926351184077,-34.0311130776963
4,INV-BV-47,55.5,,12,74f63536-4a86-4f29-b5e0-a2e7b838e490,11/3/2022 3:29:08 AM,Claude.Spencer_UWA,11/3/2022 3:29:08 AM,Claude.Spencer_UWA,120.898485094519,-34.0215681081378
5,INV-BV-28,51.4,,13,65143562-b002-4e11-b11d-383a84a87524,11/3/2022 3:45:42 AM,Claude.Spencer_UWA,11/3/2022 3:45:42 AM,Claude.Spencer_UWA,120.946418628547,-34.0188182454056
6,INV-BV-03,60.7,,14,7f6bfdae-cbfd-4681-ba81-3a804e55f4f6,11/3/2022 3:51:28 AM,Claude.Spencer_UWA,11/3/2022 3:51:28 AM,Claude.Spencer_UWA,120.956250000324,-34.0237500002686
