Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
WEEI01_1811,-34.01448,134.34122,20181114,8:23:00,Western Eyre,No-take,WEEI,83.7,SWhitmarsh,Yes,Yes,Western Eyre East In,3,Stereo,129,53,439173,6236043,JHicks,BST,CMPA,
WEEI02_1811,-34.01342,134.36288,20181114,9:00:00,Western Eyre,No-take,WEEI,81.7,SWhitmarsh,Yes,Yes,Western Eyre East In,6,Stereo,129,53,441172,6236173,JHicks,BST,CMPA,
WEEI03_1811,-34.0327,134.3412,20181114,8:35:00,Western Eyre,No-take,WEEI,84.6,SWhitmarsh,Yes,Yes,Western Eyre East In,4,Stereo,129,53,439184,6234023,JHicks,BST,CMPA,
WEEI04_1811,-34.0319,134.36343,20181114,8:48:00,Western Eyre,No-take,WEEI,83.4,SWhitmarsh,Yes,Yes,Western Eyre East In,5,Stereo,129,53,441236,6234124,JHicks,BST,CMPA,
WEEI05_1811,-34.04947,134.34125,20181114,11:53:00,Western Eyre,No-take,WEEI,85,SWhitmarsh,Yes,Yes,Western Eyre East In,13,Stereo,129,53,439201,6232163,JHicks,BST,CMPA,
WEEI06_1811,-34.04945,134.36265,20181114,12:27:00,Western Eyre,No-take,WEEI,84.4,SWhitmarsh,Yes,Yes,Western Eyre East In,16,Stereo,129,53,441176,6232178,JHicks,BST,CMPA,
WEEI07_1811,-34.06792,134.3409,20181114,12:05:00,Western Eyre,No-take,WEEI,86.5,SWhitmarsh,Yes,Yes,Western Eyre East In,14,Stereo,129,53,439182,6230117,JHicks,BST,CMPA,
WEEI08_1811,-34.06813,134.36233,20181114,12:16:00,Western Eyre,No-take,WEEI,85.9,SWhitmarsh,Yes,Yes,Western Eyre East In,15,Stereo,129,53,441159,6230106,JHicks,BST,CMPA,
WEWI01_1811,-34.0768,134.22133,20181115,11:13:00,Western Eyre,No-take,WEWI,88.8,SWhitmarsh,Yes,Yes,Western Eyre West In,33,Stereo,129,53,428155,6229055,JHicks,BST,CMPA,
WEWI02_1811,-34.09462,134.22178,20181115,11:03:00,Western Eyre,No-take,WEWI,91,SWhitmarsh,Yes,No,Western Eyre West In,32,Stereo,129,53,428212,6227079,JHicks,BST,CMPA,
WEWI03_1811,-34.07682,134.24328,20181115,10:39:00,Western Eyre,No-take,WEWI,88.4,SWhitmarsh,Yes,Yes,Western Eyre West In,30,Stereo,129,53,430181,6229068,JHicks,BST,CMPA,
WEWI04_1811,-34.09495,134.24355,20181115,10:52:00,Western Eyre,No-take,WEWI,89.9,SWhitmarsh,Yes,Yes,Western Eyre West In,31,Stereo,129,53,430221,6227058,JHicks,BST,CMPA,
WEWI05_1811,-34.07705,134.26477,20181115,7:55:00,Western Eyre,No-take,WEWI,87.9,SWhitmarsh,Yes,Yes,Western Eyre West In,20,Stereo,129,53,432164,6229057,JHicks,BST,CMPA,
WEWI06_1811,-34.0948,134.26457,20181115,7:44:00,Western Eyre,No-take,WEWI,87.9,SWhitmarsh,Yes,Yes,Western Eyre West In,19,Stereo,129,53,432159,6227089,JHicks,BST,CMPA,
WEWI07_1811,-34.07668,134.2865,20181115,7:22:00,Western Eyre,No-take,WEWI,87.2,SWhitmarsh,Yes,Yes,Western Eyre West In,17,Stereo,129,53,434168,6229112,JHicks,BST,CMPA,
WEWI08_1811,-34.09477,134.28642,20181115,7:33:00,Western Eyre,No-take,WEWI,86.4,SWhitmarsh,Yes,Yes,Western Eyre West In,18,Stereo,129,53,434175,6227106,JHicks,BST,CMPA,
