Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
CKWI01_2011,-35.79081667,136.2351667,20201114,10:31:00,Western Kangaroo Island (Commonwealth),No-take,CKWI01,121,DEaston,Yes,Yes,Commonwealth Kangaroo Island West Inside,N/A,Stereo,999,53,611618.6401,6038548.961,JHicks,MST,AMP,NA
CKWI02_2011,-35.80166667,136.2382,20201114,10:44:00,Western Kangaroo Island (Commonwealth),No-take,CKWI02,122,DEaston,Yes,Yes,Commonwealth Kangaroo Island West Inside,N/A,Stereo,999,53,611877.5533,6037342.028,JHicks,MST,AMP,NA
CKWI03_2011,-35.79123333,136.2462667,20201114,10:53:00,Western Kangaroo Island (Commonwealth),No-take,CKWI03,120,DEaston,Yes,Yes,Commonwealth Kangaroo Island West Inside,N/A,Stereo,999,53,612621.179,6038490.039,JHicks,MST,AMP,NA
CKWI04_2011,-35.79246667,136.2593333,20201114,11:03:00,Western Kangaroo Island (Commonwealth),No-take,CKWI04,122,DEaston,Yes,Yes,Commonwealth Kangaroo Island West Inside,N/A,Stereo,999,53,613800.2739,6038338.136,JHicks,MST,AMP,NA
CKWI05_2011,-35.78671667,136.25285,20201114,11:15:00,Western Kangaroo Island (Commonwealth),No-take,CKWI05,119,DEaston,Yes,Yes,Commonwealth Kangaroo Island West Inside,N/A,Stereo,999,53,613222.5316,6038983.435,JHicks,MST,AMP,NA
CKCI01_2011,-35.78805,136.2867667,20201114,12:48:00,Western Kangaroo Island (Commonwealth),No-take,CKCI01,118,DEaston,Yes,Yes,Commonwealth Kangaroo Island Central Inside,N/A,Stereo,999,53,616285.8674,6038795.81,JHicks,MST,AMP,NA
CKCI02_2011,-35.78963333,136.2850667,20201114,12:55:00,Western Kangaroo Island (Commonwealth),No-take,CKCI02,119,DEaston,Yes,Yes,Commonwealth Kangaroo Island Central Inside,N/A,Stereo,999,53,616129.9252,6038622.204,JHicks,MST,AMP,NA
CKCI03_2011,-35.79255,136.2894,20201114,13:01:00,Western Kangaroo Island (Commonwealth),No-take,CKCI03,119,DEaston,Yes,Yes,Commonwealth Kangaroo Island Central Inside,N/A,Stereo,999,53,616517.2858,6038293.542,JHicks,MST,AMP,NA
CKCI04_2011,-35.80265,136.2909333,20201114,13:11:00,Western Kangaroo Island (Commonwealth),No-take,CKCI04,118,DEaston,Yes,Yes,Commonwealth Kangaroo Island Central Inside,N/A,Stereo,999,53,616641.0869,6037171.426,JHicks,MST,AMP,NA
CKCI05_2011,-35.80518333,136.2887333,20201114,13:16:00,Western Kangaroo Island (Commonwealth),No-take,CKCI05,120,DEaston,Yes,Yes,Commonwealth Kangaroo Island Central Inside,N/A,Stereo,999,53,616438.5992,6036893.048,JHicks,MST,AMP,NA
WKCI01_2011,-35.72551667,136.3296333,20201114,15:38:00,Western Kangaroo Island (State),No-take,WKCI01,111,DEaston,Yes,Yes,Western Kangaroo Island Central Inside,N/A,Stereo,76,53,620254.0474,6045680.25,JHicks,MST,AMP,NA
WKCI02_2011,-35.735,136.3085,20201114,15:53:00,Western Kangaroo Island (State),No-take,WKCI02,111,DEaston,Yes,Yes,Western Kangaroo Island Central Inside,N/A,Stereo,76,53,618328.5785,6044654.068,JHicks,MST,AMP,NA
WKCI03_2011,-35.73636667,136.3082,20201114,15:58:00,Western Kangaroo Island (State),No-take,WKCI03,111,DEaston,Yes,Yes,Western Kangaroo Island Central Inside,N/A,Stereo,76,53,618299.4259,6044502.841,JHicks,MST,AMP,NA
WKCI04_2011,-35.73628333,136.3309833,20201114,16:03:00,Western Kangaroo Island (State),No-take,WKCI04,112,DEaston,Yes,Yes,Western Kangaroo Island Central Inside,N/A,Stereo,76,53,620359.9468,6044484.364,JHicks,MST,AMP,NA
WKCI05_2011,-35.73791667,136.3224333,20201114,16:12:00,Western Kangaroo Island (State),No-take,WKCI05,112,DEaston,Yes,Yes,Western Kangaroo Island Central Inside,N/A,Stereo,76,53,619584.2891,6044313.655,JHicks,MST,AMP,NA
