Dot Point Measurements

Generated: Thursday 07 July 2022 09:17:14

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
1.jpg	      0		729	1671													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			33.2
1.jpg	      0		750	1185													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			47.6
1.jpg	      0		776	1345													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			40.6
1.jpg	      0		884	1824													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			23.3
1.jpg	      0		579	205													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			95.4
1.jpg	      0		918	1157													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			44.0
1.jpg	      0		843	1529													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			31.7
1.jpg	      0		983	1577													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			24.7
1.jpg	      0		805	1085													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			50.1
1.jpg	      0		1023	959													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			51.2
1.jpg	      0		879	989													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			52.6
1.jpg	      0		1003	1106													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			44.5
1.jpg	      0		822	151													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			93.7
1.jpg	      0		708	727													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			68.5
1.jpg	      0		855	368													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			82.6
1.jpg	      0		808	962													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			55.5
1.jpg	      0		1036	1082													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			45.0
1.jpg	      0		579	813													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			68.1
1.jpg	      0		925	814													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			59.9
1.jpg	      0		965	946													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			52.8
1.jpg	      0		1029	2672													Macroalgae	Drift		Open		80300000_2			41.9
1.jpg	      0		593	2110													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			39.1
1.jpg	      0		769	2878													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			57.2
1.jpg	      0		734	3159													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			70.8
1.jpg	      0		755	2675													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			48.9
1.jpg	      0		1063	3144													Macroalgae	Drift		Open		80300000_2			64.5
1.jpg	      0		1038	3324													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			73.8
1.jpg	      0		885	2059													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			24.1
1.jpg	      0		660	3553													Macroalgae	Filamentous and filiform		Open		80300930			90.7
1.jpg	      0		833	2254													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			30.9
1.jpg	      0		740	2015													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			30.7
1.jpg	      0		758	2448													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			40.2
1.jpg	      0		583	2930													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			64.6
1.jpg	      0		726	3294													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			77.2
1.jpg	      0		890	3789													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			98.7
1.jpg	      0		585	1938													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			38.2
1.jpg	      0		564	2080													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			40.2
1.jpg	      0		809	3479													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			84.5
1.jpg	      0		647	3706													Macroalgae	Filamentous and filiform		Open		80300930			98.3
1.jpg	      0		604	2026													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			37.7
1.jpg	      0		1822	2808													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			52.3
1.jpg	      0		2075	2894													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			63.0
1.jpg	      0		1817	1949													Macroalgae	Drift		Open		80300000_2			24.9
1.jpg	      0		1708	3753													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			96.1
1.jpg	      0		1914	2404													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			39.0
1.jpg	      0		1711	2630													Macroalgae	Filamentous and filiform		Open		80300930			41.6
1.jpg	      0		1919	2341													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			37.2
1.jpg	      0		2105	1970													Seagrasses	Strap-like leaves	Posidonia sp. with epiphytes algae	Open		63600903			39.7
1.jpg	      0		1645	3190													Seagrasses	Strap-like leaves	Amphibolis sp. with epiphytes algae	Open		63600903			67.4
1.jpg	      0		2084	3415													Macroalgae	Drift		Open		80300000_2			86.0
1.jpg	      0		1776	2647													Macroalgae	Drift		Open		80300000_2			44.0
