Date,Sample,Time.bottom,Time.end,Depth,BOSS#,Raw.hdd.number,Con.hdd.number,Latitude,Longitude,Comment,Forwards.habitat.image.exported,Downwards.habitat.image.exported,Site,Location,Status,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210302,186,07:44:00,08:04:17,30.4,BOSS1,RAW1,CON1,-33.5387,115.1588,Western Most Point,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210318,Claude,,,
20210302,129,07:57:08,08:17:52,29.3,BOSS2,RAW1,CON1,-33.5408,115.1741,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210420,,,,no fish
20210302,160,08:13:30,08:32:04,29.3,BOSS1,RAW1,CON1,-33.5446,115.18,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210318,Claude - 1 unknown + unknown labrid,,,
20210302,144,08:25:24,08:46:11,29,BOSS2,RAW1,CON1,-33.5491,115.1656,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210420,,,,no fish 
20210302,174,08:38:28,08:38:56,27.9,BOSS1,RAW1,CON1,-33.5531,115.1821,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210318,Claude,,,
20210302,208,08:52:24,09:16:35,28,BOSS2,RAW1,CON1,-33.5558,115.1775,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210420,,,,check caesiopercas
20210302,123,09:06:07,09:29:08,26.9,BOSS1,RAW1,CON1,-33.5574,115.1548,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210318,Claude,,,no fish
20210302,237,09:24:48,09:41:47,27,BOSS2,RAW1,CON1,-33.5584,115.1561,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,"2 unknown, parequula?"
20210302,217,09:35:49,10:01:20,26.4,BOSS1,RAW1,CON1,-33.5669,115.163,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210319,Claude - unknown labrid,,,
20210302,101,09:52:39,10:17:03,26.9,BOSS2,RAW1,CON1,-33.5635,115.1855,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,2 small unknow wrasse and check 1 auricularis. baldie after period
20210302,147,10:09:51,10:29:23,23.8,BOSS1,RAW1,CON1,-33.5748,115.1841,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210319,Claude,,,no fish 
20210302,189,10:23:32,10:42:24,23.4,BOSS2,RAW1,CON1,-33.573,115.1959,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,check lineolatus
20210302,239,10:34:57,10:51:50,20.4,BOSS1,RAW1,CON1,-33.5843,115.1935,,Top,Y,,Geographe,,Rachel,Y,,,Rachel,20210319,Claude,,,
20210302,85,10:46:32,11:00:50,22.4,BOSS2,RAW1,CON1,-33.5787,115.2004,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,nice baldie
20210302,63,10:57:01,,21.8,BOSS1,RAW1,CON1,-33.582,115.2022,,Top,N,,Geographe,,Rachel,Y,,,Rachel,20210319,Claude,,,
20210302,66,11:08:21,,22.7,BOSS2,RAW1,CON1,-33.5788,115.2066,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,school of tiny SUS
20210302,81,11:24:45,11:29:45,23.4,BOSS2,RAW1,CON1,-33.574,115.2101,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,boss is moving around a bit
20210302,54,11:34:49,11:40:01,23.1,BOSS2,RAW1,CON1,-33.5772,115.2115,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,
20210302,93,11:46:41,11:54:12,20.9,BOSS2,RAW1,CON1,-33.5837,115.2153,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,
20210302,74,11:56:11,12:03:08,20.8,BOSS2,RAW1,CON1,-33.5837,115.2119,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,
20210302,51,12:06:04,12:12:45,24.5,BOSS2,RAW1,CON1,-33.587,115.2134,,Top,Y,,Geographe,,Claude,Y,,,Claude,20210421,,,,no fish
