Dot Point Measurements																									
																									
"Generated: Tuesday, June 28, 2022 18:32:22"																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
Huon_10_1_406.png	0		139	196			10_1										Open Water			Open					100
Huon_10_1_406.png	0		406	196			10_1										Open Water			Open					89.9
Huon_10_1_406.png	0		674	196			10_1										Invertebrate Complex	Complex 4		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				89.9
Huon_10_1_406.png	0		941	196			10_1										Invertebrate Complex	Complex 4		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				100
Huon_10_1_406.png	0		139	578			10_1										Open Water			Open					64.2
Huon_10_1_406.png	0		406	578			10_1										Open Water			Open					46.9
Huon_10_1_406.png	0		674	578			10_1										Invertebrate Complex	Complex 4		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				46.9
Huon_10_1_406.png	0		941	578			10_1										Invertebrate Complex	Complex 4		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				64.2
Huon_10_1_406.png	0		139	960			10_1										Open Water			Open					46.5
Huon_10_1_406.png	0		406	960			10_1										Open Water			Open					15.5
Huon_10_1_406.png	0		674	960			10_1										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				15.5
Huon_10_1_406.png	0		941	960			10_1										Invertebrate Complex	Complex 4		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				46.5
Huon_10_1_406.png	0		139	1342			10_1										Open Water			Open					64.2
Huon_10_1_406.png	0		406	1342			10_1										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				46.9
Huon_10_1_406.png	0		674	1342			10_1										Invertebrate Complex	Complex 2		Open	3. Good relief structure with some overhangs. >45 substrate slope				46.9
Huon_10_1_406.png	0		941	1342			10_1										Invertebrate Complex	Complex 2		Limited	3. Good relief structure with some overhangs. >45 substrate slope				64.2
Huon_10_1_406.png	0		139	1724			10_1										Open Water			Open					100
Huon_10_1_406.png	0		406	1724			10_1										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				89.9
Huon_10_1_406.png	0		674	1724			10_1										Invertebrate Complex	Complex 2		Open	3. Good relief structure with some overhangs. >45 substrate slope				89.9
Huon_10_1_406.png	0		941	1724			10_1										Invertebrate Complex	Complex 2		Limited	3. Good relief structure with some overhangs. >45 substrate slope				100
Huon_10_2_1260.png	0		139	196			10_2										Open Water			Open					100
Huon_10_2_1260.png	0		406	196			10_2										Open Water			Open					89.9
Huon_10_2_1260.png	0		674	196			10_2										Open Water			Open					89.9
Huon_10_2_1260.png	0		941	196			10_2										Open Water			Open					100
Huon_10_2_1260.png	0		139	578			10_2										Open Water			Open					64.2
Huon_10_2_1260.png	0		406	578			10_2										Open Water			Open					46.9
Huon_10_2_1260.png	0		674	578			10_2										Open Water			Open					46.9
Huon_10_2_1260.png	0		941	578			10_2										Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	82001014			64.2
Huon_10_2_1260.png	0		139	960			10_2										Open Water			Open					46.5
Huon_10_2_1260.png	0		406	960			10_2										Open Water			Open					15.5
Huon_10_2_1260.png	0		674	960			10_2										Open Water			Limited					15.5
Huon_10_2_1260.png	0		941	960			10_2										Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			46.5
Huon_10_2_1260.png	0		139	1342			10_2										Open Water			Open					64.2
Huon_10_2_1260.png	0		406	1342			10_2										Open Water			Open					46.9
Huon_10_2_1260.png	0		674	1342			10_2										Open Water			Limited					46.9
Huon_10_2_1260.png	0		941	1342			10_2										Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			64.2
Huon_10_2_1260.png	0		139	1724			10_2										Open Water			Open					100
Huon_10_2_1260.png	0		406	1724			10_2										Open Water			Open					89.9
Huon_10_2_1260.png	0		674	1724			10_2										Open Water			Limited					89.9
Huon_10_2_1260.png	0		941	1724			10_2										Unconsolidated	Sand / mud (coarse sand)		Limited	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope	82001014			100
Huon_10_3_1280.png	0		139	196			10_3										Open Water			Open					100
Huon_10_3_1280.png	0		406	196			10_3										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				89.9
Huon_10_3_1280.png	0		674	196			10_3										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				89.9
Huon_10_3_1280.png	0		941	196			10_3										Sponges	Large Multi Form >10cm		Open	3. Good relief structure with some overhangs. >45 substrate slope	10000000			100
Huon_10_3_1280.png	0		139	578			10_3										Open Water			Open					64.2
Huon_10_3_1280.png	0		406	578			10_3										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				46.9
Huon_10_3_1280.png	0		674	578			10_3										Invertebrate Complex	Complex 2		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				46.9
Huon_10_3_1280.png	0		941	578			10_3										Invertebrate Complex	Complex 2		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope				64.2
Huon_10_3_1280.png	0		139	960			10_3										Open Water			Open					46.5
Huon_10_3_1280.png	0		406	960			10_3										Invertebrate Complex	Complex 4		Open	3. Good relief structure with some overhangs. >45 substrate slope				15.5
Huon_10_3_1280.png	0		674	960			10_3										Invertebrate Complex	Complex 4		Limited	3. Good relief structure with some overhangs. >45 substrate slope				15.5
Huon_10_3_1280.png	0		941	960			10_3										Invertebrate Complex	Complex 2		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				46.5
Huon_10_3_1280.png	0		139	1342			10_3										Open Water			Open					64.2
