Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Extra.Vid,Analysis.notes
1_1,21/06/2021,8:45,9:45,110,Huon AMP,1,IV,-43.67942372,147.0936608,0.000336593,,,,,1278,1279,,,,DS,,,Y,DS,,Y,Y,,Pipefish
1_2,14/07/2021,13:17,,108,Huon AMP,1,IV,-43.67712313,147.0931289,0.000336593,,,,,1276,1277,,,,DS,,,Y,DS,,Y,Y,,"Right video cuts out at end, but no lengths needed to be taken after. Squid"
1_3,14/07/2021,13:12,,107,Huon AMP,1,IV,-43.67770155,147.0891668,0.000336593,,,,,1280,1281,,,,DS,,,Y,DS,,Y,Y,,"Draughboard shark, and flathead"
1_4,14/07/2021,13:23,,107,Huon AMP,1,IV,-43.67635825,147.0904858,0.000336593,,,,,1278,1279,,,,DS,,,Y,DS,,Y,Y,,"Sharks, unknown silver gurnard type fish"
1_5,14/07/2021,13:28,,107,Huon AMP,1,IV,-43.67482038,147.0952388,0.000336593,,,,,1260,1261,,,,DS,,,Y,DS,,N ,Y,,"No right camera, no measurements"
1_6,14/07/2021,13:36,,105,Huon AMP,1,IV,-43.6742494,147.0899542,0.0254953,58 failed for unknown reason,,,,1258,1259,,,,DS,,,Y,DS,,N,Y,,"No right camera, no measurements. Dogfish"
2_1,14/07/2021,13:32,,69,Huon AMP,2,IV,-43.61593706,147.2297023,0.819928,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,NFH,Spider crab at maxn
2_2,23/06/2021,11:22,11:24,69,Huon AMP,2,IV,-43.61767486,147.2236384,0.819928,,,,,406,407,,,,NFH,   ,,N,NFH,,N ,Y,NFH,"Video not synced - need to be fixed, no measurements"
2_3,23/06/2021,11:00,12:01,66,Huon AMP,2,IV,-43.61670724,147.2281216,0.819928,,,,,1260,1261,,,,NFH, ,,Y,NFH,,Y,Y,NFH,"Red swimmer Crab, Spider Crab"
2_4,23/06/2021,11:14,12:17,64,Huon AMP,2,IV,-43.61709546,147.2257477,0.819928,,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,NFH,"Scored left CAM - Calamari, Scaber, Splendid and Butterfly Perch galore "
2_5,23/06/2021,11:06,12:07,62,Huon AMP,2,IV,-43.62130399,147.2307785,0.819928,,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,NFH,"Scored left CAM - Calamari, Scaber, Splendid and Butterfly Perch galore "
2_6,23/06/2021,11:32,12:35,54,Huon AMP,2,IV,-43.61556144,147.225742,0.819928,Dark light dim,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,NFH,Calamari Squid
3_1,23/06/2021,11:27,12:31,85,Huon AMP,3,IV,-43.63738201,147.2448332,0.15424,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,n/a
3_2,14/07/2021,8:36,,84,Huon AMP,3,IV,-43.63814333,147.2474765,0.15424,,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,n/a
3_3,14/07/2021,8:24,,82,Huon AMP,3,IV,-43.6362195,147.2503728,0.15424,,,,,1258,1259,,,,NFH,,,Y,NFH,,N ,Y,,"Picture Dimension Error, no measurements"
3_4,14/07/2021,8:40,,81,Huon AMP,3,IV,-43.64140138,147.248282,0.15424,,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,n/a
3_5,14/07/2021,8:44,,80,Huon AMP,3,IV,-43.63775466,147.2498512,0.15424,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,"Smooth Stingray, draughtboard shark and flathead -- very cool video"
3_6,14/07/2021,8:32,,76,Huon AMP,3,IV,-43.64063093,147.2498631,0.15424,one cam out of focus,,,,406,407,,,,NFH,,,Y,NFH,,Y,Y,,Beautiful reef and different species - cool video
4_1,14/07/2021,8:28,,104,Huon AMP,4,IV,-43.66776331,147.2906555,0.0254953,one camera on tilt,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,Cyttus australis and Sepioteuthis australis 
4_2,8/07/2021,9:06,,100,Huon AMP,4,IV,-43.66680052,147.2922357,0.0254953,ok,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,,n/a
4_3,8/07/2021,9:16,,99,Huon AMP,4,IV,-43.66533871,147.2905765,0.0254953,ok,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,n/a
4_4,8/07/2021,9:25,,90,Huon AMP,4,IV,-43.663937,147.2872032,0.15424,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,n/a
4_5,8/07/2021,9:01,,89,Huon AMP,4,IV,-43.66911158,147.2882845,0.15424,ok,,,,1278,1279,,,,NFH,,,Y,NFH,,Y,Y,,n/a
4_6,8/07/2021,15:41,,88,Huon AMP,4,IV,-43.66566341,147.2869473,0.15424,"repeat of upside down cam, Facing down after 8min BT",,,,1278,1279,,,,NFH,,,Y,NFH, ,Y,Y,,n/a
5_1,8/07/2021,9:02,,100,Huon AMP,5,IV,-43.70132739,147.2876459,0.0254953,ok,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,Jackass morwong galore
5_2,24/06/2021,13:37,14:41,98,Huon AMP,5,IV,-43.70172537,147.2818331,0.0254953,,,,,1278,1279,,,,NFH,,,Y,NFH,,N,Y,,"No right CAM, no measurements"
5_3,24/06/2021,13:33,14:35,98,Huon AMP,5,IV,-43.70383002,147.2836932,0.0254953,1280 Set to Narrow,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,Eagle Ray (Myliobatis australis) and school of sandpaper fish. 
5_4,24/06/2021,13:25,14:25,91,Huon AMP,5,IV,-43.70038183,147.2823554,0.0254953,Flips upside down after about 15min,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,,"no left camera, no measurements"
5_5,24/06/2021,13:48,14:53,88,Huon AMP,5,IV,-43.70114226,147.285002,0.15424,1276 Stoped recording on the surface,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,n/a
5_6,24/06/2021,13:12,14:30,88,Huon AMP,5,IV,-43.69903171,147.2855206,0.15424,,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,Cross-back Stringray 
6_1,24/06/2021,13:42,14:49,67,Huon AMP,6,IV,-43.63862665,147.2610974,0.819928,Lands sideways on rock and flips upside down,,,,1262,1263,,,,NFH,,,Y,NFH, ,Y,Y,,"Interesting species on MaaxN such as calamari, sandpaper, scaber galore"
6_2,22/06/2021,7:58,9:02,62,Huon AMP,6,IV,-43.63832178,147.2535499,0.819928,,,,,1262,1263,,,,NFH,,,Y,NFH,,Y,Y,,"Giant spider crab at maxn, crayfish feeding frenzy"
6_3,22/06/2021,7:51,8:56,61,Huon AMP,6,IV,-43.63947405,147.2532827,0.819928,1261 set to active may have sync issues 60fps 2.7K ??,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,Diff sp of beardies. 
6_4,22/06/2021,8:08,9:10,55,Huon AMP,6,IV,-43.64033591,147.2550593,0.819928,reset no light use second drop,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,crayfish and spider crab at MAXn. 
6_5,22/06/2021,8:25,9:30,50,Huon AMP,6,IV,-43.63773708,147.2577718,0.819928,Start of 1259 May have error,,,,1258,1259,,,,NFH,,,Y,NFH,,Y,Y,,"OCTOPUS, crayfish and leatherjackets galore "
6_6,22/06/2021,8:14,9:19,47,Huon AMP,6,IV,-43.63945865,147.2596274,0.819928,,,,,1278,1279,,,,NFH,,,Y,NFH,,N ,Y,,"RIGHT STEREO NOT WORKING, no measurements - crayfish galore"
7_1,22/06/2021,8:19,9:25,167,Huon AMP,7,IV,-43.96704297,147.2991343,0.000336593,1280 Part 1 Corrupt: 1281 Parts 2-5 corrupt,,,,1280,1281,,,,NFH,,,Y,NFH,,Y,Y,,"Seal, bristal stars sandy habitat, bad angle for measurements"
7_2,23/06/2021,12:51,13:56,167,Huon AMP,7,IV,-43.96993488,147.2930426,0.000336593,,,,,1276,1277,,,,NFH,,,Y,NFH,,Y,Y,,"Seal and big flathead, bristal stars sandy habitat "
7_3,23/06/2021,13:06,14:12,167,Huon AMP,7,IV,-43.96801339,147.294626,0.000336593,,,,,1278,1279,,,,NFH,,,Y,NFH,,Y,Y,,GUMMY SHARK
7_4,23/06/2021,12:59,14:05,167,Huon AMP,7,IV,-43.9729827,147.3007572,0.000336593,Wrong number on board has 15_6 should be 15_3,,,,1258,1259,,,,NFH,,,Y,NFH,,N ,Y,,"No left camera, no measurements - BABY GUMMY and Flathead"
7_5,23/06/2021,13:02,14:10,167,Huon AMP,7,IV,-43.97452909,147.2959858,0.000336593,,,,,1260,1261,,,,NFH,,,Y,NFH,,Y,Y,,n/a
