Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,SiteName,Waypoint,BruvType,Zone_ID,UTMzone,Easting,Northing,FieldLead,FieldTeam,MonType,Bottom Temp
SKWO09_2205,-36.07138369,137.2525553,20220507,10:50:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO09,37,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW9,Stereo,NA,53,702850.5002,6005785.516,DEaston,MST,CMPA,16.3
SKWO01_2205,-36.06772796,137.2552266,20220507,10:55:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO01,27,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW1,Stereo,NA,53,703100.5002,6006185.516,DEaston,MST,CMPA,16.3
SKWO05_2205,-36.06927316,137.2569361,20220507,11:01:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO05,23,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW5,Stereo,NA,53,703250.5002,6006010.516,DEaston,MST,CMPA,16.3
SKWO03_2205,-36.06877043,137.2596973,20220507,11:06:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO03,25,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW3,Stereo,NA,53,703500.5002,6006060.516,DEaston,MST,CMPA,16.3
SKWO02_2205,-36.06785908,137.2602263,20220507,11:10:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO02,27,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW2,Stereo,NA,53,703550.5002,6006160.516,DEaston,MST,CMPA,16.3
SKWO04_2205,-36.06895377,137.261923,20220507,11:15:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO04,37,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW4,Stereo,NA,53,703700.5002,6006035.516,DEaston,MST,CMPA,16.3
SKWO07_2205,-36.06975501,137.2672196,20220507,12:53:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO07,24,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW7,Stereo,NA,53,704175.5002,6005935.516,DEaston,MST,CMPA,16.3
SKWO08_2205,-36.07047265,137.2650197,20220507,12:58:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO08,24,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW8,Stereo,NA,53,703975.5002,6005860.516,DEaston,MST,CMPA,16.3
SKWO10_2205,-36.07246814,137.2667424,20220507,13:04:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO10,15.3,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW10,Stereo,NA,53,704125.5002,6005635.516,DEaston,MST,CMPA,16.3
SKWO13_2205,-36.07498753,137.2645941,20220507,13:10:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO13,25.6,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW13,Stereo,NA,53,703925.5002,6005360.516,DEaston,MST,CMPA,16.3
SKWO12_2205,-36.07297104,137.2639811,20220507,13:14:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO12,27.8,TClarke,Yes,No,Southern Kangaroo Island West Out,NW12,Stereo,NA,53,703875.5002,6005585.516,DEaston,MST,CMPA,16.3
SKWO11_2205,-36.07279298,137.2614779,20220507,13:20:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO11,32.1,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW11,Stereo,NA,53,703650.5002,6005610.516,DEaston,MST,CMPA,16.3
SKWO14_2205,-36.07570512,137.262394,20220507,14:52:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO14,26.6,TClarke,Yes,No,Southern Kangaroo Island West Out,NW14,Stereo,NA,53,703725.5002,6005285.516,DEaston,MST,CMPA,16.3
SKWO18_2205,-36.07732355,137.2602197,20220507,14:57:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO18,22.5,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW18,Stereo,NA,53,703525.5002,6005110.516,DEaston,MST,CMPA,16.3
SKWO19_2205,-36.07786289,137.2555161,20220507,15:02:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO19,21.2,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW19,Stereo,NA,53,703100.5002,6005060.516,DEaston,MST,CMPA,16.3
SKWO21_2205,-36.07858032,137.2533158,20220507,15:07:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO21,29,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW21,Stereo,NA,53,702900.5002,6004985.516,DEaston,MST,CMPA,16.3
SKWO17_2205,-36.077229,137.2532773,20220507,15:11:00,Southern Kangaroo Island (Commonwealth),Fished,SKWO17,27.6,TClarke,Yes,Yes,Southern Kangaroo Island West Out,NW17,Stereo,NA,53,702900.5002,6005135.516,DEaston,MST,CMPA,16.3
