Dot Point Measurements

Generated: Tuesday 16 May 2023 08:50:27

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		1028	924													CP2	1					Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						21.2
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		956	73													CP2	1					Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						82.4
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		570	1218													CP2	1					Unscorable								42.5
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		1019	1108													CP2	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						30.3
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		584	189													CP2	1					Unscorable								73.6
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		814	1373													CP2	1					Unscorable								49.6
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		875	202													CP2	1					Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						68.5
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		683	1863													CP2	1					Unscorable								100.0
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		867	1203													CP2	1					Bryozoa > Soft	Foliaceous							32.8
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		1025	1145													CP2	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						33.5
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		613	858													CP2	1					Unscorable								21.1
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		891	923													CP2	1					Bryozoa > Soft	Foliaceous							8.2
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		565	1278													CP2	1					Unscorable								47.7
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		813	214													CP2	1					Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						67.1
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		969	904													CP2	1					Substrate > Unconsolidated (soft)	Pebble / gravel	Gravel (2-10mm)						15.0
CP2_1_01_Left_MAH00274.MP4_0005545.jpg	      0		727	1070													CP2	1					Substrate > Unconsolidated (soft)								21.4
