System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
1,INV-BV-25,-34.07025833,120.9498167,2022-11-03,2022-11-03 00:40:48,2022-11-03 08:40:48,Investigator Island,South-west Corner,No-take,National Park Zone,50.5,,No,No,Kat,2022-01-30,Facing up,27,28,19,BU organised not RAW,,No,N/A,Yes,N/A,,,,,,
2,INV-BV-70,-34.06644167,120.9385767,2022-11-03,2022-11-03 00:45:23,2022-11-03 08:45:23,Investigator Island,South-west Corner,No-take,National Park Zone,64.4,,,,Kat,2022-01-30,,29,30,20,BU1,,Yes,Henry,Yes,Molly,,,,,,
3,INV-BV-36,-34.06377339,120.9386308,2022-11-03,2022-11-03 00:49:28,2022-11-03 08:49:28,Investigator Island,South-west Corner,No-take,National Park Zone,49.7,,,,Kat,2022-01-30,,31,32,21,BU1,,Yes,Henry,Yes,Molly,,,,,,
4,INV-BV-62,-34.05634538,120.9663105,2022-11-03,2022-11-03 01:01:54,2022-11-03 09:01:54,Investigator Island,South-west Corner,No-take,National Park Zone,66.4,,,,Kat,2022-01-30,,33,34,22,BU1,,Yes,Henry,Yes,Molly,,,,,,
5,INV-BV-58,-34.04880504,120.9512688,2022-11-03,2022-11-03 01:07:51,2022-11-03 09:07:51,Investigator Island,South-west Corner,No-take,National Park Zone,60.3,,,,,,,35,36,23,BU1,,Yes,Henry,Yes,Molly,,,,,,
6,INV-BV-07,-34.04886,120.94125,2022-11-03,2022-11-03 01:12:31,2022-11-03 09:12:31,Investigator Island,South-west Corner,No-take,National Park Zone,57.7,,,,,,,38,37,24,BU1,,Yes,Henry,Yes,Molly,,,,,,
7,INV-BV-14,-34.043595,120.9337917,2022-11-03,2022-11-03 01:23:17,2022-11-03 09:23:17,Investigator Island,South-west Corner,No-take,National Park Zone,53.8,,,,,,,39,40,25,BU1,,Yes,Henry,Yes,Molly,,,,,,
8,INV-BV-20,-34.04372603,120.9536963,2022-11-03,2022-11-03 01:32:12,2022-11-03 09:32:12,Investigator Island,South-west Corner,No-take,National Park Zone,57.9,,,,,,,41,42,26,BU1,,Yes,Henry,Yes,Molly,,,,,,
1,INV-BV-49,-34.03858976,120.9590201,2022-11-03,2022-11-03 03:07:39,2022-11-03 11:07:39,Investigator Island,South-west Corner,No-take,National Park Zone,46.8,,No,No,Kat,2022-01-30,,27,28,19,BU1,,No,N/A,Yes,N/A,,,,,,
2,INV-BV-11,-34.03604,120.9485867,2022-11-03,2022-11-03 03:12:21,2022-11-03 11:12:21,Investigator Island,South-west Corner,No-take,National Park Zone,45.5,,,,Kat,2022-01-30,Bait bag obscured,29,30,20,BU1,,Yes,Henry,Yes,Molly,,,,,,
