System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
1,SAL-BV-091,-34.36013659,123.5225436,2022-11-21,2022-11-21 00:47:31,2022-11-21 08:47:31,Salisbury Island,Eastern Recherche,Fished,,51.7,,,,,,"CAM RECORDED 056 BUT CHANGED PLAN TO 091. Bruv moves about 2.5 minutes after drop, period starts from second location",27,28,19,RAW2,,Yes,Henry,Yes,Molly,,,,,,
7,SAL-BV-059,-34.3532273,123.5359638,2022-11-21,2022-11-21 01:01:52,2022-11-21 09:01:52,Salisbury Island,Eastern Recherche,Fished,,35.5,,,,,,CAM RECORDED 002 BUT PLAN CHANGED TO 059. Skipper said this was site 059 but my map says 039. Cam 39 not on when pulled up (battery pack wasn't on). Only about 30 mins footage,39,40,25,RAW2,,No,N/A,Yes,Molly,,,,,,
8,SAL-BV-047,-34.31721358,123.4814367,2022-11-21,2022-11-21 02:20:23,2022-11-21 10:20:23,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,83,,,,,,CAM RECORDED 042 BUT PLAN CHANGED TO 047,41,42,26,RAW2,,Yes,Henry,Yes,Molly,,,,,,
2,SAL-BV-022,-34.32191272,123.5100899,2022-11-21,2022-11-21 02:32:16,2022-11-21 10:32:16,Salisbury Island,Eastern Recherche,Fished,,81.8,,,,,,,29,30,20,RAW2,,Yes,Henry,Yes,Molly,,,,,,
4,SAL-BV-C01,-34.31912852,123.518249,2022-11-21,2022-11-21 02:43:28,2022-11-21 10:43:28,Salisbury Island,Eastern Recherche,Fished,,79.5,,,,,,Fish on sounder. Didn't drop at the opcode recorded on cam,33,34,22,RAW2,,Yes,Henry,Yes,Molly,,,,,,
5,SAL-BV-C02,-34.31604117,123.5394085,2022-11-21,2022-11-21 02:56:33,2022-11-21 10:56:33,Salisbury Island,Eastern Recherche,Fished,,72.5,,,,,,Didn't drop at the opcode recorded on cam,35,36,23,RAW2,,Yes,Henry,Yes,Molly,,,,,,
6,SAL-BV-C03,-34.30883246,123.5191172,2022-11-21,2022-11-21 03:07:04,2022-11-21 11:07:04,Salisbury Island,Eastern Recherche,Fished,,77.6,,,,,,No karate chop. Didn't drop at the opcode recorded on cam,37,38,24,RAW2,,Yes,Henry,Yes,Molly,,,,,,
3,SAL-BV-056,-34.30190728,123.4926449,2022-11-21,2022-11-21 03:18:09,2022-11-21 11:18:09,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,80.4,,,,,,Bruv dropped. Tangle in rope. Pulled up to untangle. Bruv dropped again,31,32,21,RAW2,,Yes,Henry,Yes,Molly,,,,,,
5,SAL-BV-063,-34.39273574,123.5255309,2022-11-21,2022-11-21 06:02:53,2022-11-21 14:02:53,Salisbury Island,Eastern Recherche,Fished,,83.5,,,,,,,35,36,23,RAW2,,Yes,Henry,Yes,Molly,,,,,,
4,SAL-BV-C04,-34.39788544,123.5243921,2022-11-21,2022-11-21 06:10:11,2022-11-21 14:10:11,Salisbury Island,Eastern Recherche,Fished,,81.4,,,,,,Didn't drop at the opcode recorded on cam,33,34,22,RAW2,,Yes,Henry,Yes,Molly,,,,,,
6,SAL-BV-C05,-34.40376508,123.5171644,2022-11-21,2022-11-21 06:17:55,2022-11-21 14:17:55,Salisbury Island,Eastern Recherche,Fished,,83.5,,,,,,Cam recorded 027 but dropped at C05,37,38,24,RAW2,,Yes,Henry,Yes,Molly,,,,,,
3,SAL-BV-C07,-34.40662698,123.5222674,2022-11-21,2022-11-21 06:27:43,2022-11-21 14:27:43,Salisbury Island,Eastern Recherche,Fished,,66.3,,,,,,Opcode recorded on cam maybe wrong,31,32,21,RAW2,,Yes,Henry,Yes,Molly,,,,,,
2,SAL-BV-027,-34.41246656,123.5395713,2022-11-21,2022-11-21 06:37:00,2022-11-21 14:37:00,Salisbury Island,Eastern Recherche,Fished,,86.1,,,,,,Recorded opcode changed from 079,29,30,20,RAW2,,Yes,Henry,Yes,Molly,,,,,,
8,SAL-BV-032,-34.42764662,123.5610232,2022-11-21,2022-11-21 06:51:25,2022-11-21 14:51:25,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,90.4,,,,,,,41,42,26,RAW2,,Yes,Henry,Yes,Molly,,,,,,
7,SAL-BV-C06,-34.42974534,123.5382463,2022-11-21,2022-11-21 07:05:20,2022-11-21 15:05:20,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,90.8,,,,,,,39,40,25,RAW2,,Yes,Henry,Yes,Molly,,,,,,
1,SAL-BV-043,-34.43747999,123.5081563,2022-11-21,2022-11-21 07:19:04,2022-11-21 15:19:04,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,91.6,,,,,,,27,28,19,RAW2,,Yes,Henry,Yes,Molly,,,,,,
7,SAL-BV-057,-34.45575408,123.6618775,2022-11-22,2022-11-21 23:57:40,2022-11-22 07:57:40,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,84.6,,,,,,,39,40,25,RAW2,,Yes,Henry,Yes,Molly,,,,,,
1,SAL-BV-080,-34.46316253,123.6481971,2022-11-22,2022-11-22 00:08:45,2022-11-22 08:08:45,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,85.9,,,,,,,27,28,19,RAW2,,Yes,Henry,Yes,Molly,,,,,,
3,SAL-BV-001,-34.46670461,123.6283059,2022-11-22,2022-11-22 00:19:12,2022-11-22 08:19:12,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,47.8,,,,,,,31,32,21,RAW2,,Yes,Henry,Yes,Molly,,,,,,
6,SAL-BV-C08,-34.46984078,123.6226578,2022-11-22,2022-11-22 00:24:37,2022-11-22 08:24:37,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,84.1,,,,,,,37,38,24,RAW2,,Yes,Henry,Yes,Molly,,,,,,
2,SAL-BV-C09,-34.47247845,123.5976589,2022-11-22,2022-11-22 00:34:09,2022-11-22 08:34:09,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,86.4,,,,,,,29,30,20,RAW2,,Yes,Henry,Yes,Molly,,,,,,
5,SAL-BV-054,-34.47094964,123.5662194,2022-11-22,2022-11-22 00:45:43,2022-11-22 08:45:43,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,86.4,,,,,,"Bruv lifts up after 1 minute, travels for 30 seconds, then drops again.",35,36,23,RAW2,,Yes,Henry,Yes,Molly,,,,,,
4,SAL-BV-C10,-34.4601941,123.5699235,2022-11-22,2022-11-22 00:57:28,2022-11-22 08:57:28,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,82.3,,,,,,,33,34,22,RAW2,,Yes,Henry,Yes,Molly,,,,,,
8,SAL-BV-083,-34.43899483,123.6116742,2022-11-22,2022-11-22 01:15:03,2022-11-22 09:15:03,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,81,,,,,,,41,42,26,RAW2,,Yes,Henry,Yes,Molly,,,,,,
6,SAL-BV-068,-34.41095643,123.5949456,2022-11-22,2022-11-22 03:12:00,2022-11-22 11:12:00,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,88.8,,,,,,,37,38,24,RAW2,,Yes,Henry,Yes,Molly,,,,,,
5,SAL-BV-013,-34.40500309,123.624557,2022-11-22,2022-11-22 03:23:14,2022-11-22 11:23:14,Salisbury Island,Eastern Recherche,Fished,Special Purpose Zone,83.4,,,,,,,35,36,23,RAW2,,Yes,Henry,Yes,Molly,,,,,,
