Dot Point Measurements

Generated: Wednesday 12 July 2023 09:13:23

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		637	1836													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		923	966													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						52.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		836	1189													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						44.7
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		724	1072													20221109-1	TER-DC-001					Macroalgae > Erect coarse branching								52.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		743	913													20221109-1	TER-DC-001					Macroalgae > Erect coarse branching								59.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		869	67													20221109-1	TER-DC-001					Macroalgae								96.4
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		957	1653													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						23.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		693	1376													20221109-1	TER-DC-001					Macroalgae > Erect coarse branching								43.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		767	1167													20221109-1	TER-DC-001					Macroalgae								47.8
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1046	1107													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		923	51													20221109-1	TER-DC-001					Macroalgae								96.5
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		832	1810													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						27.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		546	1657													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1068	719													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						61.7
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1036	514													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						72.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		972	861													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						56.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1078	462													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						74.4
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		935	580													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						70.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		951	1319													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						35.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		642	326													20221109-1	TER-DC-001					Macroalgae								87.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		891	3388													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						79.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		623	2870													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						62.4
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1027	2025													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						18.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1007	3229													20221109-1	TER-DC-001					Macroalgae > Erect coarse branching	Red							70.5
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		594	3401													20221109-1	TER-DC-001					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						86.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		568	2413													20221109-1	TER-DC-001					Unscorable								48.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		802	2575													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						45.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		940	2728													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						47.7
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		814	2335													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						35.8
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1029	3713													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						94.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		975	2410													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						32.9
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		956	3292													20221109-1	TER-DC-001					Macroalgae > Erect coarse branching	Red							74.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		759	2631													20221109-1	TER-DC-001					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						48.6
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		918	3672													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						93.5
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1065	2840													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						50.6
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		984	3368													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						77.6
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		851	2493													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						40.2
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		547	3677													20221109-1	TER-DC-001					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		976	1927													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						19.7
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		757	3316													20221109-1	TER-DC-001					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						78.8
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1967	1850													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						31.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1669	1123													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						42.3
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1891	416													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						80.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1791	630													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						68.0
20221109-1_TER-DC-001_01_20221109_TOP_1_0002_0001.mp4_0013125.jpg	      0		1827	1690													20221109-1	TER-DC-001					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						25.9
