System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
1,TER-DC-001,-34.4675750002212,121.994305000186,2022-11-09,2022-11-09 01:44:30,2022-11-09 09:44:30,Termination Island,Eastern Recherche,Fished,,33.3,,,,Kat,2023-01-19,"Clapped twice, one cam playing up",,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-002,-34.4688799997124,121.997825000118,2022-11-09,2022-11-09 01:55:08,2022-11-09 09:55:08,Termination Island,Eastern Recherche,Fished,,17.3,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-003,-34.4726283332595,121.99977333368,2022-11-09,2022-11-09 02:04:16,2022-11-09 10:04:16,Termination Island,Eastern Recherche,Fished, ,32.2,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-004,-34.4581933335768,121.994075000032,2022-11-09,2022-11-09 02:22:30,2022-11-09 10:22:30,Termination Island,Eastern Recherche,Fished,,29.7,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-005,-34.444369999716,121.987073333078,2022-11-09,2022-11-09 02:39:38,2022-11-09 10:39:38,Termination Island,Eastern Recherche,Fished,,83.4,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-006,-34.4462833335404,121.982979999586,2022-11-09,2022-11-09 02:52:28,2022-11-09 10:52:28,Termination Island,Eastern Recherche,Fished,,70.3,,,,Kat,2023-01-19,All lights and cams good,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-007,-34.4347783331053,121.989441666765,2022-11-09,2022-11-09 03:15:41,2022-11-09 11:15:41,Termination Island,Eastern Recherche,Fished,,67.1,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-008,-34.4280116664417,121.983368333199,2022-11-09,2022-11-09 03:30:18,2022-11-09 11:30:18,Termination Island,Eastern Recherche,Fished,,41.4,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-009,-34.4750666663705,121.984840000009,2022-11-09,2022-11-09 04:19:44,2022-11-09 12:19:44,Termination Island,Eastern Recherche,Fished,,53.7,,,,Kat,2023-01-19,Resynced before with lights. Checked cams after downwards off,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-010,-34.4768416663592,121.991176666616,2022-11-09,2022-11-09 04:52:23,2022-11-09 12:52:23,Termination Island,Eastern Recherche,Fished,,68.4,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-011,-34.4782600002488,121.994525000294,2022-11-09,2022-11-09 05:05:13,2022-11-09 13:05:13,Termination Island,Eastern Recherche,Fished,,83.9,,,,Kat,2023-01-19,Deep edge,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-012,-34.4721616666447,122.001116666271,2022-11-09,2022-11-09 05:18:44,2022-11-09 13:18:44,Termination Island,Eastern Recherche,Fished,,82.1,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-013,-34.4651233330627,122.001498333485,2022-11-09,2022-11-09 05:31:54,2022-11-09 13:31:54,Termination Island,Eastern Recherche,Fished,,77.5,,,,Kat,2023-01-19,Fish on sounder. All cams and lights good after drop,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-014,-34.4700599997299,121.995423333544,2022-11-09,2022-11-09 05:44:33,2022-11-09 13:44:33,Termination Island,Eastern Recherche,Fished,,17.2,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-015,-34.4668516663101,121.992884999979,2022-11-09,2022-11-09 06:05:01,2022-11-09 14:05:01,Termination Island,Eastern Recherche,Fished,,20.8,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-016,-34.4643333335073,121.990244999581,2022-11-09,2022-11-09 06:15:58,2022-11-09 14:15:58,Termination Island,Eastern Recherche,Fished,,33.1,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-017,-34.465614999761,121.988711667019,2022-11-09,2022-11-09 06:26:05,2022-11-09 14:26:05,Termination Island,Eastern Recherche,Fished,,11.1,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-018,-34.468183333063,121.983424999825,2022-11-09,2022-11-09 06:38:27,2022-11-09 14:38:27,Termination Island,Eastern Recherche,Fished,,30.6,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-019,-34.4601733332972,121.987549999829,2022-11-09,2022-11-09 06:50:58,2022-11-09 14:50:58,Termination Island,Eastern Recherche,Fished,,40.3,,,,Kat,2023-01-19,Checked cams and lights before drop,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-020,-34.4558216669048,121.987070000329,2022-11-09,2022-11-09 07:02:01,2022-11-09 15:02:01,Termination Island,Eastern Recherche,Fished,,22.3,,,,Kat,2023-01-19,Resynced light before drop,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-021,-34.4525816667836,121.988176666368,2022-11-09,2022-11-09 07:11:26,2022-11-09 15:11:26,Termination Island,Eastern Recherche,Fished,,23.6,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-022,-34.452883333563,121.992609999619,2022-11-09,2022-11-09 07:22:15,2022-11-09 15:22:15,Termination Island,Eastern Recherche,Fished,,32.5,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
1,TER-DC-023,-34.4731316670235,122.000795000229,2022-11-09,2022-11-09 07:42:49,2022-11-09 15:42:49,Termination Island,Eastern Recherche,Fished,,85.2,,,,Kat,2023-01-19,,,CON1,Yes,Henry Evans,,,,,,,,
