Dot Point Measurements

Generated: Tuesday 16 May 2023 08:50:17

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
TER-BV-03_1_X.JPG	      0		1011	1710													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						98.6
TER-BV-03_1_X.JPG	      0		958	1399													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						66.1
TER-BV-03_1_X.JPG	      0		799	422													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						36.6
TER-BV-03_1_X.JPG	      0		870	778													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						6.9
TER-BV-03_1_X.JPG	      0		1060	367													TER-BV-03	1					Unscorable								49.9
TER-BV-03_1_X.JPG	      0		888	472													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						32.6
TER-BV-03_1_X.JPG	      0		1050	31													TER-BV-03	1					Unscorable								81.1
TER-BV-03_1_X.JPG	      0		565	439													TER-BV-03	1					Matrix > Mixed Sessile Invertebrate								42.6
TER-BV-03_1_X.JPG	      0		602	804													TER-BV-03	1					Bryozoa > Soft	Dendroid							20.9
TER-BV-03_1_X.JPG	      0		566	389													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						46.8
TER-BV-03_1_X.JPG	      0		762	1513													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						76.0
TER-BV-03_1_X.JPG	      0		567	781													TER-BV-03	1					Matrix > Mixed Sessile Invertebrate								24.3
TER-BV-03_1_X.JPG	      0		1023	224													TER-BV-03	1					Unscorable								61.4
TER-BV-03_1_X.JPG	      0		585	357													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						48.8
TER-BV-03_1_X.JPG	      0		754	1200													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						43.9
TER-BV-03_1_X.JPG	      0		689	71													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						73.8
TER-BV-03_1_X.JPG	      0		994	1064													TER-BV-03	1					Matrix > Mixed Sessile Invertebrate								35.5
TER-BV-03_1_X.JPG	      0		704	1291													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						54.0
TER-BV-03_1_X.JPG	      0		878	1744													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						100.0
TER-BV-03_1_X.JPG	      0		735	482													TER-BV-03	1					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						31.2
TER-BV-04_1_X.JPG	      0		855	1295													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						39.4
TER-BV-04_1_X.JPG	      0		917	724													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						23.0
TER-BV-04_1_X.JPG	      0		577	641													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						34.0
TER-BV-04_1_X.JPG	      0		675	254													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						66.7
TER-BV-04_1_X.JPG	      0		940	257													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						67.4
TER-BV-04_1_X.JPG	      0		724	1314													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						41.0
TER-BV-04_1_X.JPG	      0		834	1904													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						100.0
TER-BV-04_1_X.JPG	      0		606	1373													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						49.9
TER-BV-04_1_X.JPG	      0		752	900													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						3.4
TER-BV-04_1_X.JPG	      0		864	499													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						42.0
TER-BV-04_1_X.JPG	      0		591	1236													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						38.0
TER-BV-04_1_X.JPG	      0		1060	291													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						68.0
TER-BV-04_1_X.JPG	      0		624	809													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						18.9
TER-BV-04_1_X.JPG	      0		586	1400													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						53.1
TER-BV-04_1_X.JPG	      0		967	98													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						83.6
TER-BV-04_1_X.JPG	      0		968	1819													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						93.2
TER-BV-04_1_X.JPG	      0		1036	660													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						35.7
TER-BV-04_1_X.JPG	      0		581	1033													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						23.8
TER-BV-04_1_X.JPG	      0		746	913													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						3.8
TER-BV-04_1_X.JPG	      0		766	770													TER-BV-04	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						14.1
TER-BV-05_1_X.JPG	      0		663	1450													TER-BV-05	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						50.8
TER-BV-05_1_X.JPG	      0		922	1693													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								75.3
TER-BV-05_1_X.JPG	      0		726	589													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								42.8
TER-BV-05_1_X.JPG	      0		1030	154													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								91.1
TER-BV-05_1_X.JPG	      0		630	54													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								100.0
TER-BV-05_1_X.JPG	      0		928	1557													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								61.4
TER-BV-05_1_X.JPG	      0		940	1487													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								54.6
TER-BV-05_1_X.JPG	      0		907	939													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								12.3
TER-BV-05_1_X.JPG	      0		566	314													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								75.2
TER-BV-05_1_X.JPG	      0		968	814													TER-BV-05	1					Sponges > Massive forms	Simple							25.4
TER-BV-05_1_X.JPG	      0		874	1608													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								65.8
TER-BV-05_1_X.JPG	      0		624	1615													TER-BV-05	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						68.7
TER-BV-05_1_X.JPG	      0		852	1427													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								46.6
TER-BV-05_1_X.JPG	      0		867	383													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								64.0
TER-BV-05_1_X.JPG	      0		551	298													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								77.3
TER-BV-05_1_X.JPG	      0		584	1812													TER-BV-05	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						89.9
TER-BV-05_1_X.JPG	      0		943	1869													TER-BV-05	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						94.1
TER-BV-05_1_X.JPG	      0		767	883													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								11.6
TER-BV-05_1_X.JPG	      0		886	378													TER-BV-05	1					Matrix > Mixed Sessile Invertebrate								64.8
TER-BV-05_1_X.JPG	      0		804	427													TER-BV-05	1					Sponges > Massive forms	Simple							59.0
TER-BV-06_1_X.JPG	      0		684	1637													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						75.6
TER-BV-06_1_X.JPG	      0		735	1827													TER-BV-06	1					Macroalgae > Erect coarse branching	Red							95.7
TER-BV-06_1_X.JPG	      0		637	957													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						14.1
TER-BV-06_1_X.JPG	      0		685	1631													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						74.9
TER-BV-06_1_X.JPG	      0		898	916													TER-BV-06	1					Macroalgae > Erect coarse branching	Red							14.7
TER-BV-06_1_X.JPG	      0		697	1068													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						15.3
TER-BV-06_1_X.JPG	      0		621	35													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						100.0
TER-BV-06_1_X.JPG	      0		712	102													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						91.7
TER-BV-06_1_X.JPG	      0		570	889													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						22.1
TER-BV-06_1_X.JPG	      0		707	207													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						80.4
TER-BV-06_1_X.JPG	      0		803	1170													TER-BV-06	1					Macroalgae > Erect coarse branching	Red							24.7
TER-BV-06_1_X.JPG	      0		756	880													TER-BV-06	1					Macroalgae > Erect coarse branching	Red							7.2
TER-BV-06_1_X.JPG	      0		767	974													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						3.0
TER-BV-06_1_X.JPG	      0		1013	690													TER-BV-06	1					Macroalgae > Erect coarse branching	Red							38.6
TER-BV-06_1_X.JPG	      0		913	1273													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						39.0
TER-BV-06_1_X.JPG	      0		845	1259													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Scytothalia dorycarpa						35.1
TER-BV-06_1_X.JPG	      0		887	107													TER-BV-06	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						91.9
