System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
Mini bruv 1,TER-BV-01,-34.468977,121.998998,2022-11-09,,2022-11-09 08:21:00,Termination Island,Eastern Recherche,Fished,,45.2,,,,,,,1201,1202,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
Mini bruv 2,TER-BV-02,-34.467101,121.994577,2022-11-09,,2022-11-09 08:29:00,Termination Island,Eastern Recherche,Fished,,42.4,,,,,,,1205,1207,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
3,TER-BV-03,-34.464871,121.993369,2022-11-09,,2022-11-09 08:36:00,Termination Island,Eastern Recherche,Fished,,63.7,,,,Kat,2023-01-25,,31,32,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
6,TER-BV-04,-34.463139,121.998804,2022-11-09,,2022-11-09 08:42:00,Termination Island,Eastern Recherche,Fished,,20.7,,,,Kat,2023-01-25,,37,38,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,TER-BV-05,-34.458571,121.986333,2022-11-09,,2022-11-09 08:49:00,Termination Island,Eastern Recherche,Fished,,47.5,,,,Kat,2023-01-25,,39,40,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
8,TER-BV-06,-34.453882,121.985755,2022-11-09,,2022-11-09 08:55:00,Termination Island,Eastern Recherche,Fished,,33.1,,,,Kat,2023-01-27,,41,42,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
Mini bruv 1,TER-BV-07,-34.451632,121.990242,2022-11-09,,2022-11-09 10:38:00,Termination Island,Eastern Recherche,Fished,,65.6,,,,,,,1201,1202,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
Mini bruv 2,TER-BV-08,-34.454154,121.992648,2022-11-09,,2022-11-09 10:44:00,Termination Island,Eastern Recherche,Fished,,27.5,,,,,,Sand hole in rocks,1205,1207,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
3,TER-BV-09,-34.454636,121.995952,2022-11-09,,2022-11-09 10:49:00,Termination Island,Eastern Recherche,Fished,,50.1,,,,,,Structure - forgot sync,31,32,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
6,TER-BV-10,-34.458449,121.994688,2022-11-09,,2022-11-09 10:54:00,Termination Island,Eastern Recherche,Fished,,42,,,,Kat,2023-01-25,Forgot sync,37,38,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,TER-BV-11,-34.443549,121.987593,2022-11-09,,2022-11-09 11:01:00,Termination Island,Eastern Recherche,Fished,,74.7,,,,Kat,2023-01-27,"Bommie, no lights",39,40,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
8,TER-BV-12,-34.441999,121.988828,2022-11-09,,2022-11-09 11:08:00,Termination Island,Eastern Recherche,Fished,,72.8,,,,Kat,2023-01-27,,41,42,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
Mini bruv 1,TER-BV-13,-34.465952,121.984818,2022-11-09,,2022-11-09 12:48:00,Termination Island,Eastern Recherche,Fished,,35.5,,,,,,,1201,1202,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
Mini bruv 2,TER-BV-14,-34.469539,121.982543,2022-11-09,,2022-11-09 12:52:00,Termination Island,Eastern Recherche,Fished,,65.1,,,,,,Bruv facing ground,1205,1207,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
3,TER-BV-15,-34.472812,121.982705,2022-11-09,,2022-11-09 12:57:00,Termination Island,Eastern Recherche,Fished,,36,,,,,,Cliff top drops to 90m,31,32,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
6,TER-BV-16,-34.476524,121.987053,2022-11-09,,2022-11-09 13:02:00,Termination Island,Eastern Recherche,Fished,,68.9,,,,Kat,2023-01-25,Bait bag gone,37,38,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,TER-BV-17,-34.477294,121.994045,2022-11-09,,2022-11-09 13:07:00,Termination Island,Eastern Recherche,Fished,,60,,,,Kat,2023-01-27,"Briefly snagged,  back cam off on retrieve",39,40,,RAW1,,Yes,Henry Evans,No,N/A,,,,,,
8,TER-BV-18,-34.473929,121.999577,2022-11-09,,2022-11-09 13:13:00,Termination Island,Eastern Recherche,Fished,,75.6,,,,Kat,2023-01-27,Bait bag gone,41,42,,RAW1,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
Mini 1,TER-BV-19,-34.47041822,121.8445653,2022-11-10,2022-11-10 00:41:45,2022-11-10 08:41:45,Termination Island,Eastern Recherche,Fished,,34.6,,,,,,,1201,1202,,,,Yes,Henry Evans,No,N/A,,,,,,
Mini 2,TER-BV-20,-34.47336833,121.8443767,2022-11-10,2022-11-10 00:46:45,2022-11-10 08:46:45,Termination Island,Eastern Recherche,Fished,,27.7,,,,,,,1205,1207,,,,Yes,Henry Evans,No,N/A,,,,,,
3,TER-BV-21,-34.477235,121.8466617,2022-11-10,2022-11-10 00:55:22,2022-11-10 08:55:22,Termination Island,Eastern Recherche,Fished,,52.2,,,,Kat,2023-01-27,No light facing backwards. Forwards habitat just open water (bruv on top of ledge),31,32,21,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
6,TER-BV-22,-34.47682,121.8510233,2022-11-10,2022-11-10 01:02:34,2022-11-10 09:02:34,Termination Island,Eastern Recherche,Fished,,46.1,,,,Kat,2023-01-27,,37,38,24,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,TER-BV-23,-34.47312248,121.8515258,2022-11-10,2022-11-10 01:10:41,2022-11-10 09:10:41,Termination Island,Eastern Recherche,Fished,,79.3,,,,Kat,2023-01-27,"At bottom of 50m wall, bait bag obscured, wedged in rocks",39,40,25,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
8,TER-BV-24,-34.46651333,121.8445467,2022-11-10,2022-11-10 01:26:27,2022-11-10 09:26:27,Termination Island,Eastern Recherche,Fished,,69.9,,,,Kat,2023-01-27,,41,42,26,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
Mini 1,TER-BV-25,-34.431945,121.9857183,2022-11-10,2022-11-10 03:22:23,2022-11-10 11:22:23,Termination Island,Eastern Recherche,Fished,,44.2,,,,,,,1201,1202,,,,Yes,Henry Evans,No,N/A,,,,,,
Mini 2,TER-BV-26,-34.427685,121.982815,2022-11-10,2022-11-10 03:28:00,2022-11-10 11:28:00,Termination Island,Eastern Recherche,Fished,,48.1,,,,,,,1205,1207,,,,Yes,Henry Evans,No,N/A,,,,,,
3,TER-BV-27,-34.42368167,121.981645,2022-11-10,2022-11-10 03:36:24,2022-11-10 11:36:24,Termination Island,Eastern Recherche,Fished,,67.2, ,,,Kat,2023-01-27,"No backwards light, check for shearwater on pull up",31,32,21,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
6,TER-BV-28,-34.41954833,121.9848483,2022-11-10,2022-11-10 03:42:53,2022-11-10 11:42:53,Termination Island,Eastern Recherche,Fished,,49,,,,Kat,2023-01-27,,37,38,24,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,TER-BV-29,-34.41620833,121.985885,2022-11-10,2022-11-10 03:54:32,2022-11-10 11:54:32,Termination Island,Eastern Recherche,Fished,,72.6,,,,Kat,2023-01-27,Bruv on wonky angle,39,40,25,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
8,TER-BV-30,-34.41244167,121.98753,2022-11-10,2022-11-10 03:58:25,2022-11-10 11:58:25,Termination Island,Eastern Recherche,Fished,,69.6,,,,Kat,2023-01-27,"Showed back camera and camera 42 the wrong drop info first, real info in the next video",41,42,26,,,Yes,Henry Evans,Yes,Molly Gerrans,,,,,,
7,C01,-33.91942167,121.9150567,2022-11-16,2022-11-16 02:47:51,2022-11-16 10:47:51,Cull Island,Eastern Recherche,Fished,,43.3,,,,,,"Demo day, big bruv",39,40,25,,,No,N/A,No,N/A,,,,,,
8,C02,-33.92719333,121.909295,2022-11-16,2022-11-16 02:56:05,2022-11-16 10:56:05,Cull Island,Eastern Recherche,Fished,,44.7,,,,,,Cull island demo drop 2,41,42,26,,,No,N/A,No,N/A,,,,,,
Small bruv 2,C03,-33.92767333,121.907935,2022-11-16,2022-11-16 02:59:36,2022-11-16 10:59:36,Cull Island,Eastern Recherche,Fished,,29.8,,,,,,Demo drop at cull 1205 and 1207,1205,1207,,,,No,N/A,No,N/A,,,,,,
Small bruv 1,C04,-33.92776667,121.90446,2022-11-16,2022-11-16 03:04:32,2022-11-16 11:04:32,Cull Island,Eastern Recherche,Fished,,45.4,,,,,,Cull island demo day drop 4. Small bruv,1201,1202,,,,No,N/A,No,N/A,,,,,,
