Dot Point Measurements

Generated: Wednesday 12 July 2023 09:13:24

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		652	2487													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						39.8
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		890	3187													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						60.3
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		536	2428													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						43.2
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		979	2378													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						24.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		869	3402													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						70.5
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		763	3827													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						91.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		544	3706													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						90.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		696	2189													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						31.8
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		960	2971													20221209-1	Br106					Bryozoa > Soft	Foliaceous							49.3
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		614	2122													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						35.1
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		962	3790													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						87.5
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		828	2763													20221209-1	Br106					Bryozoa > Hard	Branching							43.3
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		536	2844													20221209-1	Br106					Bryozoa > Soft	Foliaceous							55.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		953	2639													20221209-1	Br106					Macroalgae > Erect fine branching	Red							34.9
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		668	2956													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						55.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		1049	3259													20221209-1	Br106					Bryozoa > Hard	Branching							61.4
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		662	3747													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						89.7
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		815	2107													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						25.3
20221209-1_Br106_01_20221209_TOP_1_0004_0001.mp4_0044809.jpg	      0		710	2314													20221209-1	Br106					Substrate > Unconsolidated (soft)	Sand / mud (<2mm)	Coarse sand (with shell fragments)						33.2
