System.number,Sample,Latitude,Longitude,Date,Time,Local.time,Site,Location,Status,Zone,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Habitat.length.complete.date,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Backwards.habitat.image.saved,Backwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
,Br103,-34.3329624028696,119.817516137129,2022-12-08,2022-12-08 07:30:25,2022-12-08 15:30:25,Bremer,South-west Corner,No-take,National Park Zone,62,,,,Kat,2023-01-27,"First drop of the day, synced with lights, showed camera board with large ID so might be hard to read properly on the two cameras facing down on the tipper",,CON1,Yes,Molly,,,,,,,,
,Br167,-34.3388287573362,119.800987310174,2022-12-08,2022-12-08 07:43:33,2022-12-08 15:43:33,Bremer,South-west Corner,No-take,National Park Zone,63,,,,Kat,2023-01-27,,,CON1,Yes,Molly,,,,,,,,
,Br29,-34.3465343030579,119.767815843312,2022-12-08,2022-12-08 08:02:03,2022-12-08 16:02:03,Bremer,South-west Corner,No-take,National Park Zone,63,,,,Kat,2023-01-27,,,CON1,Yes,Molly,,,,,,,,
,Br158,-34.3378428001911,119.729944835549,2022-12-08,2022-12-08 08:21:17,2022-12-08 16:21:17,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),64,,,,Kat,2023-01-27,,,CON1,Yes,Molly,,,,,,,,
,Br94,-34.3476744436718,119.690210194575,2022-12-08,2022-12-08 08:42:22,2022-12-08 16:42:22,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),62,,,,Kat,2023-01-27,,,CON1,Yes,Molly,,,,,,,,
,Br72,-34.3251449708359,119.741017574844,2022-12-09,2022-12-08 22:19:03,2022-12-09 06:19:03,Bremer,South-west Corner,No-take,National Park Zone,60,,,,,,"Synced, first drop of the day",,CON1,,,,,,,,,,
,Br10,-34.313884114864,119.70424255305,2022-12-09,2022-12-08 22:38:15,2022-12-09 06:38:15,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),58,,,,,,,,CON1,,,,,,,,,,
,Br136,-34.310604427639,119.730348360571,2022-12-09,2022-12-08 23:01:55,2022-12-09 07:01:55,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),60,,,,,,Location of pick up used as location of drop due to bad elf stopped working when putting BOSS in,,CON1,,,,,,,,,,
,Br106,-34.3022179671584,119.722070329532,2022-12-09,2022-12-08 23:07:47,2022-12-09 07:07:47,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),59,,,,,,,,CON1,,,,,,,,,,
,Br60,-34.293258164326,119.681422591497,2022-12-09,2022-12-08 23:34:34,2022-12-09 07:34:34,Bremer,South-west Corner,Fished,Special Purpose Zone (Mining Exclusion),55,,,,,,May have shown camera the board twice before drop,,CON1,,,,,,,,,,
