Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,C1,C2,C3,C4,AMC,FOV,Relief,,Radius %
Z_1.jpg,Z_1,,918,360,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,72.7
Z_1.jpg,Z_1,,767,95,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,86.9
Z_1.jpg,Z_1,,583,660,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,66.7
Z_1.jpg,Z_1,,735,2,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,91.5
Z_1.jpg,Z_1,,981,1760,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,18.8
Z_1.jpg,Z_1,,967,897,,,Z_1,Z_1,,,,,,,,,Matrix > Bryozoa / Cnidaria Matrix,,,,Unidentifiable,Limited,,64e14508-e2ce-453a-b284-1d6c04ff5df0,48.1
Z_1.jpg,Z_1,,930,1089,,,Z_1,Z_1,,,,,,,,,Matrix > Bryozoa / Cnidaria Matrix,,,,Unidentifiable,Limited,,64e14508-e2ce-453a-b284-1d6c04ff5df0,40.8
Z_1.jpg,Z_1,,954,259,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,76.9
Z_1.jpg,Z_1,,917,599,,,Z_1,Z_1,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,62.1
Z_1.jpg,Z_1,,561,1809,,,Z_1,Z_1,,,,,,,,,Matrix > Bryozoa / Cnidaria Matrix,,,,Unidentifiable,Limited,,64e14508-e2ce-453a-b284-1d6c04ff5df0,38.3
