Period,Date,Time,Location,Depth,Site,Status,IUCN,Latitude,Longitude,Camera.model,Primary.contact,Secondary.contact,Funder,Grant no. ,Observer,Successful.count,Successful.length,Ecosystem
Z_1,20220510,13:46,Zeehan AMP,137,Z_1,Fished,IUCN VI,-39.806933,143.20911,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_2,20220512,8:21,Zeehan AMP,113,Z_2,Fished,IUCN VI,-39.851722,143.25981,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_3,20220508,15:13,Zeehan AMP,102,Z_3,Fished,IUCN VI,-39.80112,143.50556,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_4,20220511,16:24,Zeehan AMP,137,Z_4,Fished,IUCN VI,-39.876136,143.21289,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_5,20220512,13:54,Zeehan AMP,198,Z_5,Fished,IUCN VI,-39.946082,143.23946,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_6,20220508,10:56,Zeehan AMP,97,Z_6,Fished,IUCN VI,-39.81975,143.55017,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_7,20220513,7:46,Zeehan AMP,109,Z_7,Fished,IUCN VI,-39.883486,143.3066,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_8,20220509,8:05,Zeehan AMP,102,Z_8,Fished,IUCN VI,-39.842437,143.44551,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_9,20220509,14:42,Zeehan AMP,103,Z_9,Fished,IUCN VI,-39.936684,143.37979,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_10,20220506,10:14,Zeehan AMP,100,Z_10,Fished,IUCN VI,-39.807236,143.59914,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_11,20220511,15:45,Zeehan AMP,164,Z_11,Fished,IUCN VI,-39.865867,143.19359,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_12,20220510,10:43,Zeehan AMP,112,Z_12,Fished,IUCN VI,-39.790254,143.25848,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_13,20220505,8:11,Zeehan AMP,107,Z_13,Fished,IUCN VI,-39.903678,143.6477,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_14,20220512,15:24,Zeehan AMP,119,Z_14,Fished,IUCN VI,-39.91149,143.26708,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_15,20220508,13:11,Zeehan AMP,101,Z_15,Fished,IUCN VI,-39.878399,143.52349,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_16,20220513,12:54,Zeehan AMP,107,Z_16,Fished,IUCN VI,-39.94352,143.32233,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_17,20220512,17:16,Zeehan AMP,109,Z_17,Fished,IUCN VI,-39.877816,143.29545,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_18,20220509,12:01,Zeehan AMP,104,Z_18,Fished,IUCN VI,-39.901763,143.4387,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_19,20220511,9:52,Zeehan AMP,102,Z_19,Fished,IUCN VI,-39.864153,143.36456,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_20,20220506,9:39,Zeehan AMP,99,Z_20,Fished,IUCN VI,-39.829426,143.56966,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
Z_21,20220511,13:05,Zeehan AMP,117,Z_21,Fished,IUCN VI,-39.838487,143.23494,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_22,20220510,9:53,Zeehan AMP,107,Z_22,Fished,IUCN VI,-39.793693,143.32087,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_23,20220509,15:24,Zeehan AMP,104,Z_23,Fished,IUCN VI,-39.924996,143.37467,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_24,20220510,14:12,Zeehan AMP,125,Z_24,Fished,IUCN VI,-39.803717,143.22925,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_25,20220513,11:25,Zeehan AMP,117,Z_25,Fished,IUCN VI,-39.935055,143.28288,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_26,20220508,16:27,Zeehan AMP,103,Z_26,Fished,IUCN VI,-39.804417,143.45693,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_27,20220511,14:37,Zeehan AMP,172,Z_27,Fished,IUCN VI,-39.825616,143.19383,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_28,20220508,13:53,Zeehan AMP,102,Z_28,Fished,IUCN VI,-39.854609,143.49618,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Rariphotic shelf reefs
Z_29,20220513,14:02,Zeehan AMP,104,Z_29,Fished,IUCN VI,-39.921046,143.34072,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,AB,Y,Y,Mixed Rariphotic shelf reefs & Shelf unvegetated sediments
Z_30,20220508,17:15,Zeehan AMP,106,Z_30,Fished,IUCN VI,-39.811285,143.42247,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_31,20220508,11:37,Zeehan AMP,100,Z_31,Fished,IUCN VI,-39.838482,143.53497,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,LV,Y,Y,Shelf unvegetated sediments
Z_32,20220504,15:19,Zeehan AMP,102,Z_32,Fished,IUCN VI,-39.932182,143.63672,GoPro Hero10,neville.barrett@utas.edu.au,jacquomo.monk@utas.edu.au,Parks Australia,DMP-MPA-2122-038,TD,Y,Y,Shelf unvegetated sediments
