Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Exclude,Deployment.notes,Waypoint,Representative Video,Observer,Habitat.image.forward,Analysis.notes
M_229,28/04/2023,1437,1448,-54,Murray AMP,,VI,-36.1287,138.557,,drop 1 day 1,1,Yes,Justin Hulls,Yes,
M_40,28/04/2023,1506,1515,-54,Murray AMP,,VI,-36.1415,138.574,,"E side stopped to check BOSS, synced before drop",2,Yes,Justin Hulls,Yes,
M_126,28/04/2023,1523,1532,-54,Murray AMP,,VI,-36.1497,138.567,,,3,Yes,Justin Hulls,Yes,
M_191,28/04/2023,1555,1605,-57,Murray AMP,,VI,-36.1772,138.539,,,4,Yes,Justin Hulls,Yes,
M_160,28/04/2023,1707,1717,-56,Murray AMP,,VI,-36.2184,138.498,,synced before this drop,5,Yes,Justin Hulls,Yes,
M_53,28/04/2023,1743,1753,-58,Murray AMP,,VI,-36.2457,138.473,,last drop day 1,6,Yes,Justin Hulls,Yes,
M_117,29/04/2023,727,742,-111,Murray AMP,,VI,-36.9716,137.799,,    ,7,Yes,Justin Hulls,Yes,
M_246,29/04/2023,755,806,-107,Murray AMP,,VI,-36.9553,137.815,,"1259 (N/T) stopped before this drop, resynced",8,Yes,Justin Hulls,Yes,
M_153,29/04/2023,830,840,-91,Murray AMP,,VI,-36.938,137.871,,,9,Yes,Justin Hulls,Yes,
M_86,29/04/2023,900,911,-83,Murray AMP,,VI,-36.9132,137.903,,,10,Yes,Justin Hulls,Yes,
M_1,29/04/2023,920,921,-81,Murray AMP,,VI,-36.9025,137.909,,,11,Yes,Justin Hulls,Yes,
M_71,29/04/2023,955,1007,-76,Murray AMP,,VI,-36.8643,137.948,,resyned before this drop,12,Yes,Justin Hulls,Yes,
M_197,29/04/2023,1030,1042,-75,Murray AMP,,VI,-36.8491,137.917,,,13,Yes,Justin Hulls,Yes,
M_168,29/04/2023,1100,1114,-69,Murray AMP,,VI,-36.8142,137.929,,,14,Yes,Justin Hulls,Yes,
M_102,29/04/2023,1132,1145,-66,Murray AMP,,VI,-36.7867,137.964,,,15,Yes,Justin Hulls,Yes,
M_11,29/04/2023,1205,1216,-63,Murray AMP,,VI,-36.7721,138.017,,,16,Yes,Justin Hulls,Yes,
M_138,29/04/2023,1255,1306,-62,Murray AMP,,VI,-36.753,138.033,,cameras stopped and resynced before this drop,17,Yes,Justin Hulls,Yes,
M_227,29/04/2023,1326,1338,-62,Murray AMP,,VI,-36.7408,137.992,,,18,Yes,Justin Hulls,Yes,
M_49,29/04/2023,1400,1411,-64,Murray AMP,,VI,-36.7103,138.037,,jac took over the line,19,Yes,Justin Hulls,Yes,
M_240,29/04/2023,1430,1441,-65,Murray AMP,,VI,-36.7169,138.091,,,20,Yes,Justin Hulls,Yes,
M_131,29/04/2023,1515,1526,-66,Murray AMP,,VI,-36.6814,138.125,,,21,Yes,Justin Hulls,Yes,
M_259,29/04/2023,1540,1550,-67,Murray AMP,,VI,-36.6658,138.112,,,22,Yes,Justin Hulls,Yes,
M_176,29/04/2023,1619,1629,-67,Murray AMP,,VI,-36.6343,138.097,,resynced before this drop,23,Yes,Justin Hulls,Yes,
M_109,29/04/2023,1654,1705,-67,Murray AMP,,VI,-36.6038,138.142,,,24,Yes,Justin Hulls,Yes,
M_233,29/04/2023,1718,1728,-66,Murray AMP,,VI,-36.5847,138.161,,last drop day 2,25,Yes,Justin Hulls,Yes,
M_77,30/04/2023,707,720,-169,Murray AMP,,VI,-37.0325,137.812,,drop 1 day 3,26,Yes,Justin Hulls,Yes,
M_105,30/04/2023,752,806,-117,Murray AMP,,VI,-36.9916,137.853,,"1276 (S/T) stopped before this drop, resynced",27,Yes,Justin Hulls,Yes,
