"campaignid","sample"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW05_2011"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_75_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_76_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_77_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_78_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_80_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_81_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_83_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_85_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_88_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_90_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_94_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKC_95_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_44_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_46_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_48_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_50_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_51_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKE_52_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKN_24_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKN_25_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKN_26_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKN_27_2205"
