Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Exclude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Analysis.notes
INV-DC_101,25/11/2022,459,506,47,Investigator MBH,,,121.1817837,-33.9068775,,"wait for second clapper sync, the wait for 3 clapper for drop number, not in qgis map",1,,,,,,,,,,,,,,,,
INV-DC-071,25/11/2022,518,525,56,Investigator MBH,,,121.1584054,-33.9164978,,wrong clapper after this one,2,,,,,,,,,,,,,,,,
INV-DC-013,25/11/2022,544,550,52,Investigator MBH,,,121.1206892,-33.90787547,,wrong clapper number after,3,,,,,,,,,,,,,,,,
INV-DC-102,25/11/2022,557,604,28,Investigator MBH,,,121.1163692,-33.9101194,,,4,,,,,,,,,,,,,,,,
INV-DC-089,25/11/2022,613,,54,Investigator MBH,,,121.1042357,-33.9166428,,need to adjust lat/long to match ones in this document,5,,,,,,,,,,,,,,,,
INV-DC-047,25/11/2022,633,640,59,Investigator MBH,,,121.1100205,-33.9419878,,,6,,,,,,,,,,,,,,,,
INV-DC-073,25/11/2022,700,706,62,Investigator MBH,,,121.0715378,-33.96561855,,wrong clapper number before this one,7,,,,,,,,,,,,,,,,
INV-DC-103,25/11/2022,716,,49,Investigator MBH,,,121.0903359,-33.9742675,,,8,,,,,,,,,,,,,,,,
INV-DC-023,25/11/2022,730,737,70,Investigator MBH,,,121.0884194,-33.98592532,,,9,,,,,,,,,,,,,,,,
INV-DC-104,25/11/2022,747,754,72,Investigator MBH,,,121.1152255,-33.9826518,,re sync before this drop,10,,,,,,,,,,,,,,,,
INV-DC-097,25/11/2022,805,812,72,Investigator MBH,,,121.1386333,-33.9983176,,,11,,,,,,,,,,,,,,,,
INV-DC-003,25/11/2022,819,825,70,Investigator MBH,,,121.1405197,-34.00924946,,,12,,,,,,,,,,,,,,,,
INV-DC-039,25/11/2022,833,839,71,Investigator MBH,,,121.1523403,-34.01834259,,,13,,,,,,,,,,,,,,,,
INV-DC-105,25/11/2022,852,859,73,Investigator MBH,,,121.1449533,-34.0371121,,,14,,,,,,,,,,,,,,,,
INV-DC-079,25/11/2022,917,,73,Investigator MBH,,,121.1054529,-34.05741768,,,15,,,,,,,,,,,,,,,,
INV-DC-106,25/11/2022,935,943,72,Investigator MBH,,,121.094686,-34.0697036,,,16,,,,,,,,,,,,,,,,
INV-DC-031,25/11/2022,953,1001,77,Investigator MBH,,,121.1220371,-34.08038455,,,17,,,,,,,,,,,,,,,,
INV-DC-087,25/11/2022,1014,1020,82,Investigator MBH,,,121.161447,-34.07567421,,,18,,,,,,,,,,,,,,,,
INV-DC-043,25/11/2022,1046,1055,84,Investigator MBH,,,121.1065876,-34.10060758,,,19,,,,,,,,,,,,,,,,
INV-DC-098,25/11/2022,1113,1120,85,Investigator MBH,,,121.1603834,-34.11059585,,resynced after this one,20,,,,,,,,,,,,,,,,
INV-DC-048,25/11/2022,1144,,82,Investigator MBH,,,121.1230808,-34.15048791,,,21,,,,,,,,,,,,,,,,
INV-DC-032,25/11/2022,1219,1227,76.5,Investigator MBH,,,121.1549674,-34.20706117,,wrong clapper number before this drop,22,,,,,,,,,,,,,,,,
INV-DC-074,25/11/2022,1248,1255,79,Investigator MBH,,,121.1058788,-34.21094501,,"re sync, 17 not working, not sure for how long",23,,,,,,,,,,,,,,,,
INV-DC-055,25/11/2022,1315,1322,73,Investigator MBH,,,121.1584159,-34.23158778,,,24,,,,,,,,,,,,,,,,
INV-DC-080,25/11/2022,1342,,75,Investigator MBH,,,121.1198374,-34.25521472,,,25,,,,,,,,,,,,,,,,
INV-DC-107,25/11/2022,1356,1401,74,Investigator MBH,,,121.1201451,-34.2609627,,says 106 on clapper,26,,,,,,,,,,,,,,,,
INV-DC-008,25/11/2022,1427,1435,84,Investigator MBH,,,121.0997343,-34.31271875,,,27,,,,,,,,,,,,,,,,
INV-DC-064,25/11/2022,1445,1453,82,Investigator MBH,,,121.1218716,-34.31730042,,,28,,,,,,,,,,,,,,,,
INV-DC-014,25/11/2022,1503,1512,85,Investigator MBH,,,121.1160166,-34.33833408,,,29,,,,,,,,,,,,,,,,
INV-DC-090,25/11/2022,1527,,83,Investigator MBH,,,121.1567735,-34.34987885,,lights went out on 3 sides,30,,,,,,,,,,,,,,,,
INV-DC-100,25/11/2022,1554,1601,88,Investigator MBH,,,121.1380763,-34.36981862,,,31,,,,,,,,,,,,,,,,
INV-DC-075,25/11/2022,1624,1631,85,Investigator MBH,,,121.1289313,-34.4174767,,,32,,,,,,,,,,,,,,,,
INV-DC-036,25/11/2022,1645,1653,81,Investigator MBH,,,121.1388142,-34.44253888,,,33,,,,,,,,,,,,,,,,
INV-DC-084,25/11/2022,1721,1730,111,Investigator MBH,,,121.1640328,-34.5011782,,,33,,,,,,,,,,,,,,,,
INV-DC-009,25/11/2022,1749,1757,98,Investigator MBH,,,121.113904,-34.48615696,,final drop day 1 (VIRTUALLY ALL CAMERA STOPPED FOR THIS DROP),35,,,,,,,,,,,,,,,,
INV-DC-059,26/11/2022,542,550,87,Investigator MBH,,,121.0998108,-34.46881248,,first drop day 2,36,,,,,,,,,,,,,,,,
INV-DC-052,26/11/2022,604,612,84,Investigator MBH,,,121.076094,-34.45064638,,,37,,,,,,,,,,,,,,,,
INV-DC-108,26/11/2022,625,632,86,Investigator MBH,,,121.0517939,-34.46514341,,"says 2 on clapper, will say 2 again for the next drop",38,,,,,,,,,,,,,,,,
