"campaignid","sample"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","NC05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SC05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SW05_2011"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","O"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","MMU_I13"
