"campaignid","sample"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKWI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKWI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKWI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKWI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKWI05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKCI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKCI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKCI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKCI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKCI05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKCI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKCI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKCI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKCI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKCI05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKEI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKEI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKEI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKEI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","CKEI05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKEI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKEI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKEI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKEI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKEI05_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKWI01_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKWI02_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKWI03_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKWI04_2011"
"202011-202011_SA Commonwealth Marine Park Monitoring_StereoBRUVS","WKWI05_2011"
"2021-04_Tasman_Fracture_CMR_stereoBRUVs","78"
"2021-04_Tasman_Fracture_CMR_stereoBRUVs","130"
"202107_Huon_AMP_stereo_BRUV","11_5"
"202107_Huon_AMP_stereo_BRUV","14_6"
"202107_Huon_AMP_stereo_BRUV","18_2"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO09_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO01_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO05_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO03_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO02_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO04_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO07_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO08_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO10_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO13_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO12_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO11_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO14_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO18_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO19_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO21_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO17_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKWO15_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO62_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO63_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO64_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO65_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO67_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO68_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO66_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO71_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO73_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO74_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO70_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO69_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO72_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO84_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO87_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO86_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO82_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKSO79_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO78_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO95_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO75_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO76_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO77_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO80_2205"
"202111-202205_SA Commonwealth Marine Park Monitoring_StereoBRUVS","SKCO81_2205"
