CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6_L7	AMC	FieldOfView	Relief	uuid
Ascidians				Unidentifiable	*	*	e786b999-7f40-4cd4-a431-85564dc498b6
Ascidians > Stalked				Unidentifiable	*	*	8d346533-e63d-43e6-a48b-5f98b347f94c
Ascidians > Stalked	Solitary			Unidentifiable	*	*	c5688a05-bbb6-4a3b-a2b3-ee7a906be89f
Ascidians > Stalked	Colonial			Ascidian Stalked Purple Pyura Like	*	*	4297ea36-de28-4d89-8c5e-a32044f0f53c
Ascidians > Stalked	Colonial			Ascidian Stalked Yellow Thorny Pyura like	*	*	c72a4ebf-8f43-4ec5-b10c-8833977f2879
Ascidians > Stalked	Colonial			Ascidian Colonial Yellow Fingers	*	*	5a19d554-105e-4c8c-9a4f-0a7b08cb480f
Ascidians > Stalked	Colonial			Small white stalked Scyozoa like	*	*	3309fa40-eac9-4005-aa27-559ef844b4f4
Ascidians > Stalked	Colonial			Unidentifiable	*	*	0ceecb87-bfeb-42b7-8434-6ba19f242aa9
Ascidians > Unstalked				Unidentifiable	*	*	bf6f5f57-9417-46e2-a5ac-25330a59a538
Ascidians > Unstalked	Solitary			Unidentifiable	*	*	ca5ff6c8-c188-4ca6-b0c4-bf0912af3288
Ascidians > Unstalked	Solitary			Ascidian Red Throated	*	*	a16ca0d6-f068-4b35-9ef9-af83d6543924
Ascidians > Unstalked	Solitary			Ascidian Solitary 5	*	*	17aeccfb-5e4a-4c72-a59c-9025819a0cfb
Ascidians > Unstalked	Solitary			Ascidian Solitary Grey	*	*	44096ca4-fe3f-47a9-8d66-e89f91506aa1
Ascidians > Unstalked	Solitary			Ascidian Solitary Orange-Yellow	*	*	8a9990eb-edf6-41e0-8e08-82505149ef2d
Ascidians > Unstalked	Solitary			Ascidian Solitary Yellow	*	*	a36e89bd-e5d5-4efd-b282-85933f174b50
Ascidians > Unstalked	Solitary			Herdmania momus	*	*	945546da-60ef-4ee4-8802-10feec09ef33
Ascidians > Unstalked	Solitary			Phallusia obesa (Caab 35002025)	*	*	22110766-b753-4323-a602-06108df26585
Ascidians > Unstalked	Solitary			Ascidian Unknown Solitary	*	*	701621cd-b374-4fc7-8ad7-cdf2010b8cb5
Ascidians > Unstalked	Colonial			Unidentifiable	*	*	06b9b6a9-f223-4aad-bd41-37d4db3e5e7f
Ascidians > Unstalked	Colonial			Ascidian apricot colonial	*	*	ed73c07c-a9d1-44f5-aba5-18631bcbbd8f
Ascidians > Unstalked	Colonial			Ascidian Clavelina Bluebells	*	*	6e00ad4b-684d-43c3-94d1-63f4c7b52535
Ascidians > Unstalked	Colonial			Ascidian Clavelina Like (Blue)	*	*	269745f3-1783-4fce-b608-6efcf24c45c3
Ascidians > Unstalked	Colonial			Ascidian Clavelina Like (White)	*	*	8c375447-cee5-418a-92fa-063c752fa5f2
Ascidians > Unstalked	Colonial			Ascidian Colonial Purple	*	*	72e4eb01-85cd-4fef-81ba-291823861bb8
Ascidians > Unstalked	Colonial			Ascidian Colonial Red	*	*	902f2f25-5fad-4681-8022-35271c41f308
Ascidians > Unstalked	Colonial			Ascidian Colonial Yellow	*	*	b1224b13-b128-48f8-8502-7c8c889da49e
Ascidians > Unstalked	Colonial			Ascidian white translucent colonial	*	*	9d2e2a2c-6644-4c15-b530-db10dea944af
Ascidians > Unstalked	Colonial			Ascidian Orange	*	*	19fff66c-f09e-409a-a4b8-1e8456e34986
Ascidians > Unstalked	Colonial			Ascidian Sycozoa Like	*	*	5530f4f0-841b-49a1-9ad9-911125979ce3
Ascidians > Unstalked	Colonial			Ascidian Colonial Encrusting Purple	*	*	6d17c4bc-e341-4ae6-b4b6-dfd1dcbdf600
Bacterial mats > Cyanobacteria				Unidentifiable	*	*	ec05133d-4d36-4f8f-9481-65b6781a0d62
Bacterial mats > Other				Unidentifiable	*	*	954bbb23-7dc3-4893-8b86-683a04977b40
Bacterial mats				Unidentifiable	*	*	b0b2a769-dda4-4cbe-854d-1088a261313a
Bedforms > 2D	Ripples (<10cm height)			Unidentifiable	*	*	8b52aa9f-6b48-483d-bb15-cfd0e0b04045
Bedforms > 2D	Waves (>10cm height)			Unidentifiable	*	*	f8f0be68-8462-452c-9150-cf1a6701ec48
Bedforms > 2D				Unidentifiable	*	*	ec5650a3-921b-433e-b0e0-95cdbde4c740
Bedforms > 3D	Ripples (<10cm height)			Unidentifiable	*	*	f9f606b9-0ac3-4d82-a982-0b3ffb0f5560
Bedforms > 3D	Waves (>10cm height)			Unidentifiable	*	*	f06f37e8-7134-4e8f-90b3-597bbb66b32e
Bedforms > 3D				Unidentifiable	*	*	281f74fa-8abb-4a6e-bfe7-4afe3e81ef75
Bedforms > Bioturbated				Unidentifiable	*	*	309a7e62-80bc-422b-a31e-f2393fb01d33
Bedforms > None				Unidentifiable	*	*	50ac6872-8ed5-40fe-809d-dc31da88a11f
Bedforms				Unidentifiable	*	*	68307b13-c69b-4fbe-95fb-6bb4c165a299
Bioturbation > Crawling traces	Complex trail			Unidentifiable	*	*	a0c16895-3f3c-4262-b4df-5e460450912d
Bioturbation > Crawling traces	Crater row			Unidentifiable	*	*	f61b2e78-b1e5-4f47-bb2d-61af99c88571
Bioturbation > Crawling traces	Disturbed trace			Unidentifiable	*	*	81413b2c-8d3e-4ba1-947a-3bb436abae40
Bioturbation > Crawling traces	Mounded trail			Unidentifiable	*	*	6c5f3141-80e3-4df7-a9e2-d78f83faa81e
Bioturbation > Crawling traces	Perforated trail			Unidentifiable	*	*	6f6546c4-e926-4ec8-a850-5026d1167c93
Bioturbation > Crawling traces	Thick trail			Unidentifiable	*	*	b44eb9af-bbf5-4a02-8dbb-c38b5ac79412
Bioturbation > Crawling traces	Thin trail			Unidentifiable	*	*	5ebae079-4c2b-4f25-9da0-57dd7c09ff89
Bioturbation > Crawling traces				Unidentifiable	*	*	1e11a48a-ed3a-42ae-af38-00e512642f38
Bioturbation > Dwelling traces	Burrow cluster			Unidentifiable	*	*	70ce4c71-cd51-43c6-9d51-e2ac0b6f661a
Bioturbation > Dwelling traces	Crater cone			Unidentifiable	*	*	6a21ed9b-27da-4b4d-afa8-5fb31615d741
Bioturbation > Dwelling traces	Elongate depression			Unidentifiable	*	*	c7ef6823-3815-4997-8062-03361f42cfce
Bioturbation > Dwelling traces	Fractured mound			Unidentifiable	*	*	dd8b7a52-ee32-4ab4-ac29-71890e694d03
Bioturbation > Dwelling traces	Large mound			Unidentifiable	*	*	d4d3aa2c-69db-4232-988a-e01f43787b90
Bioturbation > Dwelling traces	Oblique burrow			Unidentifiable	*	*	b5e9cc3f-2f61-49b4-9df4-0fe5429deb4f
Bioturbation > Dwelling traces	Paired burrow			Unidentifiable	*	*	1788986f-ab08-4af0-86f4-4f7bb9677fb3
Bioturbation > Dwelling traces	Rounded crater ring			Unidentifiable	*	*	31275d0d-32f1-461c-bd6a-4c2d43ab1e99
Bioturbation > Dwelling traces	Single burrow			Unidentifiable	*	*	97eae4fd-b934-4f34-9d8d-cfb44daa50e6
Bioturbation > Dwelling traces	Small mound			Unidentifiable	*	*	e8c3fcd7-6b2f-47b5-a759-4696c14c7b5d
Bioturbation > Dwelling traces	Spiked crater ring			Unidentifiable	*	*	93ff558b-123a-4674-abd3-0308c6370da5
Bioturbation > Dwelling traces	Spotted mound			Unidentifiable	*	*	58ea6798-d793-42ea-9fb3-c63a05e0fc7b
Bioturbation > Dwelling traces	Trapdoor burrow			Unidentifiable	*	*	a2004f52-7707-4c8b-8493-ca38ea763e19
Bioturbation > Dwelling traces	Vertical burrow			Unidentifiable	*	*	e7239f56-d6b3-44b9-b937-e14e3abe9ab8
Bioturbation > Dwelling traces				Unidentifiable	*	*	d909a4d2-bed0-4742-92ef-eafbc038161e
