CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Broad
Ascidians,,,Ascidians
Ascidians > Stalked,,,Ascidians
Ascidians > Stalked,Solitary,,Ascidians
Ascidians > Stalked,Colonial,,Ascidians
Ascidians > Unstalked,,,Ascidians
Ascidians > Unstalked,Solitary,,Ascidians
Ascidians > Unstalked,Colonial,,Ascidians
Bacterial mats > Cyanobacteria,,,Bacterial mats
Bacterial mats > Other,,,Bacterial mats
Bacterial mats,,,Bacterial mats
Bedforms > 2D,Waves (>10cm height),,Unconsolidated
Bedforms > 3D,Ripples (<10cm height),,Unconsolidated
Bedforms > 3D,Waves (>10cm height),,Unconsolidated
Bedforms > 2D,Ripples (<10cm height),,Unconsolidated
Bedforms > 2D,,,Unconsolidated
Bedforms > 3D,,,Unconsolidated
Bedforms > Bioturbated,,,Unconsolidated
Bioturbation,,,Unconsolidated
Bioturbation > Unknown origin,,,Unconsolidated
Bioturbation > Crawling traces,Thin trail,,Unconsolidated
Bioturbation > Resting traces,Large depression,,Unconsolidated
Bioturbation > Dwelling traces,,,Unconsolidated
Bryozoa > Hard,Branching,,Bryozoa
Bryozoa > Hard,Encrusting,,Bryozoa
Bryozoa > Hard,Fenestrate,,Bryozoa
Bryozoa > Hard,Massive,,Bryozoa
Bryozoa > Hard,,,Bryozoa
Bryozoa > Soft,Dendroid,,Bryozoa
Bryozoa > Soft,Foliaceous,,Bryozoa
Bryozoa > Soft,,,Bryozoa
Bryozoa,,,Bryozoa
Cnidaria > Colonial anemones,Corallimorphs,,Colonial anemones
Cnidaria > Colonial anemones,Zoanthids,,Zoanthids
Cnidaria > Colonial anemones,,,Colonial anemones
Cnidaria > Corals,Fan (2D),Fern-frond > Complex,Octocoral/Black
Cnidaria > Corals,Quill (seapen),,Octocoral/Black
Cnidaria > Corals,Whip,Sea Whip,Octocoral/Black
Cnidaria > Corals,Black & Octocorals,Branching (3D),Octocoral/Black
Cnidaria > Corals,Black & Octocorals,Encrusting,Octocoral/Black
Cnidaria > Corals,Black & Octocorals,Fan (2D),Octocoral/Black
Cnidaria > Corals,Black & Octocorals,Massive soft corals,Octocoral/Black
