campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-06_south-west_stereo-BRUVs,1,0,0,2,0,0,0,8,0,27,0,17,0,27,0,0,0,5,30,3.115384615,BRUV,0.325812594,MBH,-34.128599,114.930865,20200602,9:10,South-west,c1,46.7,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,2,0,0,0,0,0,0,10,0,27,1,16,0,27,0,0,0,2,35,2.95,BRUV,0.223606798,MBH,-34.125316,114.928838,20200602,9:18,South-west,c1,44.4,Yes,No,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,3,0,0,0,0,0,0,13,0,14,1,0,0,14,0,0,0,6,14,3,BRUV,0.377964473,MBH,-34.126906,114.925945,20200602,9:27,South-west,c1,39.3,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,4,0,0,11,0,0,0,0,0,11,0,0,0,37,0,26,0,2,37,0.692307692,BRUV,0.470678724,MBH,-34.122634,114.920337,20200602,9:44,South-west,c2,44.1,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,5,0,0,3,0,0,0,28,0,35,0,4,0,37,0,2,0,2,37,2.956521739,BRUV,0.474654024,MBH,-34.131497,114.915753,20200602,9:57,South-west,c3,44.1,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,6,0,0,4,0,0,0,15,0,22,0,3,0,31,0,9,0,2,38,2.782608696,BRUV,0.51843486,MBH,-34.132842,114.912405,20200602,10:06,South-west,c3,43.2,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,7,0,0,3,0,0,0,17,0,24,0,4,0,36,0,12,0,0,36,2.6,BRUV,0.763762616,MBH,-34.134771,114.910241,20200602,10:16,South-west,c3,43.9,Yes,No,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,8,0,0,16,0,0,0,11,0,38,0,11,0,38,0,0,0,2,38,3.388888889,BRUV,0.687761494,MBH,-34.129352,114.911755,20200602,13:48,South-west,c3,39.6,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,9,0,1,1,0,0,0,7,0,9,0,0,0,25,0,16,0,3,28,2.068965517,BRUV,1.131719125,MBH,-34.119541,114.916105,20200602,11:45,South-west,c2,43.8,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,10,0,1,0,0,0,0,16,0,28,1,10,0,29,0,1,0,2,34,2.458333333,BRUV,0.508977378,MBH,-34.117294,114.918685,20200602,11:51,South-west,c2,45.7,Yes,Yes,National Park Zone,NA,No-take
2020-06_south-west_stereo-BRUVs,11,0,0,6,0,0,0,11,0,25,1,7,0,27,0,2,0,2,28,1.5,BRUV,0.62972353,MBH,-34.117752,114.92306,20200602,13:55,South-west,c2,45.08,Yes,Yes,National Park Zone,NA,No-take
