"campaignid","sample","latitude","longitude","date","site","location","depth","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sea.stars","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","broad.total.points.annotated","planned.or.exploratory"
"2022-11_Investigator_stereo-BRUVs","INV-BV-70","-34.06644167","120.9385767","2022-11-03","Investigator Island","South-west Corner","64.4",0,1,0,2,10,4,8,0,0,5,0,3,33,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-36","-34.06377339","120.9386308","2022-11-03","Investigator Island","South-west Corner","49.7",0,0,1,0,0,30,0,0,0,0,0,0,31,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-62","-34.05634538","120.9663105","2022-11-03","Investigator Island","South-west Corner","66.4",0,0,0,0,0,0,0,0,0,0,0,34,34,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-58","-34.04880504","120.9512688","2022-11-03","Investigator Island","South-west Corner","60.3",0,0,0,0,0,0,0,0,0,0,0,32,32,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-07","-34.04886","120.94125","2022-11-03","Investigator Island","South-west Corner","57.7",0,10,0,0,2,5,0,0,0,3,0,13,33,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-14","-34.043595","120.9337917","2022-11-03","Investigator Island","South-west Corner","53.8",0,1,0,0,0,4,0,0,0,0,0,28,33,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-20","-34.04372603","120.9536963","2022-11-03","Investigator Island","South-west Corner","57.9",0,0,0,0,0,0,0,0,0,0,0,33,33,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-11","-34.03604","120.9485867","2022-11-03","Investigator Island","South-west Corner","45.5",0,0,0,0,3,12,2,0,0,13,0,0,30,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-05","-34.03111308","120.9263512","2022-11-03","Investigator Island","South-west Corner","58.9",0,1,0,0,0,1,0,0,0,0,0,27,29,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-28","-34.01881825","120.9464186","2022-11-03","Investigator Island","South-west Corner","51.4",0,0,0,0,0,0,0,0,0,0,0,30,30,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-03","-34.02375","120.95625","2022-11-03","Investigator Island","South-west Corner","60.7",0,6,0,0,5,0,1,0,0,7,0,7,26,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-60","-34.00636381","120.9662883","2022-11-03","Investigator Island","South-west Corner","59.1",0,7,0,0,0,0,0,0,0,4,0,17,28,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-27","-34.00131032","120.9309073","2022-11-03","Investigator Island","South-west Corner","48.8",0,3,1,0,0,12,0,0,0,0,0,16,32,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-53","-33.99632242","120.9440016","2022-11-03","Investigator Island","South-west Corner","51.7",0,3,0,0,0,3,0,0,0,0,0,22,28,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-44","-33.99618368","120.9237852","2022-11-03","Investigator Island","South-west Corner","50.2",0,1,0,0,2,10,0,0,0,2,0,15,30,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-17","-33.99125","120.90875","2022-11-03","Investigator Island","South-west Corner","50",0,1,0,0,0,6,0,0,0,1,0,27,35,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-22","-33.9763802","120.9337514","2022-11-03","Investigator Island","South-west Corner","47.3",0,2,1,0,0,19,0,0,0,0,0,9,31,"MBH"
"2022-11_Investigator_stereo-BRUVs","CP2","-33.96610615","120.9326288","2022-11-03","Investigator Island","South-west Corner","43.6",0,3,0,0,0,6,0,0,0,3,0,20,32,"Captain's pick"
"2022-11_Investigator_stereo-BRUVs","CP3","-33.96994272","120.9004951","2022-11-03","Investigator Island","South-west Corner","49.8",0,0,0,0,0,3,0,0,0,0,0,28,31,"Captain's pick"
"2022-11_Investigator_stereo-BRUVs","CP4","-33.97750151","120.9150978","2022-11-03","Investigator Island","South-west Corner","46.7",0,0,0,0,0,0,0,0,0,0,0,33,33,"Captain's pick"
"2022-11_Investigator_stereo-BRUVs","INV-BV-35","-33.9513702","120.9730724","2022-11-04","Investigator Island","South-west Corner","44.8",0,0,0,0,2,9,0,0,0,0,0,19,30,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-55","-33.94625","120.95375","2022-11-04","Investigator Island","South-west Corner","41",1,0,0,0,0,15,0,0,0,0,0,14,30,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-26","-33.9438414","120.9713517","2022-11-04","Investigator Island","South-west Corner","45.5",0,0,0,0,0,16,0,0,0,0,0,20,36,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-66","-33.92904866","120.9838657","2022-11-04","Investigator Island","South-west Corner","36.8",0,0,0,0,0,6,0,0,0,0,0,12,18,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-51","-33.92622075","120.9988784","2022-11-04","Investigator Island","South-west Corner","44.2",0,0,0,0,0,26,0,0,0,1,0,2,29,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-24","-33.92866816","121.0312282","2022-11-04","Investigator Island","South-west Corner","46.3",0,0,1,0,10,3,0,0,0,2,0,19,35,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-02","-33.92375","121.05875","2022-11-04","Investigator Island","South-west Corner","38.4",0,0,0,0,0,15,0,0,0,0,0,20,35,"MBH"
"2022-11_Investigator_stereo-BRUVs","INV-BV-48","-33.93625","121.06125","2022-11-04","Investigator Island","South-west Corner","39.7",0,0,0,1,4,23,0,0,0,3,0,0,31,"MBH"
