campaignid,sample,longitude,latitude,date,status,location,depth,inclusion.probabilities,fov,relief,broad.openwater,broad.ascidians,broad.bryozoa,broad.consolidated,broad.hydroids,broad.octocoral.black,broad.sponges,broad.unconsolidated.sand,broad.unconsolidated.bivalves,broad.unconsolidated.screwshells,broad.unconsolidated.biogenic,broad.total.points.annotated,broad.total.points.annotated.minus.openwater,planned.or.exploratory
Beagle_AMP_Stereo_BRUV,1,147.099,-39.0782,21/10/2018,Fished,Beagle AMP,56,0.01515253,Open,0,5,,1,,,,1,7,1,5,,20,15,MBH
Beagle_AMP_Stereo_BRUV,2,147.116,-39.3455,25/09/2018,IV,Beagle AMP,62,0.28683751,Open,1,5,,1,,1,,2,,6,5,,20,15,MBH
Beagle_AMP_Stereo_BRUV,3,146.971,-39.411,26/09/2018,IV,Beagle AMP,64,0.000410197,Open,1,10,,,,,,2,,,3,5,20,10,MBH
Beagle_AMP_Stereo_BRUV,4,147.129,-39.3517,25/09/2018,IV,Beagle AMP,62,0.286325669,Open,1,5,,2,,2,5,3,1,,2,,20,15,MBH
Beagle_AMP_Stereo_BRUV,6,147.503,-39.5697,22/10/2018,Fished,Beagle AMP,53,0.013960292,Open,1,5,,3,,1,,9,2,,,,20,15,MBH
Beagle_AMP_Stereo_BRUV,7,147.154,-39.3711,25/09/2018,IV,Beagle AMP,61,0.282604481,Open,3,10,,2,,2,1,5,,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,8,147.162,-39.0838,21/10/2018,Fished,Beagle AMP,58,0.01515253,Open,2,10,,1,,3,,3,2,,1,,20,10,MBH
Beagle_AMP_Stereo_BRUV,9,147.483,-39.5266,22/10/2018,Fished,Beagle AMP,55,0.015336168,Open,3,7,,1,,1,,5,4,,2,,20,13,MBH
Beagle_AMP_Stereo_BRUV,10,147.083,-39.4073,24/09/2018,IV,Beagle AMP,62,0.202572149,Open,2,,,2,,3,2,6,4,1,,2,20,20,MBH
Beagle_AMP_Stereo_BRUV,11,147.002,-39.3172,26/09/2018,IV,Beagle AMP,64,0.000236837,Open,1,10,,,,,,2,,2,3,3,20,10,MBH
Beagle_AMP_Stereo_BRUV,12,147.514,-39.4864,22/10/2018,Fished,Beagle AMP,55,0.015910152,Open,2,10,,1,,1,,7,1,,,,20,10,MBH
Beagle_AMP_Stereo_BRUV,13,147.127,-39.049,21/10/2018,Fished,Beagle AMP,57,0.01515253,Open,1,5,,1,,2,,,7,1,4,,20,15,MBH
Beagle_AMP_Stereo_BRUV,14,147.143,-39.44,24/09/2018,IV,Beagle AMP,63,0.275030221,Open,0,5,,1,,2,,1,5,2,2,2,20,15,MBH
Beagle_AMP_Stereo_BRUV,15,146.663,-39.3352,19/10/2018,IV,Beagle AMP,72,0.000423935,Open,0,5,,,,2,2,1,,,,10,20,15,MBH
