campaignid,sample,Broad: Consolidated: Rock: Turf mat,Broad: Consolidated: Rock: Veneer,Broad: Echinodermata: Ophiuroids: Brittle stars,Broad: Invertebrate Complex: Complex 1: ,Broad: Invertebrate Complex: Complex 2: ,Broad: Invertebrate Complex: Complex 3: ,Broad: Invertebrate Complex: Complex 4: ,Broad: Macroalgae: Erect fine branching: Red,Broad: Macroalgae: Large canopy-forming: Brown,Broad: Octocoral/Black: Branching (3D): ,Broad: Open Water: : ,Broad: Sponges: Crusts: Encrusting,Broad: Sponges: Erect forms: Branching,Broad: Sponges: Erect forms: Lamiar,Broad: Sponges: Erect forms: Palmate,Broad: Sponges: Hollow forms: Cups and alikes,Broad: Sponges: Large Multi Form >10cm: ,Broad: Sponges: Massive forms: Simple,Broad: Unconsolidated: Pebble / gravel (biogenic): Coquina/Shellhash,mean.relief,sd.relief,method,planned.or.exploratory,Date,Time,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Observer,Successful.count,Successful.length,Habitat.image.forward,Analysis.notes
Freycinet_202108,1_1,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3.082207001,BRUV,MBH,4/09/2021,13:54,97,Freycinet AMP,1,IV,-42.14846167,148.4930639,0.000885952,Ashlee B,Y,Y,Y,n.a
Freycinet_202108,1_2,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3.464101615,BRUV,MBH,4/09/2021,13:58,99,Freycinet AMP,1,IV,-42.15046444,148.4914165,0.000885952,Ashlee B,Y,Y,Y,n.a
Freycinet_202108,1_3,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1.8,2.683281573,BRUV,MBH,4/09/2021,13:49,106,Freycinet AMP,1,IV,-42.14732449,148.497394,0.000885952,Ashlee B,Y,Y,Y,nadda
Freycinet_202108,1_4,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3.937003937,BRUV,MBH,4/09/2021,13:04,106,Freycinet AMP,1,IV,-42.14448128,148.4944225,0.000885952,Ashlee B,Y,N,Y,"No right CAM, no measurements"
Freycinet_202108,1_5,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,3.937003937,BRUV,MBH,4/09/2021,13:45,103,Freycinet AMP,1,IV,-42.14700222,148.4944818,0.000885952,Ashlee B,Y,Y,Y,n.a
Freycinet_202108,1_6,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,4/09/2021,14:02,98,Freycinet AMP,1,IV,-42.15194614,148.4929743,0.000885952,Ashlee B,Y,Y,Y,n.a
Freycinet_202108,10_1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,28/08/2021,11:18,80,Freycinet North,10,Fished,-41.65398732,148.4598217,0.00160957,NFH,Y,Y,Y,"school of mackerels,macropterus"
Freycinet_202108,10_2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,28/08/2021,11:07,78,Freycinet North,10,Fished,-41.65888924,148.4568097,0.00160957,NFH,Y,Y,Y,seal
Freycinet_202108,10_3,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,4.472135955,BRUV,MBH,28/08/2021,11:22,82,Freycinet North,10,Fished,-41.65593162,148.462748,0.00160957,NFH,Y,Y,Y,macropterus galore
Freycinet_202108,10_4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,28/08/2021,11:11,79,Freycinet North,10,Fished,-41.65623333,148.4574667,0.00160957,NFH,Y,Y,Y,"macropterus, callathias, percoides galore (cool video)"
Freycinet_202108,10_5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,28/08/2021,11:15,78,Freycinet North,10,Fished,-41.65495169,148.4547995,0.00160957,NFH,Y,Y,Y,n.a
Freycinet_202108,10_6,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,28/08/2021,11:27,81,Freycinet North,10,Fished,-41.65867973,148.4611633,0.00160957,NFH,Y,Y,Y,"melbourne skate, gummy shark"
Freycinet_202108,11_1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,19/08/2021,15:53,76,Freycinet AMP,11,VI,-41.83265,148.45785,0.000691922,NFH,Y,Y,Y,"macropterus galore, seal"
Freycinet_202108,11_2,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,2,2,4.472135955,BRUV,MBH,19/08/2021,16:00,73,Freycinet AMP,11,VI,-41.83094175,148.4549246,0.000691922,NFH,Y,Y,Y,"cucumber fish, allporti galore"
Freycinet_202108,11_3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,19/08/2021,15:46,76,Freycinet AMP,11,VI,-41.83590757,148.4610588,0.000691922,NFH,Y,Y,Y,cucumber fish 
Freycinet_202108,11_4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,19/08/2021,15:57,74,Freycinet AMP,11,VI,-41.83294093,148.4535248,0.000691922,NFH,Y,Y,Y,n.a
Freycinet_202108,11_5,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,19/08/2021,16:05,75,Freycinet AMP,11,VI,-41.8299833,148.459479,0.000691922,NFH,Y,Y,Y,allporti galore
Freycinet_202108,11_6,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,4.472135955,BRUV,MBH,19/08/2021,15:05,75,Freycinet AMP,11,VI,-41.83488521,148.4564591,0.000691922,NFH,Y,N,Y,"No left camera - percoides, alllporti,macropterus"
