"sample","latitude","longitude","date","site","location","successful.count","depth","fov.limited","fov.open","fov.total.points.annotated","broad.kelps","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"npz6.34",-28.0563,113.549,20210511,"npz6.34","NPZ6","Y",49.1,5,75,80,0,0,0,1,0,0,8,0,41,27,77,1.73846153846154,0.44289258986107
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","NPZ6","Y",48.1,7,73,80,0,1,0,23,0,0,26,1,12,16,79,2.03125,0.25
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","NPZ6","Y",52.9,7,73,80,0,0,0,15,0,0,1,0,0,63,79,0.596774193548387,0.494549883752722
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","NPZ6","Y",53.2,6,74,80,0,0,0,5,0,0,12,0,5,57,79,1.20289855072464,0.530807103129906
"npz6.37",-28.0964,113.4639,20210511,"npz6.37","NPZ6","Y",39.2,7,73,80,0,0,0,22,0,0,26,0,0,20,68,1.95384615384615,0.21145103088313
"npz6.14",-28.0912,113.4589,20210511,"npz6.14","NPZ6","Y",25.5,5,75,80,0,0,0,17,0,0,58,0,0,1,76,2.92424242424242,0.364189555910151
"npz6.33",-28.0887,113.4437,20210511,"npz6.33","NPZ6","Y",28,5,75,80,0,0,0,0,0,0,79,0,0,0,79,3,0
"npz6.29",-28.0837,113.4589,20210511,"npz6.29","NPZ6","Y",43.1,7,73,80,0,0,0,5,0,0,7,0,0,69,81,0.923076923076923,0.268543077764787
"npz6.11",-28.0761,113.4539,20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,8,0,0,61,0,0,4,73,2.6865671641791,0.467389760908861
"npz6.13",-28.0537,113.4489,20210511,"npz6.13","NPZ6","Y",57,6,74,80,0,0,0,77,0,0,0,0,0,3,80,1,0
"npz6.26",-28.0487,113.4414,20210511,"npz6.26","NPZ6","Y",42,5,75,80,12,0,0,0,0,0,69,0,10,1,80,3,0
"npz6.20",-28.0462,113.4413,20210511,"npz6.20","NPZ6","Y",51,6,74,80,0,0,0,61,0,0,7,0,11,0,79,2.23188405797101,1.2144343579993
"npz6.6",-28.0362,113.4213,20210511,"npz6.6","NPZ6","Y",66.6,7,73,80,0,0,0,0,0,0,0,0,0,80,80,1,0
"npz6.17",-28.0587,113.3939,20210511,"npz6.17","NPZ6","Y",65.7,6,74,80,0,0,0,0,1,32,0,0,34,4,71,1.484375,0.534290435850456
"npz6.21",-28.0737,113.4014,20210511,"npz6.21","NPZ6","Y",57.4,7,73,80,0,0,0,5,0,0,1,0,0,64,70,0.893939393939394,0.682276458263925
"npz6.31",-28.0711,113.3938,20210511,"npz6.31","NPZ6","Y",81.9,6,74,80,0,0,0,56,0,0,0,0,0,24,80,1,0
"npz6.7",-28.0687,113.3812,20210511,"npz6.7","NPZ6","Y",89.5,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0.6,0.527224906178488
"npz6.15",-28.0712,113.3788,20210511,"npz6.15","NPZ6","Y",92,6,74,80,0,0,1,0,0,37,0,2,12,24,76,1.79411764705882,0.659235729573739
"npz6.25",-28.0362,113.3815,20210511,"npz6.25","NPZ6","Y",70.6,7,73,80,0,0,0,0,0,50,0,0,5,16,71,1.30508474576271,0.676049306713737
"npz6.1",-28.0459,113.3761,20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,40,75,1.52380952380952,0.644008186111638
"npz6.9",-28.0486,113.3687,20210511,"npz6.9","NPZ6","Y",101,0,80,80,0,0,0,0,0,3,0,1,1,74,79,0.88,0.520596204522531
"npz6.16",-28.0411,113.3588,20210511,"npz6.16","NPZ6","Y",123,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.23",-28.041,113.3362,20210511,"npz6.23","NPZ6","Y",151,0,80,80,0,0,0,0,0,0,0,0,0,77,77,0.0444444444444444,0.208409077139993
"npz6.12",-28.0486,113.3238,20210511,"npz6.12","NPZ6","Y",159,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.42",-28.1213,113.5639,20210513,"out6.5","NPZ6","Y",48.5,5,55,60,0,0,0,54,0,0,1,0,0,5,60,1,0
"npz6.50",-28.1211,113.5564,20210513,"out6.13","NPZ6","Y",32,5,55,60,0,0,0,2,0,0,54,0,4,0,60,3,0
"npz6.45",-28.106,113.5316,20210513,"out6.8","NPZ6","Y",50.8,5,55,60,0,0,0,2,0,0,0,0,0,58,60,1,0
"npz6.46",-28.1138,113.5215,20210513,"out6.9","NPZ6","Y",44.7,5,55,60,5,0,0,19,0,0,34,0,7,0,60,2.02222222222222,0.260147588258603
"npz6.24",-28.0836,113.5114,20210513,"npz6.24","NPZ6","Y",49.3,5,55,60,0,0,0,43,0,0,6,0,8,2,59,1.06,0.239897937482095
"npz6.18",-28.0837,113.5038,20210513,"npz6.18","NPZ6","Y",50,5,74,79,0,0,1,34,0,3,3,0,25,12,78,2,0.563436169819011
"npz6.47",-28.1185,113.4816,20210513,"out6.10","NPZ6","Y",44,5,75,80,0,0,0,35,0,0,7,0,6,32,80,1.23333333333333,0.499717434280908
"npz6.49",-28.1139,113.4764,20210513,"out6.12","NPZ6","Y",49.6,5,75,80,0,0,0,8,0,0,52,0,2,16,78,2.10169491525424,0.304841126187198
"npz6.38",-28.1187,113.4591,20210513,"out6.1","NPZ6","Y",27.8,5,75,80,0,0,0,3,0,0,76,0,0,1,80,3,0
"npz6.39",-28.1139,113.4539,20210513,"out6.2","NPZ6","Y",36.3,5,75,80,1,0,0,1,0,0,58,0,1,5,65,2.96774193548387,0.178127043949975
"npz6.40",-28.1038,113.4337,20210513,"out6.3","NPZ6","Y",48.7,5,75,80,5,0,0,30,0,0,44,0,4,1,79,2.01612903225806,0.127000127000191
"npz6.28",-28.0937,113.429,20210513,"npz6.28","NPZ6","Y",47.3,5,75,80,0,0,0,68,0,0,10,0,0,1,79,1.11666666666667,0.323731771513093
"npz6.43",-28.1064,113.4111,20210513,"out6.6","NPZ6","Y",56.2,7,73,80,0,0,0,55,0,0,4,0,3,19,81,1.71621621621622,0.80273966284766
"npz6.8",-28.0888,113.4012,20210513,"npz6.8","NPZ6","Y",73.6,5,75,80,0,0,0,0,0,49,1,0,3,27,80,1.63380281690141,1.05883273493191
"npz6.30",-28.0912,113.3989,20210513,"npz6.30","NPZ6","Y",87.9,5,75,80,0,0,0,51,0,1,0,0,0,27,79,1,0
"npz6.2",-28.0862,113.3863,20210513,"npz6.2","NPZ6","Y",92,5,75,80,0,0,1,0,2,19,0,7,44,4,77,2.88709677419355,1.1323099661019
"npz6.3",-28.0914,113.3864,20210513,"npz6.3","NPZ6","Y",95.2,5,75,80,0,0,0,0,0,11,0,0,40,4,55,2.49019607843137,0.784156847055685
"npz6.32",-28.0963,113.3837,20210513,"npz6.32","NPZ6","Y",116,5,75,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.10",-28.0798,113.3498,20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.35",-28.0417,113.2744,20210513,"npz6.35","NPZ6","Y",184,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.27",-28.0688,113.2892,20210513,"npz6.27","NPZ6","Y",186,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz6.4",-28.0769,113.2764,20210513,"npz6.4","NPZ6","Y",189,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0
"npz9.24",-27.1612,113.2072,20210514,"npz9.24","NPZ9","Y",82.1,4,75,79,0,0,0,0,0,33,0,0,9,38,80,1.33333333333333,0.475016868796284
"npz9.48",-27.1527,113.2013,20210514,"npz9.48","NPZ9","Y",84.5,5,75,80,0,0,0,1,0,44,0,1,26,1,73,2.03174603174603,0.474112208314349
"npz9.46",-27.149,113.1916,20210514,"np79.46","NPZ9","Y",83.8,5,75,80,0,0,0,0,1,33,0,1,23,22,80,1.8125,0.906326967174966
"npz9.19",-27.1465,113.2129,20210514,"npz9.19","NPZ9","Y",87,5,75,80,0,0,0,0,1,22,0,0,4,49,76,1.07547169811321,0.266678761215811
"npz9.50",-27.1444,113.2016,20210514,"npz9.50","NPZ9","Y",91.5,5,75,80,0,0,0,0,0,0,0,0,0,37,37,1,0
