"campaignid","sample","broad.ascidians","broad.bryozoa","broad.consolidated","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.total.points.annotated","broad.true.anemones","broad.unconsolidated","planned.or.exploratory","latitude","longitude","date","time","location","site","depth","broad.sea.stars"
"2020-06_south-west_stereo-BRUVs","01","0","0","2","0","0","0","8","0","0","17","0","27","0","0","MBH","-34.128599","114.930865","20200602","09:10","South-west Corner","c1","46.7","0"
"2020-06_south-west_stereo-BRUVs","02","0","0","0","0","0","0","10","0","1","16","0","27","0","0","MBH","-34.125316","114.928838","20200602","09:18","South-west Corner","c1","44.4","0"
"2020-06_south-west_stereo-BRUVs","03","0","0","0","0","0","0","13","0","1","0","0","14","0","0","MBH","-34.126906","114.925945","20200602","09:27","South-west Corner","c1","39.3","0"
"2020-06_south-west_stereo-BRUVs","04","0","0","11","0","0","0","0","0","0","0","0","37","0","26","MBH","-34.122634","114.920337","20200602","09:44","South-west Corner","c2","44.1","0"
"2020-06_south-west_stereo-BRUVs","05","0","0","3","0","0","0","28","0","0","4","0","37","0","2","MBH","-34.131497","114.915753","20200602","09:57","South-west Corner","c3","44.1","0"
"2020-06_south-west_stereo-BRUVs","06","0","0","4","0","0","0","15","0","0","3","0","31","0","9","MBH","-34.132842","114.912405","20200602","10:06","South-west Corner","c3","43.2","0"
"2020-06_south-west_stereo-BRUVs","07","0","0","3","0","0","0","17","0","0","4","0","36","0","12","MBH","-34.134771","114.910241","20200602","10:16","South-west Corner","c3","43.9","0"
"2020-06_south-west_stereo-BRUVs","08","0","0","16","0","0","0","11","0","0","11","0","38","0","0","MBH","-34.129352","114.911755","20200602","13:48","South-west Corner","c3","39.6","0"
"2020-06_south-west_stereo-BRUVs","09","0","1","1","0","0","0","7","0","0","0","0","25","0","16","MBH","-34.119541","114.916105","20200602","11:45","South-west Corner","c2","43.8","0"
"2020-06_south-west_stereo-BRUVs","10","0","1","0","0","0","0","16","0","1","10","0","29","0","1","MBH","-34.117294","114.918685","20200602","11:51","South-west Corner","c2","45.7","0"
"2020-06_south-west_stereo-BRUVs","11","0","0","6","0","0","0","11","0","1","7","0","27","0","2","MBH","-34.117752","114.92306","20200602","13:55","South-west Corner","c2","45.08","0"
"2020-06_south-west_stereo-BRUVs","12","0","0","0","0","0","0","8","0","2","5","0","15","0","0","MBH","-34.132262","114.928545","20200602","12:03","South-west Corner","c1","40.1","0"
"2020-06_south-west_stereo-BRUVs","20","0","0","16","0","0","0","7","0","0","5","0","36","0","8","MBH","-34.130219","114.820233","20200603","08:16","South-west Corner","c8","51.7","0"
"2020-06_south-west_stereo-BRUVs","21","0","0","15","0","0","0","12","0","0","2","0","31","0","2","MBH","-34.128151","114.817448","20200603","08:24","South-west Corner","c8","52.4","0"
"2020-06_south-west_stereo-BRUVs","22","0","0","5","0","0","0","19","0","0","2","0","34","0","8","MBH","-34.126271","114.819552","20200603","08:32","South-west Corner","c8","51.9","0"
"2020-06_south-west_stereo-BRUVs","23","0","0","7","0","0","1","11","0","1","10","0","32","0","2","MBH","-34.124217","114.817017","20200603","08:38","South-west Corner","c8","51.3","0"
"2020-06_south-west_stereo-BRUVs","24","0","0","8","0","0","0","9","0","0","4","0","25","0","4","MBH","-34.118739","114.826402","20200603","08:47","South-west Corner","c7","49.8","0"
"2020-06_south-west_stereo-BRUVs","25","0","0","6","0","0","0","12","0","0","4","0","23","0","1","MBH","-34.116829","114.828432","20200603","08:54","South-west Corner","c7","48.4","0"
"2020-06_south-west_stereo-BRUVs","26","0","2","11","0","0","0","13","0","0","5","0","37","0","6","MBH","-34.120881","114.828907","20200603","09:02","South-west Corner","c7","48.4","0"
"2020-06_south-west_stereo-BRUVs","27","0","0","15","0","0","0","5","0","0","3","0","39","0","16","MBH","-34.121824","114.832898","20200603","10:19","South-west Corner","c7","47.8","0"
"2020-06_south-west_stereo-BRUVs","28","0","0","1","0","0","0","32","0","0","3","0","38","0","2","MBH","-34.112916","114.852137","20200603","10:27","South-west Corner","c6","44.7","0"
"2020-06_south-west_stereo-BRUVs","29","0","0","2","0","0","0","18","0","0","1","0","26","0","5","MBH","-34.111084","114.855648","20200603","10:31","South-west Corner","c6","43","0"
"2020-06_south-west_stereo-BRUVs","30","0","0","1","0","0","0","23","0","1","4","0","30","0","1","MBH","-34.112094","114.85946","20200603","10:37","South-west Corner","c6","42.9","0"
"2020-06_south-west_stereo-BRUVs","31","0","0","13","0","0","0","5","0","0","0","0","36","0","18","MBH","-34.116007","114.860738","20200603","10:42","South-west Corner","c6","44.4","0"
"2020-06_south-west_stereo-BRUVs","32","0","0","2","0","0","0","26","0","0","0","0","32","0","4","MBH","-34.130076","114.86109","20200603","10:49","South-west Corner","c5","43.2","0"
"2020-06_south-west_stereo-BRUVs","33","0","0","9","0","0","0","9","0","1","0","0","34","0","15","MBH","-34.133067","114.8627","20200603","10:54","South-west Corner","c5","43.6","0"
"2020-06_south-west_stereo-BRUVs","34","0","0","19","0","0","0","9","0","0","0","0","36","0","8","MBH","-34.131334","114.866053","20200603","12:18","South-west Corner","c5","42.7","0"
"2020-06_south-west_stereo-BRUVs","35","0","1","6","0","0","0","15","0","0","3","0","29","0","4","MBH","-34.134801","114.869348","20200603","12:23","South-west Corner","c5","43.8","0"
"2020-06_south-west_stereo-BRUVs","36","0","0","7","0","0","0","6","0","0","0","0","36","0","23","MBH","-34.130484","114.878263","20200603","12:29","South-west Corner","c4","42.2","0"
"2020-06_south-west_stereo-BRUVs","37","0","0","2","0","0","0","17","0","1","2","0","30","0","8","MBH","-34.126354","114.878937","20200603","12:34","South-west Corner","c4","41.2","0"
"2020-06_south-west_stereo-BRUVs","38","0","0","3","0","0","0","13","0","0","0","0","31","0","15","MBH","-34.127912","114.883938","20200603","12:39","South-west Corner","c4","41.8","0"
"2020-06_south-west_stereo-BRUVs","39","0","0","5","0","0","0","16","0","2","0","0","32","0","9","MBH","-34.132294","114.884797","20200603","12:42","South-west Corner","c4","42.2","0"
"2020-06_south-west_stereo-BRUVs","40","0","1","4","0","0","0","21","0","2","5","0","35","0","2","MBH","-34.133669","114.880443","20200603","12:46","South-west Corner","c4","41.2","0"
"2020-10_south-west_stereo-BRUVs","FH10","0","0","12","0","0","0","13","0","5","1","0","32","0","1","MBH","-33.98618897","114.8863721","20201013","12:32:00","South-west Corner","C.FH.24","42.9","0"
"2020-10_south-west_stereo-BRUVs","FH102","0","0","0","0","0","0","0","0","0","0","0","35","0","35","MBH","-33.68868897","114.9288721","20201017","6:42:00","South-west Corner","C.FH.3","44.1","0"
"2020-10_south-west_stereo-BRUVs","FH106","0","0","6","0","0","0","19","0","0","0","0","31","0","6","MBH","-33.78868897","114.8163721","20201012","13:16:00","South-west Corner","C.FH.12","47.1","0"
"2020-10_south-west_stereo-BRUVs","FH108","1","0","2","0","0","0","15","0","0","0","0","32","0","14","MBH","-33.76118897","114.9238721","20201017","9:32:00","South-west Corner","C.FH.9","44.7","0"
"2020-10_south-west_stereo-BRUVs","FH109","0","0","4","0","0","0","10","0","7","11","0","36","0","4","MBH","-33.91618897","114.9088721","20201029","13:04:00","South-west Corner","C.FH.20","45.9","0"
"2020-10_south-west_stereo-BRUVs","FH11","0","1","2","0","0","0","1","0","0","6","0","28","0","18","MBH","-33.89868897","114.9388721","20201029","14:48:00","South-west Corner","C.FH.18","42.3","0"
"2020-10_south-west_stereo-BRUVs","FH110","0","0","5","0","0","0","3","0","1","5","0","26","0","12","MBH","-33.80868897","114.8213721","20201012","15:06:00","South-west Corner","C.FH.13","44.7","0"
"2020-10_south-west_stereo-BRUVs","FH111","0","0","2","0","0","0","11","0","3","0","0","37","0","21","MBH","-33.98618897","114.8788721","20201013","12:28:00","South-west Corner","C.FH.24","41.4","0"
"2020-10_south-west_stereo-BRUVs","FH113","0","0","8","0","0","0","9","0","12","3","0","33","0","1","MBH","-33.72368897","114.7963721","20201012","12:41:00","South-west Corner","C.FH.7","45","0"
"2020-10_south-west_stereo-BRUVs","FH12","0","0","2","0","0","0","18","0","4","2","0","30","0","4","MBH","-33.91868897","114.8963721","20201029","12:46:00","South-west Corner","C.FH.21","46.1","0"
"2020-10_south-west_stereo-BRUVs","FH14","0","0","7","0","0","0","15","0","0","1","0","34","0","11","MBH","-33.76618897","114.8713721","20201017","11:24:00","South-west Corner","C.FH.10","44.4","0"
"2020-10_south-west_stereo-BRUVs","FH15","0","0","0","0","0","0","0","0","0","0","0","33","0","33","MBH","-33.68868897","114.8063721","20201012","10:29:00","South-west Corner","C.FH.4","48","0"
"2020-10_south-west_stereo-BRUVs","FH16","0","0","5","0","0","0","12","0","8","1","0","34","0","8","MBH","-33.90118897","114.8563721","20201013","8:02:00","South-west Corner","C.FH.19","43.1","0"
"2020-10_south-west_stereo-BRUVs","FH17","0","0","1","0","0","0","17","0","0","4","0","35","0","13","MBH","-33.83368897","114.8763721","20201012","15:35:00","South-west Corner","C.FH.14","42.9","0"
"2020-10_south-west_stereo-BRUVs","FH18","0","0","3","0","0","0","9","0","0","0","0","22","0","10","MBH","-33.79118897","114.8213721","20201012","13:19:00","South-west Corner","C.FH.12","43.5","0"
"2020-10_south-west_stereo-BRUVs","FH2","0","0","4","0","0","0","3","0","7","1","0","21","0","6","MBH","-33.91868897","114.8913721","20201029","12:43:00","South-west Corner","C.FH.21","43.9","0"
"2020-10_south-west_stereo-BRUVs","FH20","0","0","8","0","0","0","9","0","1","0","0","30","0","12","MBH","-33.78618897","114.8738721","20201017","11:40:00","South-west Corner","C.FH.11","43.1","0"
"2020-10_south-west_stereo-BRUVs","FH21","0","0","10","0","0","0","16","0","5","4","0","37","0","2","MBH","-33.79368897","114.8088721","20201012","13:26:00","South-west Corner","C.FH.12","45","0"
"2020-10_south-west_stereo-BRUVs","FH23","0","0","8","0","0","0","2","0","10","0","0","29","0","9","MBH","-33.94618897","114.8288721","20201013","9:51:00","South-west Corner","C.FH.22","44.2","0"
"2020-10_south-west_stereo-BRUVs","FH24","0","0","1","0","0","0","11","0","0","1","0","35","0","22","MBH","-33.66868897","114.8438721","20201012","7:55:00","South-west Corner","C.FH.1","47.6","0"
"2020-10_south-west_stereo-BRUVs","FH25","0","3","6","0","0","0","7","0","5","3","0","32","0","8","MBH","-33.87868897","114.8163721","20201013","7:34:00","South-west Corner","C.FH.16","45.4","0"
"2020-10_south-west_stereo-BRUVs","FH26","0","0","7","0","0","0","5","0","0","2","0","14","0","0","MBH","-33.81118897","114.8288721","20201012","15:10:00","South-west Corner","C.FH.13","44.1","0"
"2020-10_south-west_stereo-BRUVs","FH27","0","0","9","0","0","0","5","0","1","5","0","23","0","3","MBH","-33.83618897","114.8713721","20201012","15:39:00","South-west Corner","C.FH.14","42.9","0"
"2020-10_south-west_stereo-BRUVs","FH28","0","0","1","0","0","0","0","0","0","0","0","32","0","31","MBH","-33.76368897","114.9338721","20201017","9:24:00","South-west Corner","C.FH.9","44.7","0"
"2020-10_south-west_stereo-BRUVs","FH30","0","0","0","0","0","0","29","0","0","0","0","31","0","2","MBH","-33.75118897","114.8888721","20201017","11:12:00","South-west Corner","C.FH.8","46.2","0"
"2020-10_south-west_stereo-BRUVs","FH31","0","0","4","0","0","0","27","0","0","0","0","37","0","6","MBH","-33.67368897","114.8238721","20201012","8:27:00","South-west Corner","C.FH.2","45.4","0"
"2020-10_south-west_stereo-BRUVs","FH32","0","0","0","0","0","0","0","0","0","4","0","20","0","16","MBH","-33.69618897","114.9463721","20201017","8:50:00","South-west Corner","C.FH.5","42.9","0"
"2020-10_south-west_stereo-BRUVs","FH33","0","0","7","0","0","0","9","0","5","5","0","32","0","6","MBH","-33.70868897","114.8263721","20201012","10:54:00","South-west Corner","C.FH.6","42.3","0"
"2020-10_south-west_stereo-BRUVs","FH34","1","0","14","0","1","0","6","0","2","2","0","31","0","5","MBH","-33.78618897","114.8838721","20201017","11:51:00","South-west Corner","C.FH.11","44.8","0"
"2020-10_south-west_stereo-BRUVs","FH35","0","0","2","0","0","0","0","0","0","0","0","20","0","18","MBH","-33.88368897","114.9313721","20201029","15:09:00","South-west Corner","C.FH.17","45.2","0"
"2020-10_south-west_stereo-BRUVs","FH37","0","0","12","0","0","0","6","0","1","2","0","25","0","4","MBH","-33.71118897","114.8138721","20201012","11:03:00","South-west Corner","C.FH.6","44.2","0"
"2020-10_south-west_stereo-BRUVs","FH39","0","1","2","0","0","0","13","0","0","6","0","29","1","6","MBH","-33.90368897","114.9313721","20201029","14:44:00","South-west Corner","C.FH.18","44.8","0"
"2020-10_south-west_stereo-BRUVs","FH40","0","0","1","0","0","0","17","0","0","2","0","29","0","9","MBH","-33.92368897","114.8888721","20201029","12:40:00","South-west Corner","C.FH.21","42.9","0"
"2020-10_south-west_stereo-BRUVs","FH41","0","1","7","0","0","0","11","0","14","2","0","35","0","0","MBH","-33.67118897","114.8388721","20201012","8:01:00","South-west Corner","C.FH.1","44.1","0"
"2020-10_south-west_stereo-BRUVs","FH42","0","0","2","0","0","0","25","0","6","1","0","35","0","1","MBH","-33.88118897","114.8113721","20201013","7:38:00","South-west Corner","C.FH.16","45.7","0"
"2020-10_south-west_stereo-BRUVs","FH44","0","0","3","0","0","0","6","0","10","2","0","31","0","10","MBH","-33.77118897","114.8638721","20201017","11:28:00","South-west Corner","C.FH.10","43.3","0"
"2020-10_south-west_stereo-BRUVs","FH45","0","0","1","0","0","0","16","0","4","0","0","26","0","5","MBH","-33.69368897","114.7988721","20201012","10:39:00","South-west Corner","C.FH.4","47.6","0"
"2020-10_south-west_stereo-BRUVs","FH46","0","0","0","0","0","0","5","0","0","1","0","30","0","24","MBH","-33.76618897","114.9288721","20201017","9:28:00","South-west Corner","C.FH.9","44.9","0"
"2020-10_south-west_stereo-BRUVs","FH47","0","0","9","0","0","0","17","0","5","0","0","32","0","1","MBH","-33.90618897","114.8488721","20201013","8:09:00","South-west Corner","C.FH.19","43.5","0"
"2020-10_south-west_stereo-BRUVs","FH48","2","1","1","0","0","3","2","0","3","5","0","17","0","0","MBH","-33.79618897","114.8138721","20201012","13:23:00","South-west Corner","C.FH.12","48.5","0"
"2020-10_south-west_stereo-BRUVs","FH49","0","1","5","0","0","0","12","0","0","10","0","31","0","3","MBH","-33.92118897","114.9163721","20201029","13:00:00","South-west Corner","C.FH.20","43.9","0"
"2020-10_south-west_stereo-BRUVs","FH5","0","0","8","0","0","0","2","0","10","2","0","24","0","2","MBH","-33.69368897","114.9413721","20201017","8:46:00","South-west Corner","C.FH.5","44.5","0"
"2020-10_south-west_stereo-BRUVs","FH50","0","0","0","0","0","0","0","0","0","0","0","26","0","26","MBH","-33.68118897","114.9313721","20201017","6:51:00","South-west Corner","C.FH.3","44.6","0"
