"campaignid","sample","longitude","latitude","location","planned.or.exploratory","broad.ascidians","broad.bryozoa","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","broad.consolidated","broad.hydroids","depth","broad.crinoids","broad.invertebrate.complex","broad.seagrasses","broad.stony.corals","broad.true.anemones","broad.seagrasses_amphibolis.sp.","broad.seagrasses_posidonia.sp.","broad.seagrasses_halophila.sp.","broad.seagrasses_rupia.sp.","broad.seagrasses_zostera.sp.","broad.echinodermata","broad.sea.stars","broad.zoanthids","broad.seagrasses_thalassodendron.sp."
"2021-06-ApolloMP_stereoBRUVs","APO_001","143.5194884","-38.92799828","Apollo CMR","MBH","18","0","4","0","1","0","23","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_002","143.5098785","-38.9138801","Apollo CMR","MBH","1","18","0","4","0","1","24","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_003","143.5159757","-38.92494358","Apollo CMR","MBH","15","0","3","0","1","0","19","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_004","143.5171301","-38.91826939","Apollo CMR","MBH","13","0","3","0","1","0","17","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_005","143.524945","-38.9289975","Apollo CMR","MBH","13","1","3","0","1","0","18","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_006","143.5048102","-38.91451806","Apollo CMR","MBH","16","0","3","0","1","0","20","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_007","143.5174201","-38.91446896","Apollo CMR","MBH","15","0","3","0","1","0","19","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_008","143.5218293","-38.91964739","Apollo CMR","MBH","13","5","3","1","1","0","23","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_009","143.5104578","-38.92049873","Apollo CMR","MBH","13","0","3","0","1","0","17","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_010","143.5080651","-38.92656863","Apollo CMR","MBH","9","7","2","1","0","0","19","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_011","143.5217666","-38.93760736","Apollo CMR","MBH","16","4","3","1","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_012","143.508107","-38.94150569","Apollo CMR","MBH","17","3","3","1","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_013","143.5166972","-38.95304222","Apollo CMR","MBH","8","8","2","2","0","0","20","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_014","143.5145632","-38.9446462","Apollo CMR","MBH","12","0","2","0","0","0","14","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_015","143.5110588","-38.95322675","Apollo CMR","MBH","20","0","4","0","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_016","143.5032129","-38.94471013","Apollo CMR","MBH","15","0","3","0","1","0","19","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_017","143.5224181","-38.94677217","Apollo CMR","MBH","12","3","2","1","0","0","18","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_018","143.5065876","-38.95379492","Apollo CMR","MBH","20","0","4","0","1","0","25","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_019","143.5047276","-38.9383985","Apollo CMR","MBH","5","12","1","2","0","0","20","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_020","143.5086085","-38.94549409","Apollo CMR","MBH","12","7","2","1","0","0","22","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_021","143.5432448","-38.92904778","Apollo CMR","MBH","2","16","0","3","0","1","22","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_022","143.5455736","-38.9200127","Apollo CMR","MBH","13","5","3","1","1","0","23","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-ApolloMP_stereoBRUVs","APO_023","143.5353245","-38.91789589","Apollo CMR","MBH","11","7","2","1","0","0","21","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
